Time,Flight Number,Source,Flight Name,Aircraft,Status
10:30 AM,G8287,Jammu (IXJ),GoAir,A20N (VT-WGJ),Departed 11:03 AM
10:30 AM,WY202,Muscat (MCT),Oman Air,B789 (A4O-SD),Departed 10:58 AM
10:30 AM,SG6429,Kanpur (KNU),SpiceJet,B738 (VT-SLG),Departed 10:38 AM
10:30 AM,6E453,Amritsar (ATQ),IndiGo,A20N (VT-IZT),Departed 10:48 AM
10:30 AM,6E496,Indore (IDR),IndiGo,A20N (VT-ITN),Departed 10:56 AM
10:35 AM,AI125,Frankfurt (FRA),Air India,B788 (VT-ANK),Departed 11:44 AM
10:40 AM,6E1783,Male (MLE),IndiGo,A320 (VT-IEM),Departed 11:09 AM
10:45 AM,6E559,Jammu (IXJ),IndiGo,A20N (VT-ITB),Departed 11:07 AM
10:50 AM,G82502,Ranchi (IXR),GoAir,A20N (VT-WGX),Departed 11:25 AM
10:50 AM,UK621,Varanasi (VNS),Vistara (Retro Livery),A20N (VT-ATV),Departed 11:05 AM
10:55 AM,G8395,Lucknow (LKO),GoAir,A20N (VT-WJK),Departed 11:11 AM
11:00 AM,UK653,Udaipur (UDR),Vistara,A320 (VT-TTN),Departed 11:27 AM
11:00 AM,6E5303,Jodhpur (JDH),IndiGo,A20N (VT-IVI),Departed 11:23 AM
11:05 AM,6.00E+298,Delhi (DEL),IndiGo,A320 (VT-IEZ),Departed 11:18 AM
11:05 AM,AI647,Jamnagar (JGA),Air India,A319 (VT-SCP),Departed 11:38 AM
11:10 AM,AI611,Jaipur (JAI),Air India,A321 (VT-PPQ),Departed 11:34 AM
11:10 AM,6E5914,Allahabad (IXD),IndiGo,A320 (VT-IFD),Departed 11:20 AM
11:15 AM,6E1709,Doha (DOH),IndiGo,A21N (VT-IUA),Departed 11:41 AM
11:20 AM,G8585,Patna (PAT),GoAir,A20N (VT-WGK),Departed 11:56 AM
11:20 AM,6.00E+179,Goa (GOI),IndiGo,A320 (VT-IHC),Departed 11:35 AM
11:25 AM,SG6435,Rajkot (RAJ),SpiceJet,B737 (VT-SYP),Departed 11:42 AM
