Time,Flight Number,Destination,Flight Name,Aircraft,Status
12:05 AM,G82508,Delhi (DEL),GoAir,A320 (VT-GOJ),Departed 12:17 AM
12:05 AM,I5330,Delhi (DEL),AirAsia,A320 (VT-SIN),Departed 12:12 AM
12:05 AM,PG734,Bangkok (BKK),Bangkok Airways (Samui Livery),A320 (HS-PGW),Departed 12:10 AM
12:10 AM,UA49,New York (EWR),United Airlines,B77W (N2748U),Departed 12:50 AM
12:15 AM,6E848,Bengaluru (BLR),IndiGo,A20N (VT-IJU),Departed 12:25 AM
12:20 AM,6E386,Chennai (MAA),IndiGo,A320 (VT-IGH),Departed 12:32 AM
12:25 AM,6E6185,Cochin (COK),IndiGo,A320 (VT-IGJ),Departed 12:38 AM
12:30 AM,SG612,Goa (GOI),SpiceJet,B737 (VT-SLA),Departed 1:05 AM
12:35 AM,G8383,Kannur (CNN),GoAir,A20N (VT-WGP),Departed 12:47 AM
12:35 AM,SG490,Kolkata (CCU),SpiceJet,B737 (VT-SYT),Departed 1:14 AM
12:45 AM,AI911,Dubai (DXB),Air India,B788 (VT-ANZ),Departed 1:15 AM
12:50 AM,SG6287,Chennai (MAA),SpiceJet,B738 (VT-SLM),Departed 1:29 AM
12:50 AM,6E5384,Hyderabad (HYD),IndiGo,A320 (VT-IEC),Departed 1:21 AM
12:50 AM,6E6489,Delhi (DEL),IndiGo,A320 (VT-IDX),Departed 1:06 AM
12:55 AM,DL25,New York (JFK),Delta Air Lines,B77L (N702DN),Departed 1:26 AM
12:55 AM,SQ425,Singapore (SIN),Singapore Airlines,B772 (9V-SVC),Departed 1:08 AM
1:10 AM,I5308,Bengaluru (BLR),AirAsia,A320 (VT-RED),Departed 1:24 AM
1:15 AM,SQ7951,Singapore (SIN),Singapore Airlines,74Y,Unknown
1:20 AM,LX155,Zurich (ZRH),Swiss,A343 (HB-JMB),Departed 1:35 AM
1:25 AM,G821,Phuket (HKT),GoAir,A20N (VT-WGG),Departed 1:24 AM
1:25 AM,6E1768,Dubai (DXB),IndiGo,A320 (VT-IFQ),Departed 1:31 AM
1:30 AM,AI191,New York (EWR),Air India,B77W (VT-ALL),Departed 2:03 AM
1:35 AM,LH767,Munich (MUC),Lufthansa,A359 (D-AIXO),Departed 1:59 AM
1:35 AM,AI31,Ahmedabad (AMD),Air India,B788 (VT-ANO),Departed 2:11 AM
1:40 AM,CX660,Hong Kong (HKG),Cathay Pacific,B77W (B-KQF),Departed 2:26 AM
1:50 AM,I5317,Kolkata (CCU),AirAsia,A320 (VT-NAG),Departed 1:55 AM
1:50 AM,6.00E+19,Singapore (SIN),IndiGo,A320 (VT-IFZ),Departed 1:54 AM
1:50 AM,6.00E+154,Delhi (DEL),IndiGo,A20N (VT-IVY),Departed 1:56 AM
2:00 AM,AI33,Goa (GOI),Air India,A20N (VT-EXV),Departed 2:09 AM
2:05 AM,AF217,Paris (CDG),Air France,B77W (F-GSQD),Departed 2:37 AM
2:15 AM,BA138,London (LHR),British Airways,B772 (G-YMMO),Departed 2:28 AM
2:20 AM,SG6267,Delhi (DEL),SpiceJet,B738 (VT-SGV),Departed 3:17 AM
2:25 AM,BZ654,Ahmedabad (AMD),Blue Dart Aviation,757,Unknown
2:25 AM,KU302,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKH),Departed 2:08 AM
2:30 AM,KL878,Amsterdam (AMS),KLM,B772 (PH-BQH),Departed 2:54 AM
2:30 AM,6.00E+272,Hyderabad (HYD),IndiGo,A320 (VT-IEX),Departed 2:51 AM
2:35 AM,SG748,Hyderabad (HYD),SpiceJet,B738 (VT-SYX),Departed 2:49 AM
2:40 AM,WE336,Bangkok (BKK),THAI Smile,A320 (HS-TXE),Departed 2:50 AM
2:45 AM,CA890,Beijing (PEK),Air China,333,Unknown
2:50 AM,MS969,Cairo (CAI),EgyptAir,B738 (SU-GEI),Departed 2:56 AM
2:55 AM,LH757,Frankfurt (FRA),Lufthansa,B744 (D-ABVP),Departed 3:21 AM
3:00 AM,VS355,London (LHR),Virgin Atlantic,B789 (G-VBEL),Departed 3:18 AM
3:05 AM,BZ102,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDQ),Departed 4:05 AM
3:05 AM,UK924,Delhi (DEL),Vistara,A20N (VT-TNW),Departed 3:13 AM
3:10 AM,UL142,Colombo (CMB),SriLankan Airlines,A320 (4R-MRE),Departed 3:15 AM
4:00 AM,QR557,Doha (DOH),Qatar Airways,B77W (A7-BEO),Departed 4:21 AM
4:00 AM,G8461,Port Blair (IXZ),GoAir,A320 (VT-GOP),Departed 4:02 AM
4:05 AM,ET611,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AWN),Departed 4:42 AM
4:05 AM,J9402,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAL),Departed 4:08 AM
4:05 AM,SG81,Bangkok (BKK),SpiceJet,B738 (VT-SYV),Departed 4:19 AM
4:15 AM,EK501,Dubai (DXB),Emirates (Expo 2020 - Opportunity Livery),A388 (A6-EOE),Departed 4:54 AM
4:15 AM,IY857,Sana'a (SAH),Yemenia,320,Unknown
4:25 AM,SG7045,Sharjah (SHJ),SpiceJet,-,Canceled
4:40 AM,EY205,Abu Dhabi (AUH),Etihad (ADNOC - Choose the USA Livery),B789 (A6-BLE),Departed 4:47 AM
4:50 AM,SG7032,Bengaluru (BLR),SpiceXpress,B738 (VT-SFF),Departed 5:23 AM
4:55 AM,G8575,Goa (GOI),GoAir,A320 (VT-GOS),Departed 5:12 AM
4:55 AM,G9407,Sharjah (SHJ),Air Arabia,A320 (A6-ANW),Departed 5:05 AM
5:00 AM,6E6181,Kolkata (CCU),IndiGo,A20N (VT-IJK),Departed 5:06 AM
5:05 AM,FZ446,Dubai (DXB),flydubai,B738 (A6-FGJ),Departed 5:25 AM
5:05 AM,AI83,Goa (GOI),Air India,A321 (VT-PPU),Departed 8:11 AM
5:05 AM,6E1766,Kuwait City (KWI),IndiGo,A320 (VT-IAS),Departed 5:28 AM
5:10 AM,WB501,Kigali (KGL),RwandAir,332,Estimated dep. 4:15 AM
5:10 AM,BZ201,Bengaluru (BLR),Blue Dart Aviation,B752 (VT-BDB),Departed 5:30 AM
5:10 AM,G8347,Cochin (COK),GoAir,A20N (VT-WGU),Departed 5:02 AM
5:15 AM,6E6186,Vadodara (BDQ),IndiGo,A20N (VT-IZC),Departed 5:10 AM
5:20 AM,I5715,Delhi (DEL),AirAsia,A320 (VT-BKK),Departed 5:16 AM
5:20 AM,SG6276,Jaipur (JAI),SpiceJet,B738 (VT-SLL),Departed 5:27 AM
5:20 AM,6.00E+207,Jaipur (JAI),IndiGo,A320 (VT-IHV),Departed 5:20 AM
5:20 AM,SG7086,Bengaluru (BLR),SpiceXpress,B737 (VT-SFE),Departed 6:08 AM
5:25 AM,BZ481,Hyderabad (HYD),Blue Dart Aviation,757,Unknown
5:31 AM,AI986,Ahmedabad (AMD),Air India,A20N (VT-EXG),Departed 7:56 AM
5:31 AM,HM261,Victoria (SEZ),Air Seychelles,A20N (S7-VEV),Departed 5:30 AM
5:31 AM,SG241,Kolkata (CCU),SpiceJet,B738 (VT-SLF),Departed 6:11 AM
5:35 AM,6E6179,Ranchi (IXR),IndiGo,A320 (VT-IFO),Departed 6:52 AM
5:40 AM,AI605,Aurangabad (IXU),Air India,A319 (VT-SCS),Departed 5:47 AM
5:40 AM,AI570,Chennai (MAA),Air India,A20N (VT-EXQ),Departed 5:50 AM
5:45 AM,G8390,Jaipur (JAI),GoAir,A320 (VT-GOL),Departed 5:52 AM
5:45 AM,SG421,Hyderabad (HYD),SpiceJet,B737 (VT-SYU),Departed 5:55 AM
5:50 AM,G8305,Chennai (MAA),GoAir,A320 (VT-GOM),Departed 6:05 AM
5:50 AM,9I649,Surat (STV),Alliance Air,ATR,Unknown
5:55 AM,AI627,Nagpur (NAG),Air India,A321 (VT-PPV),Departed 6:34 AM
5:55 AM,SG6280,Jammu (IXJ),SpiceJet,B737 (VT-SYP),Departed 8:04 AM
5:55 AM,SG6480,Guwahati (GAU),SpiceJet,B738 (VT-SYW),Departed 6:16 AM
6:00 AM,G8317,Bengaluru (BLR),GoAir,A20N (VT-WJQ),Departed 6:12 AM
6:00 AM,G8329,Delhi (DEL),GoAir,A20N (VT-WJP),Departed 5:59 AM
6:00 AM,SG8160,Delhi (DEL),SpiceJet,B738 (VT-SYM),Departed 6:19 AM
6:05 AM,G82601,Nagpur (NAG),GoAir,A20N (VT-WGP),Departed 6:20 AM
6:05 AM,AI54,Cochin (COK),Air India,A319 (VT-SCO),Departed 6:37 AM
6:05 AM,UK821,Chennai (MAA),Vistara,B738 (VT-TGA),Departed 6:39 AM
6:05 AM,6.00E+199,Bengaluru (BLR),IndiGo,A20N (VT-ITY),Departed 6:16 AM
6:05 AM,6E6613,Delhi (DEL),IndiGo,A20N (VT-IVW),Departed 6:41 AM
6:10 AM,AI615,Hyderabad (HYD),Air India,A319 (VT-SCV),Departed 6:33 AM
6:10 AM,AI675,Kolkata (CCU),Air india (Star Alliance Livery),A20N (VT-EXO),Departed 6:49 AM
6:10 AM,UK873,Hyderabad (HYD),Vistara,A20N (VT-TNR),Departed 6:46 AM
6:10 AM,6.00E+229,Chennai (MAA),IndiGo,A320 (VT-INU),Departed 6:23 AM
6:15 AM,AI603,Bengaluru (BLR),Air India,A20N (VT-EXL),Departed 6:48 AM
6:15 AM,6E461,Hyderabad (HYD),IndiGo,A320 (VT-IDO),Departed 6:30 AM
6:20 AM,6E1835,Abu Dhabi (AUH),IndiGo,A21N (VT-IUB),Departed 6:56 AM
6:25 AM,6E567,Aurangabad (IXU),IndiGo,A20N (VT-ITT),Departed 6:45 AM
6:25 AM,SG6431,Hyderabad (HYD),SpiceJet,B737 (VT-SLP),Departed 6:42 AM
6:30 AM,GF57,Bahrain (BAH),Gulf Air,A321 (A9C-CC),Departed 6:53 AM
6:30 AM,UK928,Delhi (DEL),Vistara,A20N (VT-TNI),Departed 7:00 AM
6:30 AM,6E6182,Indore (IDR),IndiGo,A320 (VT-IHJ),Departed 6:57 AM
