Time,Flight Number,Destination,Flight Name,Aircraft,Status
7:50 AM,AI864,Delhi (DEL),Air India,A20N (VT-EXM),Departed 9:24 AM
7:50 AM,SG6373,Siliguri (IXB),SpiceJet,B738 (VT-SXA),Departed 8:02 AM
7:50 AM,9I625,Bhuj (BHJ),Alliance Air,AT76 (VT-RKL),Departed 8:13 AM
7:55 AM,AI625,Lucknow (LKO),Air India,A319 (VT-SCV),Departed 8:18 AM
8:00 AM,AI806,Delhi (DEL),Air India,321,Unknown
8:00 AM,G8327,Delhi (DEL),GoAir,A20N (VT-WGU),Departed 8:11 AM
8:15 AM,AI348,Delhi (DEL),Air India,B788 (VT-ANZ),Departed 8:30 AM
8:15 AM,6E5323,Bengaluru (BLR),IndiGo,A20N (VT-IZV),Departed 8:25 AM
8:20 AM,I5302,Bengaluru (BLR),AirAsia,A320 (VT-MOD),Departed 8:27 AM
8:20 AM,SG497,Bengaluru (BLR),SpiceJet,B738 (VT-SLH),Departed 8:47 AM
8:25 AM,EY213,Abu Dhabi (AUH),Etihad,A320 (A6-EIS),Departed 8:52 AM
8:25 AM,6E5336,Delhi (DEL),IndiGo,A320 (VT-IFI),Departed 8:54 AM
8:30 AM,6.00E+63,Dubai (DXB),IndiGo,A320 (VT-IDN),Departed 8:59 AM
8:30 AM,6E5325,Nagpur (NAG),IndiGo,A320 (VT-IFT),Departed 8:45 AM
8:35 AM,6.00E+205,Siliguri (IXB),IndiGo,A320 (VT-IHZ),Departed 8:38 AM
8:35 AM,G8705,Ranchi (IXR),GoAir,A20N (VT-WGJ),Departed 8:42 AM
8:35 AM,SV969,Jeddah (JED),Saudia Cargo,B744 (TC-ACM),Departed 8:50 AM
8:40 AM,I5546,Delhi (DEL),AirAsia,A320 (VT-IXR),Departed 8:57 AM
8:50 AM,6E5373,Patna (PAT),IndiGo,A20N (VT-IVA),Departed 9:11 AM
8:55 AM,SG6356,Mangalore (IXE),SpiceJet,B738 (VT-SGJ),Departed 9:06 AM
8:55 AM,SG63,Dhaka (DAC),SpiceJet,B738 (VT-SLI),Departed 9:14 AM
8:55 AM,6E382,Hyderabad (HYD),IndiGo,A320 (VT-IDY),Departed 9:09 AM
9:00 AM,AI671,Chennai (MAA),Air India,A20N (VT-EXK),Departed 10:22 AM
9:00 AM,AI866,Delhi (DEL),Air India,A20N (VT-EXU),Departed 9:39 AM
9:05 AM,UK863,Bengaluru (BLR),Vistara,B738 (VT-TGI),Departed 9:15 AM
9:15 AM,AI131,London (LHR),Air India,B77W (VT-ALR),Departed 10:07 AM
9:15 AM,AI639,Bengaluru (BLR),Air India,A20N (VT-EXF),Departed 10:35 AM
