Time,Flight Number,Destination,Flight Name,Aircraft,Status
12:05 AM,G82508,Delhi (DEL),GoAir,A20N (VT-WJK),Departed 12:07 AM
12:05 AM,I5330,Delhi (DEL),AirAsia,A320 (VT-SIN),Departed 12:41 AM
12:05 AM,PG734,Bangkok (BKK),Bangkok Airways (Krabi Livery),A320 (HS-PGV),Departed 11:59 PM
12:10 AM,UA49,New York (EWR),United Airlines,B77W (N2748U),Departed 12:58 AM
12:15 AM,6E848,Bengaluru (BLR),IndiGo,A20N (VT-IZD),Departed 1:37 AM
12:20 AM,6E386,Chennai (MAA),IndiGo,A20N (VT-IVO),Departed 12:31 AM
12:25 AM,6E6185,Cochin (COK),IndiGo,A320 (VT-IKE),Departed 12:28 AM
12:30 AM,SG612,Goa (GOI),SpiceJet,B737 (VT-SLB),Departed 1:01 AM
12:35 AM,G8383,Kannur (CNN),GoAir,A20N (VT-WGX),Departed 12:45 AM
12:35 AM,SG490,Kolkata (CCU),SpiceJet,B737 (VT-SLP),Departed 12:48 AM
12:45 AM,AI911,Dubai (DXB),Air India,B788 (VT-ANV),Departed 1:13 AM
12:50 AM,SG789,Bengaluru (BLR),SpiceJet,B738 (VT-SXA),Departed 12:56 AM
12:50 AM,SG6287,Chennai (MAA),SpiceJet,B738 (VT-SGQ),Departed 1:05 AM
12:50 AM,6E5384,Hyderabad (HYD),IndiGo,A320 (VT-IEV),Departed 12:53 AM
12:50 AM,6E6489,Delhi (DEL),IndiGo,A20N (VT-ITG),Departed 12:54 AM
12:55 AM,DL25,New York (JFK),Delta Air Lines,B77L (N709DN),Departed 1:09 AM
1:10 AM,I5308,Bengaluru (BLR),AirAsia,A320 (VT-SXR),Departed 1:21 AM
1:20 AM,LX155,Zurich (ZRH),Swiss,A343 (HB-JMH),Departed 1:42 AM
1:25 AM,G821,Phuket (HKT),GoAir,A20N (VT-WGF),Departed 1:24 AM
1:25 AM,6E1768,Dubai (DXB),IndiGo,A320 (VT-IEL),Departed 1:39 AM
1:35 AM,LH767,Munich (MUC),Lufthansa,A346 (D-AIHH),Departed 2:09 AM
1:40 AM,CX660,Hong Kong (HKG),Cathay Pacific,A333 (B-LAD),Departed 1:56 AM
1:50 AM,I5317,Kolkata (CCU),AirAsia,A320 (VT-KOC),Departed 2:14 AM
1:50 AM,6.00E+19,Singapore (SIN),IndiGo,A320 (VT-IFT),Departed 1:53 AM
1:50 AM,6.00E+154,Delhi (DEL),IndiGo,A320 (VT-IKI),Departed 1:48 AM
2:00 AM,AI33,Goa (GOI),Air India,A319 (VT-SCP),Departed 3:10 AM
2:05 AM,AF217,Paris (CDG),Air France,B772 (F-GSPK),Departed 2:18 AM
2:15 AM,BA138,London (LHR),British Airways,B772 (G-YMMK),Departed 2:43 AM
2:20 AM,SG6267,Delhi (DEL),SpiceJet,B738 (VT-SYS),Departed 2:31 AM
2:25 AM,KU302,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKH),Departed 2:24 AM
2:25 AM,BZ154,Ahmedabad (AMD),Blue Dart Aviation,B752 (VT-BDA),Departed 2:45 AM
2:30 AM,KL878,Amsterdam (AMS),KLM,B789 (PH-BHP),Departed 2:50 AM
2:30 AM,KE656,Seoul (ICN),Korean Air (SkyTeam Livery),A332 (HL8212),Departed 2:51 AM
2:30 AM,6.00E+272,Hyderabad (HYD),IndiGo,A20N (VT-ITV),Departed 2:32 AM
2:35 AM,SG748,Hyderabad (HYD),SpiceJet,B738 (VT-SGX),Departed 2:30 AM
2:40 AM,WE336,Bangkok (BKK),THAI Smile,A320 (HS-TXD),Departed 2:46 AM
2:50 AM,MS969,Cairo (CAI),EgyptAir,A332 (SU-GCK),Departed 3:05 AM
2:50 AM,AI191,New York (EWR),Air India,B77W (VT-ALM),Departed 4:20 AM
2:55 AM,LH757,Frankfurt (FRA),Lufthansa,B744 (D-ABVS),Departed 3:15 AM
3:00 AM,AI31,Ahmedabad (AMD),Air India,B788 (VT-ANA),Departed 3:13 AM
3:00 AM,VS355,London (LHR),Virgin Atlantic,B789 (G-VMAP),Departed 4:01 AM
3:00 AM,SG7064,Delhi (DEL),SpiceXpress,B737 (VT-SFD),Departed 3:03 AM
3:05 AM,BZ102,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDB),Departed 3:18 AM
3:05 AM,UK924,Delhi (DEL),Vistara,A320 (VT-TTD),Departed 3:12 AM
3:10 AM,UL142,Colombo (CMB),SriLankan Airlines,A20N (4R-ANB),Departed 5:23 AM
4:00 AM,QR557,Doha (DOH),Qatar Airways,B77W (A7-BEM),Departed 4:23 AM
4:00 AM,G8461,Port Blair (IXZ),GoAir,A320 (VT-GOS),Departed 4:04 AM
