Time,Flight Number,Destination,Flight Name,Aircraft,Status
1:10 AM,I5308,Bengaluru (BLR),AirAsia,A320 (VT-HYD),Departed 1:23 AM
1:20 AM,LX155,Zurich (ZRH),Swiss,A343 (HB-JMC),Departed 1:37 AM
1:25 AM,G821,Phuket (HKT),GoAir,A20N (VT-WGG),Departed 1:32 AM
1:25 AM,6E1768,Dubai (DXB),IndiGo,A320 (VT-INU),Departed 1:48 AM
1:30 AM,AI191,New York (EWR),Air India,B77W (VT-ALL),Departed 2:23 AM
1:35 AM,LH767,Munich (MUC),Lufthansa,A359 (D-AIXH),Departed 4:31 AM
1:35 AM,AI31,Ahmedabad (AMD),Air India,B788 (VT-ANT),Departed 1:50 AM
1:40 AM,CX660,Hong Kong (HKG),Cathay Pacific,B77W (B-KQB),Departed 2:09 AM
1:50 AM,I5317,Kolkata (CCU),AirAsia,A320 (VT-AMD),Departed 2:06 AM
1:50 AM,6.00E+19,Singapore (SIN),IndiGo,A320 (VT-IAL),Departed 1:53 AM
1:50 AM,6.00E+154,Delhi (DEL),IndiGo,A320 (VT-IEY),Departed 1:56 AM
2:00 AM,AI33,Goa (GOI),Air India,A319 (VT-SCM),Departed 1:59 AM
2:05 AM,AF217,Paris (CDG),Air France,B772 (F-GSPH),Departed 2:26 AM
2:15 AM,BA138,London (LHR),British Airways,B772 (G-YMMN),Departed 2:58 AM
2:20 AM,SG6267,Delhi (DEL),SpiceJet,B738 (VT-SXA),Departed 2:55 AM
2:25 AM,KU302,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKH),Departed 2:13 AM
2:25 AM,BZ154,Ahmedabad (AMD),Blue Dart Aviation,B752 (VT-BDM),Departed 2:34 AM
2:30 AM,KL878,Amsterdam (AMS),KLM,B78X (PH-BKD),Departed 3:00 AM
2:30 AM,6.00E+272,Hyderabad (HYD),IndiGo,A320 (VT-IKI),Departed 2:39 AM
2:35 AM,SG748,Hyderabad (HYD),SpiceJet,737,Unknown
2:40 AM,WE336,Bangkok (BKK),THAI Smile,A320 (HS-TXE),Departed 2:48 AM
2:45 AM,CA890,Beijing (PEK),Air China,333,Unknown
2:55 AM,LH757,Frankfurt (FRA),Lufthansa,B744 (D-ABTK),Departed 3:18 AM
3:00 AM,VS355,London (LHR),Virgin Atlantic,B789 (G-VZIG),Departed 4:03 AM
3:00 AM,SG7064,Delhi (DEL),SpiceXpress,B737 (VT-SFD),Departed 4:01 AM
3:05 AM,BZ102,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDQ),Departed 3:04 AM
3:05 AM,UK924,Delhi (DEL),Vistara,A20N (VT-TNI),Departed 3:16 AM
3:10 AM,UL142,Colombo (CMB),SriLankan Airlines,A320 (4R-MRE),Departed 3:13 AM
4:00 AM,QR557,Doha (DOH),Qatar Airways,B77W (A7-BAC),Departed 4:28 AM
4:00 AM,G8461,Port Blair (IXZ),GoAir,A320 (VT-GON),Departed 4:09 AM
4:05 AM,ET611,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-ATQ),Departed 4:17 AM
4:05 AM,J9402,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAI),Departed 4:12 AM
4:05 AM,SG81,Bangkok (BKK),SpiceJet,B738 (VT-SYV),Departed 4:23 AM
4:15 AM,EK501,Dubai (DXB),Emirates (50th Anniversary - Dubai Rugby Sevens),A388 (A6-EEV),Departed 4:36 AM
4:25 AM,SG7045,Sharjah (SHJ),SpiceJet,-,Canceled
4:40 AM,EY205,Abu Dhabi (AUH),Etihad,B77W (A6-ETI),Departed 4:50 AM
4:50 AM,SG7032,Bengaluru (BLR),SpiceXpress,B738 (VT-SFF),Departed 6:20 AM
4:55 AM,G8575,Goa (GOI),GoAir,A20N (VT-WGE),Departed 4:59 AM
4:55 AM,G9407,Sharjah (SHJ),Air Arabia,A320 (A6-ANX),Departed 7:32 AM
5:00 AM,IA448,Baghdad (BGW),Iraqi Airways,737,Unknown
5:00 AM,6E6181,Kolkata (CCU),IndiGo,A20N (VT-IJK),Departed 5:05 AM
5:05 AM,AI83,Goa (GOI),Air India,A20N (VT-EXL),Departed 6:29 AM
5:05 AM,FZ446,Dubai (DXB),flydubai,B738 (A6-FEP),Departed 5:48 AM
5:05 AM,6E1766,Kuwait City (KWI),IndiGo,A320 (VT-IAS),Departed 5:35 AM
5:10 AM,G8347,Cochin (COK),GoAir,A20N (VT-WGK),Departed 5:14 AM
5:10 AM,WB504,Kigali (KGL),Rwandair,B738 (9XR-WR),Departed 4:15 AM
5:10 AM,BZ201,Bengaluru (BLR),Blue Dart Aviation,B752 (VT-BDB),Departed 5:44 AM
5:15 AM,6E6186,Vadodara (BDQ),IndiGo,A20N (VT-IVJ),Departed 5:26 AM
5:20 AM,I5715,Delhi (DEL),AirAsia,A320 (VT-JPR),Departed 5:18 AM
5:20 AM,SG6276,Jaipur (JAI),SpiceJet,B738 (VT-SYM),Departed 5:37 AM
5:20 AM,6.00E+207,Jaipur (JAI),IndiGo,A320 (VT-IHQ),Departed 5:28 AM
5:20 AM,SG7086,Bengaluru (BLR),SpiceXpress,B737 (VT-SFE),Departed 5:38 AM
5:25 AM,AI54,Cochin (COK),Air India,A319 (VT-SCQ),Departed 5:51 AM
5:25 AM,BZ481,Hyderabad (HYD),Blue Dart Aviation,B752 (VT-BDA),Departed 5:57 AM
5:30 AM,AI986,Ahmedabad (AMD),Air India,A20N (VT-CIF),Departed 6:08 AM
5:31 AM,AI605,Aurangabad (IXU),Air India,A319 (VT-SCL),Departed 5:42 AM
5:31 AM,HM261,Victoria (SEZ),Air Seychelles,A20N (S7-VEV),Departed 5:53 AM
5:31 AM,SG241,Kolkata (CCU),SpiceJet,B738 (VT-SGG),Departed 5:39 AM
5:31 AM,UK954,Delhi (DEL),Vistara,A20N (VT-TNJ),Departed 5:47 AM
5:35 AM,6E6179,Ranchi (IXR),IndiGo,A20N (VT-IVO),Departed 5:49 AM
5:40 AM,AI570,Chennai (MAA),Air india (Star Alliance Livery),A20N (VT-EXO),Departed 2:44 PM
5:45 AM,G8390,Jaipur (JAI),GoAir,A20N (VT-WGR),Departed 6:21 AM
5:45 AM,SG421,Hyderabad (HYD),SpiceJet,B737 (VT-SYU),Departed 5:56 AM
5:50 AM,TC401,Dar-es-Salaam (DAR),Air Tanzania,B788 (5H-TCG),Departed 6:34 AM
5:50 AM,G8305,Chennai (MAA),GoAir,A320 (VT-GOK),Departed 6:06 AM
5:50 AM,9I649,Surat (STV),Alliance Air,ATR,Unknown
5:55 AM,AI621,Chandigarh (IXC),Air India,A320 (VT-EXD),Departed 6:42 AM
5:55 AM,SG6280,Jammu (IXJ),SpiceJet,B737 (VT-SLP),Departed 7:56 AM
5:55 AM,SG6480,Guwahati (GAU),SpiceJet,B738 (VT-SYY),Departed 6:50 AM
6:00 AM,G8329,Delhi (DEL),GoAir,A20N (VT-WJC),Departed 6:02 AM
6:00 AM,G8317,Bengaluru (BLR),GoAir,A20N (VT-WGI),Departed 6:03 AM
6:00 AM,SG8160,Delhi (DEL),SpiceJet,B738 (VT-SGV),Departed 6:34 AM
6:00 AM,UK845,Bengaluru (BLR),Vistara,B738 (VT-TGE),Departed 6:17 AM
6:01 AM,AI627,Nagpur (NAG),Air India,A20N (VT-EXV),Departed 6:23 AM
6:05 AM,G82601,Nagpur (NAG),GoAir,A320 (VT-GOO),Departed 6:13 AM
6:05 AM,UK821,Chennai (MAA),Vistara,B738 (VT-TGB),Departed 6:11 AM
6:05 AM,6.00E+199,Bengaluru (BLR),IndiGo,A320 (VT-IFQ),Departed 6:18 AM
6:05 AM,6E6613,Delhi (DEL),IndiGo,A320 (VT-IDP),Departed 6:30 AM
6:10 AM,AI675,Kolkata (CCU),Air india (Star Alliance Livery),A20N (VT-EXO),Departed 6:25 AM
6:10 AM,AI615,Hyderabad (HYD),Air India,A319 (VT-SCM),Departed 6:43 AM
6:10 AM,UK873,Hyderabad (HYD),Vistara,A20N (VT-TNS),Departed 6:30 AM
6:10 AM,6.00E+229,Chennai (MAA),IndiGo,A320 (VT-IHE),Departed 6:25 AM
6:15 AM,AI603,Bengaluru (BLR),Air India,A20N (VT-CIQ),Departed 6:47 AM
6:15 AM,6E461,Hyderabad (HYD),IndiGo,A320 (VT-IHC),Departed 6:49 AM
6:20 AM,6E1835,Abu Dhabi (AUH),IndiGo,A21N (VT-IUB),Departed 6:37 AM
6:25 AM,6E567,Aurangabad (IXU),IndiGo,A320 (VT-IHX),Departed 6:46 AM
6:25 AM,SG6431,Hyderabad (HYD),SpiceJet,B737 (VT-SYP),Departed 6:58 AM
6:30 AM,GF57,Bahrain (BAH),Gulf Air,A321 (A9C-CC),Departed 6:53 AM
6:30 AM,UK928,Delhi (DEL),Vistara,A20N (VT-TNU),Departed 7:01 AM
6:30 AM,6E6182,Indore (IDR),IndiGo,A20N (VT-IVZ),Departed 6:56 AM
6:35 AM,KQ205,Nairobi (NBO),Kenya Airways,B738 (5Y-CYA),Departed 8:04 AM
6:35 AM,SG6285,Dehradun (DED),SpiceJet,B738 (VT-SXC),Departed 6:35 AM
6:35 AM,9I625,Bhuj (BHJ),Alliance Air,AT76 (VT-RKG),Departed 6:59 AM
6:45 AM,MK749,Port Louis (MRU),Air Mauritius,A332 (3B-NBL),Departed 7:20 AM
6:45 AM,6E5047,Delhi (DEL),IndiGo,A20N (VT-IVV),Departed 7:02 AM
6:50 AM,SG376,Patna (PAT),SpiceJet,B738 (VT-SLJ),Departed 7:29 AM
6:50 AM,TK721,Istanbul (IST),Turkish Airlines,B77W (TC-LJE),Departed 7:07 AM
6:50 AM,IX243,Doha (DOH),Air India Express (Kathakali/Bharatanatyam Livery),B738 (VT-GHE),Departed 8:12 AM
6:50 AM,SL219,Bangkok (DMK),Thai Lion Air,B738 (HS-LUL),Departed 7:13 AM
