Time,Flight Number,Destination,Flight Name,Aircraft,Status
12:05 AM,G82508,Delhi (DEL),GoAir,A20N (VT-WGO),Departed 12:38 AM
12:05 AM,I5330,Delhi (DEL),AirAsia,A320 (VT-IMP),Departed 12:56 AM
12:05 AM,PG734,Bangkok (BKK),Bangkok Airways (Samui Livery),A320 (HS-PGW),Departed 12:33 AM
12:10 AM,UA49,New York (EWR),United Airlines,B77W (N2748U),Departed 12:30 AM
12:15 AM,6E848,Bengaluru (BLR),IndiGo,A20N (VT-IZG),Departed 12:41 AM
12:20 AM,6E386,Chennai (MAA),IndiGo,A320 (VT-IHF),Departed 1:14 AM
12:25 AM,6E6185,Cochin (COK),IndiGo,A320 (VT-IHR),Departed 12:50 AM
12:30 AM,SG612,Goa (GOI),SpiceJet,B737 (VT-SLB),Departed 1:20 AM
12:35 AM,G8383,Kannur (CNN),GoAir,A20N (VT-WJO),Departed 12:47 AM
12:35 AM,SG490,Kolkata (CCU),SpiceJet,737,Estimated dep. 12:35 AM
12:45 AM,AI911,Dubai (DXB),Air India,B788 (VT-ANR),Departed 1:22 AM
12:50 AM,SG789,Bengaluru (BLR),SpiceJet,B738 (VT-SGQ),Departed 12:54 AM
12:50 AM,SG6287,Chennai (MAA),SpiceJet,B738 (VT-SGG),Departed 12:58 AM
12:50 AM,6E5384,Hyderabad (HYD),IndiGo,A320 (VT-IGI),Departed 1:35 AM
12:50 AM,6E6489,Delhi (DEL),IndiGo,A20N (VT-IZC),Departed 1:13 AM
12:55 AM,SQ425,Singapore (SIN),Singapore Airlines,B772 (9V-SVC),Departed 1:10 AM
12:55 AM,DL25,New York (JFK),Delta Air Lines,B77L (N709DN),Departed 1:09 AM
1:10 AM,I5308,Bengaluru (BLR),AirAsia,A320 (VT-BLR),Departed 1:25 AM
1:20 AM,LX155,Zurich (ZRH),Swiss,A343 (HB-JMA),Departed 1:42 AM
1:25 AM,G821,Phuket (HKT),GoAir,A20N (VT-WGF),Departed 1:43 AM
1:25 AM,6E1768,Dubai (DXB),IndiGo,A20N (VT-IZW),Departed 1:53 AM
1:30 AM,AI191,New York (EWR),Air India,B77W (VT-ALR),Departed 1:48 AM
1:35 AM,AI31,Ahmedabad (AMD),Air India,B788 (VT-ANA),Departed 2:03 AM
1:35 AM,LH767,Munich (MUC),Lufthansa,A359 (D-AIXG),Departed 1:54 AM
1:50 AM,I5317,Kolkata (CCU),AirAsia,A320 (VT-CCU),Departed 1:50 AM
1:50 AM,6.00E+19,Singapore (SIN),IndiGo,A320 (VT-IFT),Departed 1:57 AM
1:50 AM,6.00E+154,Delhi (DEL),IndiGo,A320 (VT-IEZ),Departed 1:52 AM
2:00 AM,AI33,Goa (GOI),Air India,A321 (VT-PPJ),Departed 2:06 AM
2:05 AM,AF217,Paris (CDG),Air France,B772 (F-GSPG),Departed 2:21 AM
2:15 AM,BA138,London (LHR),British Airways,B772 (G-YMMN),Departed 2:27 AM
2:15 AM,CX66,Hong Kong (HKG),Cathay Pacific,74N,Unknown
2:20 AM,SG6267,Delhi (DEL),SpiceJet (With All Our Heart Livery),B738 (VT-SZK),Departed 2:26 AM
2:25 AM,KU302,Kuwait City (KWI),Kuwait Airways,B77W (9K-AOI),Departed 2:09 AM
2:25 AM,BZ154,Ahmedabad (AMD),Blue Dart Aviation,B752 (VT-BDB),Departed 2:33 AM
2:30 AM,IA442,Najaf (NJF),Iraqi Airways,B738 (YI-ASJ),Departed 2:30 AM
2:30 AM,KL878,Amsterdam (AMS),KLM,B789 (PH-BHH),Departed 2:39 AM
2:30 AM,KE656,Seoul (ICN),Korean Air (SkyTeam Livery),A332 (HL8212),Departed 2:49 AM
2:30 AM,6.00E+272,Hyderabad (HYD),IndiGo,A320 (VT-IFC),Departed 2:35 AM
2:40 AM,WE336,Bangkok (BKK),THAI Smile,A320 (HS-TXD),Departed 2:43 AM
2:55 AM,LH757,Frankfurt (FRA),Lufthansa,B744 (D-ABVX),Departed 3:19 AM
3:00 AM,VS355,London (LHR),Virgin Atlantic,B789 (G-VWHO),Departed 3:06 AM
3:00 AM,SG7064,Delhi (DEL),SpiceXpress,B737 (VT-SFD),Departed 3:13 AM
3:05 AM,BZ102,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDA),Departed 3:01 AM
3:05 AM,BZ654,Ahmedabad (AMD),Blue Dart Aviation,75F,Unknown
3:05 AM,UK924,Delhi (DEL),Vistara,A20N (VT-TNS),Departed 3:03 AM
3:10 AM,UL142,Colombo (CMB),SriLankan Airlines,A320 (4R-ABM),Departed 3:09 AM
4:00 AM,QR557,Doha (DOH),Qatar Airways,B77W (A7-BAM),Departed 4:06 AM
4:00 AM,G8461,Port Blair (IXZ),GoAir,A320 (VT-GOR),Departed 4:13 AM
4:05 AM,ET611,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-ATR),Departed 4:27 AM
4:05 AM,J9402,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAM),Departed 4:29 AM
4:05 AM,SG81,Bangkok (BKK),SpiceJet,B738 (VT-SYV),Departed 4:34 AM
4:15 AM,EK501,Dubai (DXB),Emirates,A388 (A6-EEE),Departed 4:36 AM
4:25 AM,SG7045,Sharjah (SHJ),SpiceJet,-,Unknown
4:30 AM,QR8607,Doha (DOH),Qatar Cargo,B77L (A7-BFR),Departed 5:11 AM
4:40 AM,EY205,Abu Dhabi (AUH),Etihad,B77W (A6-ETH),Departed 4:43 AM
4:55 AM,G8575,Goa (GOI),GoAir,A20N (VT-WGR),Departed 4:52 AM
4:55 AM,G9407,Sharjah (SHJ),Air Arabia,A320 (A6-ANU),Departed 4:51 AM
5:00 AM,AI601,Rajkot (RAJ),Air India,A319 (VT-SCV),Departed 5:05 AM
5:00 AM,6E6181,Kolkata (CCU),IndiGo,A20N (VT-IZZ),Departed 5:14 AM
5:05 AM,FZ446,Dubai (DXB),flydubai,B738 (A6-FEI),Departed 5:19 AM
5:05 AM,AI83,Goa (GOI),Air India,A20N (VT-EXT),Departed 5:29 AM
5:05 AM,6E1766,Kuwait City (KWI),IndiGo,A320 (VT-IAX),Departed 5:13 AM
5:10 AM,BZ201,Bengaluru (BLR),Blue Dart Aviation,B752 (VT-BDQ),Departed 5:21 AM
5:10 AM,G8347,Cochin (COK),GoAir,A20N (VT-WGW),Departed 5:18 AM
