Time,Flight Number,Destination,Flight Name,Aircraft,Status
12:05 AM,G82508,Delhi (DEL),GoAir,A20N (VT-WGM),Departed 12:30 AM
12:05 AM,I5330,Delhi (DEL),AirAsia,A320 (VT-BLR),Departed 1:27 AM
12:05 AM,PG734,Bangkok (BKK),Bangkok Airways (Guilin Livery),A320 (HS-PGU),Departed 12:14 AM
12:10 AM,UA49,New York (EWR),United Airlines,B77W (N2749U),Departed 12:27 AM
12:15 AM,6E848,Bengaluru (BLR),IndiGo,A20N (VT-IJA),Departed 1:05 AM
12:20 AM,6E386,Chennai (MAA),IndiGo,A20N (VT-IVC),Departed 12:31 AM
12:25 AM,6E6185,Cochin (COK),IndiGo,A320 (VT-IHS),Departed 12:17 AM
12:30 AM,SG612,Goa (GOI),SpiceJet,B737 (VT-SLA),Departed 12:37 AM
12:35 AM,G8383,Kannur (CNN),GoAir,A20N (VT-WGL),Departed 12:56 AM
12:35 AM,SG490,Kolkata (CCU),SpiceJet,B737 (VT-SYT),Departed 2:12 AM
12:45 AM,AI911,Dubai (DXB),Air India,B788 (VT-ANE),Departed 1:06 AM
12:50 AM,SG789,Bengaluru (BLR),SpiceJet,B738 (VT-SLG),Departed 1:09 AM
12:50 AM,SG6287,Chennai (MAA),SpiceJet,B738 (VT-SGG),Departed 2:00 AM
12:50 AM,6E5384,Hyderabad (HYD),IndiGo,A320 (VT-INV),Departed 1:24 AM
12:50 AM,6E6489,Delhi (DEL),IndiGo,A320 (VT-IGK),Departed 12:54 AM
12:55 AM,DL25,New York (JFK),Delta Air Lines,B77L (N706DN),Departed 12:59 AM
1:10 AM,I5308,Bengaluru (BLR),AirAsia,A320 (VT-KOC),Departed 1:37 AM
1:20 AM,LX155,Zurich (ZRH),Swiss,A343 (HB-JMC),Departed 2:22 AM
1:25 AM,G821,Phuket (HKT),Go Air,32A,Unknown
1:25 AM,6E1768,Dubai (DXB),IndiGo,A320 (VT-IAL),Departed 1:39 AM
1:30 AM,AI191,New York (EWR),Air India,B77W (VT-ALS),Departed 2:52 AM
1:35 AM,AI31,Ahmedabad (AMD),Air India,B788 (VT-ANV),Departed 2:03 AM
1:35 AM,LH767,Munich (MUC),Lufthansa,A359 (D-AIXO),Departed 2:06 AM
1:50 AM,I5317,Kolkata (CCU),AirAsia,A320 (VT-HKG),Departed 2:10 AM
1:50 AM,6.00E+154,Delhi (DEL),IndiGo,A320 (VT-IEQ),Departed 1:54 AM
