Time,Flight Number,Destination,Flight Name,Aircraft,Status
12:05 AM,G82508,Delhi (DEL),GoAir,A320 (VT-GOO),Departed 12:22 AM
12:05 AM,I5330,Delhi (DEL),AirAsia,A320 (VT-VTZ),Departed 1:03 AM
12:05 AM,PG734,Bangkok (BKK),Bangkok Airways (Guilin Livery),A320 (HS-PGU),Departed 12:57 AM
12:10 AM,UA49,New York (EWR),United Airlines,B77W (N2747U),Departed 1:06 AM
12:15 AM,6E848,Bengaluru (BLR),IndiGo,A320 (VT-IFB),Departed 12:46 AM
12:20 AM,6E386,Chennai (MAA),IndiGo,A20N (VT-ITD),Departed 12:34 AM
12:25 AM,6E6185,Cochin (COK),IndiGo,A20N (VT-ITT),Departed 12:37 AM
12:30 AM,SG612,Goa (GOI),SpiceJet,B737 (VT-SLB),Departed 1:34 AM
12:35 AM,G8383,Kannur (CNN),GoAir,A20N (VT-WJA),Departed 1:31 AM
12:35 AM,SG490,Kolkata (CCU),SpiceJet,B737 (VT-SYP),Departed 2:30 AM
12:45 AM,AI911,Dubai (DXB),Air India,B788 (VT-ANG),Departed 1:11 AM
12:50 AM,SG789,Bengaluru (BLR),SpiceJet,B738 (VT-SYD),Departed 1:18 AM
12:50 AM,SG6287,Chennai (MAA),SpiceJet,B738 (VT-SGG),Departed 2:22 AM
12:50 AM,6E5384,Hyderabad (HYD),IndiGo,A320 (VT-IEU),Departed 1:20 AM
12:50 AM,6E6489,Delhi (DEL),IndiGo,A320 (VT-IDV),Departed 1:23 AM
12:55 AM,SQ425,Singapore (SIN),Singapore Airlines,B772 (9V-SVC),Departed 1:13 AM
12:55 AM,DL25,New York (JFK),Delta Air Lines,B77L (N703DN),Departed 1:56 AM
1:10 AM,I5308,Bengaluru (BLR),AirAsia,A320 (VT-NAG),Departed 1:27 AM
1:20 AM,LX155,Zurich (ZRH),Swiss,A343 (HB-JMB),Departed 1:47 AM
1:25 AM,G821,Phuket (HKT),GoAir,A20N (VT-WJC),Departed 1:37 AM
1:25 AM,6E1768,Dubai (DXB),IndiGo,A320 (VT-IAL),Departed 1:49 AM
1:30 AM,AI191,New York (EWR),Air India,B77W (VT-ALP),Departed 2:27 AM
1:35 AM,AI31,Ahmedabad (AMD),Air India,B788 (VT-ANS),Departed 1:58 AM
1:35 AM,LH767,Munich (MUC),Lufthansa,A359 (D-AIXI),Departed 1:55 AM
1:50 AM,6.00E+19,Singapore (SIN),IndiGo,A320 (VT-IFH),Departed 2:43 AM
1:50 AM,I5317,Kolkata (CCU),AirAsia (Kabali Livery),A320 (VT-APJ),Departed 3:15 AM
1:50 AM,6.00E+154,Delhi (DEL),IndiGo,A320 (VT-IES),Departed 2:14 AM
2:00 AM,AI33,Goa (GOI),Air India,A20N (VT-EXL),Departed 2:19 AM
2:05 AM,AF217,Paris (CDG),Air France,B772 (F-GSPE),Departed 2:17 AM
2:15 AM,BA138,London (LHR),British Airways,B772 (G-YMMO),Departed 2:40 AM
2:15 AM,CX66,Hong Kong (HKG),Cathay Pacific,74N,Unknown
2:20 AM,SG6267,Delhi (DEL),SpiceJet,B738 (VT-SYJ),Departed 2:46 AM
2:25 AM,KU302,Kuwait City (KWI),Kuwait Airways,B77W (9K-AOH),Departed 2:59 AM
2:25 AM,BZ154,Ahmedabad (AMD),Blue Dart Aviation,75F,Unknown
2:30 AM,IA442,Najaf (NJF),Iraqi Airways,B738 (YI-ASI),Departed 2:45 AM
2:30 AM,KE656,Seoul (ICN),Korean Air,A332 (HL7538),Departed 3:02 AM
2:30 AM,KL878,Amsterdam (AMS),KLM,B789 (PH-BHP),Departed 2:51 AM
2:30 AM,6.00E+272,Hyderabad (HYD),IndiGo,A320 (VT-IKA),Departed 2:49 AM
2:40 AM,WE336,Bangkok (BKK),THAI Smile,A320 (HS-TXA),Departed 3:04 AM
2:55 AM,LH757,Frankfurt (FRA),Lufthansa,B744 (D-ABVS),Departed 3:12 AM
3:00 AM,VS355,London (LHR),Virgin Atlantic,B789 (G-VMAP),Departed 3:23 AM
3:00 AM,SG7064,Delhi (DEL),SpiceXpress,B737 (VT-SFD),Departed 3:05 AM
3:05 AM,BZ102,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDO),Departed 3:09 AM
3:05 AM,BZ654,Ahmedabad (AMD),Blue Dart Aviation,75F,Unknown
3:05 AM,UK924,Delhi (DEL),Vistara,A20N (VT-TNE),Departed 3:08 AM
3:10 AM,UL142,Colombo (CMB),SriLankan Airlines,A21N (4R-ANC),Departed 3:39 AM
4:00 AM,QR557,Doha (DOH),Qatar Airways,B77W (A7-BEV),Departed 4:24 AM
4:00 AM,G8461,Port Blair (IXZ),GoAir,A320 (VT-GOS),Departed 4:03 AM
4:05 AM,ET611,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-ATY),Departed 4:12 AM
4:05 AM,J9402,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAI),Departed 4:16 AM
4:05 AM,SG81,Bangkok (BKK),SpiceJet,B738 (VT-SXA),Departed 4:17 AM
4:15 AM,EK501,Dubai (DXB),Emirates (Expo 2020 - Mobility Livery),A388 (A6-EOC),Departed 4:32 AM
4:25 AM,SG7045,Sharjah (SHJ),SpiceJet,-,Unknown
4:30 AM,QR8607,Doha (DOH),Qatar Cargo,B77L (A7-BFT),Departed 5:42 AM
4:40 AM,EY205,Abu Dhabi (AUH),Etihad,B77W (A6-ETG),Departed 4:52 AM
4:55 AM,G8575,Goa (GOI),GoAir,A20N (VT-WGX),Departed 5:00 AM
4:55 AM,G9407,Sharjah (SHJ),Air Arabia,A320 (A6-AOU),Departed 5:45 AM
5:00 AM,6E6181,Kolkata (CCU),IndiGo,A20N (VT-IZE),Departed 5:05 AM
5:00 AM,AI601,Rajkot (RAJ),Air India,A319 (VT-SCF),Departed 5:27 AM
5:05 AM,FZ446,Dubai (DXB),flydubai,B738 (A6-FEZ),Departed 5:15 AM
5:05 AM,AI83,Goa (GOI),Air India,A20N (VT-EXP),Departed 5:10 AM
5:05 AM,6E1766,Kuwait City (KWI),IndiGo,A320 (VT-IFX),Departed 6:06 AM
5:10 AM,BZ201,Bengaluru (BLR),Blue Dart Aviation,B752 (VT-BDB),Departed 5:21 AM
5:10 AM,G8347,Cochin (COK),GoAir,A20N (VT-WGI),Departed 5:08 AM
5:15 AM,SG6280,Srinagar (SXR),SpiceJet,B737 (VT-SYT),Departed 5:25 AM
