Time,Flight Number,Source,Flight Name,Aircraft,Status
2:30 AM,KL878,Amsterdam (AMS),KLM,B78X (PH-BKF),Departed 2:54 AM
2:30 AM,6.00E+272,Hyderabad (HYD),IndiGo,A320 (VT-IGJ),Departed 2:59 AM
2:35 AM,SG748,Hyderabad (HYD),SpiceJet,B738 (VT-SGX),Departed 2:44 AM
2:40 AM,WE336,Bangkok (BKK),THAI Smile,A320 (HS-TXF),Departed 2:39 AM
2:55 AM,LH757,Frankfurt (FRA),Lufthansa,B744 (D-ABTL),Departed 3:17 AM
3:00 AM,VS355,London (LHR),Virgin Atlantic,B789 (G-VSPY),Departed 3:05 AM
3:05 AM,UK924,Delhi (DEL),Vistara,A20N (VT-TNV),Departed 3:15 AM
3:10 AM,UL142,Colombo (CMB),SriLankan Airlines,A320 (4R-ABN),Departed 5:09 AM
4:00 AM,G8461,Port Blair (IXZ),GoAir,A320 (VT-GOL),Departed 4:02 AM
4:00 AM,QR557,Doha (DOH),Qatar Airways,B77L (A7-BBC),Departed 4:20 AM
4:05 AM,ET611,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AVB),Departed 4:13 AM
4:05 AM,J9402,Kuwait City (KWI),Jazeera Airways,A20N (9K-CAQ),Departed 4:10 AM
4:05 AM,SG81,Bangkok (BKK),SpiceJet,B738 (VT-SYV),Departed 4:18 AM
4:15 AM,EK501,Dubai (DXB),Emirates (Rugby World Cup Japan 2019 Livery),A388 (A6-EEU),Departed 4:33 AM
4:25 AM,SG7045,Sharjah (SHJ),SpiceJet,-,Unknown
4:40 AM,EY205,Abu Dhabi (AUH),Etihad,B77W (A6-ETH),Departed 4:46 AM
4:55 AM,G9407,Sharjah (SHJ),Air Arabia,A320 (A6-AOA),Departed 5:21 AM
4:55 AM,G8575,Goa (GOI),GoAir,A20N (VT-WGK),Departed 4:55 AM
5:00 AM,6E6181,Kolkata (CCU),IndiGo,A20N (VT-IJA),Departed 5:01 AM
5:05 AM,AI83,Goa (GOI),Air India,A20N (VT-EXI),Departed 6:10 AM
5:05 AM,FZ446,Dubai (DXB),flydubai,B738 (A6-FEU),Departed 5:26 AM
5:05 AM,6E1766,Kuwait City (KWI),IndiGo,A320 (VT-IFR),Departed 5:23 AM
5:10 AM,G8347,Cochin (COK),GoAir,A20N (VT-WGF),Departed 5:17 AM
5:15 AM,SG6280,Srinagar (SXR),SpiceJet,B737 (VT-SLP),Departed 5:30 AM
5:15 AM,6E6186,Vadodara (BDQ),IndiGo,A20N (VT-IZI),Departed 5:27 AM
5:20 AM,I5715,Delhi (DEL),AirAsia,A320 (VT-SIN),Departed 5:20 AM
5:20 AM,SG6276,Jaipur (JAI),SpiceJet,B738 (VT-SYA),Departed 5:25 AM
5:20 AM,6.00E+207,Jaipur (JAI),IndiGo,A20N (VT-IZN),Departed 5:22 AM
5:31 AM,AI54,Cochin (COK),Air India,A319 (VT-SCG),Departed 5:37 AM
5:31 AM,AI986,Ahmedabad (AMD),Air India,A20N (VT-CIM),Departed 5:53 AM
5:31 AM,HM261,Victoria (SEZ),Air Seychelles,A20N (S7-VEV),Departed 6:01 AM
5:31 AM,SG241,Kolkata (CCU),SpiceJet,B738 (VT-SPP),Departed 5:38 AM
