Time,Flight Number,Destination,Flight Name,Aircraft,Status
12:05 AM,I5330,Delhi (DEL),AirAsia,A320 (VT-ATB),Departed 2:54 AM
12:05 AM,PG734,Bangkok (BKK),Bangkok Airways (Guilin Livery),A320 (HS-PGU),Departed 12:14 AM
12:10 AM,UA49,New York (EWR),United Airlines,B77W (N2333U),Departed 12:21 AM
12:15 AM,6E848,Bengaluru (BLR),IndiGo,A320 (VT-IKE),Departed 12:28 AM
12:20 AM,6E386,Chennai (MAA),IndiGo,A20N (VT-ITX),Departed 12:31 AM
12:25 AM,6E6185,Cochin (COK),IndiGo,A320 (VT-IDY),Departed 12:38 AM
12:30 AM,SG612,Goa (GOI),SpiceJet,B737 (VT-SLA),Departed 12:34 AM
12:35 AM,G8383,Kannur (CNN),GoAir,A20N (VT-WGD),Departed 1:32 AM
12:35 AM,SG490,Kolkata (CCU),SpiceJet,B737 (VT-SYP),Departed 1:48 AM
12:45 AM,AI911,Dubai (DXB),Air India,B788 (VT-ANK),Departed 12:58 AM
12:50 AM,SG6287,Chennai (MAA),SpiceJet,B738 (VT-SGY),Departed 1:04 AM
12:50 AM,6E5384,Hyderabad (HYD),IndiGo,A20N (VT-IJU),Departed 12:52 AM
12:50 AM,6E6489,Delhi (DEL),IndiGo,A20N (VT-IVY),Departed 1:37 AM
12:55 AM,DL25,New York (JFK),Delta Air Lines,B77L (N705DN),Departed 1:25 AM
12:55 AM,SQ425,Singapore (SIN),Singapore Airlines,B772 (9V-SVE),Departed 1:16 AM
1:00 AM,G82508,Delhi (DEL),GoAir,A320 (VT-WAL),Departed 1:11 AM
1:10 AM,I5308,Bengaluru (BLR),AirAsia,A320 (VT-KUL),Departed 1:23 AM
1:15 AM,SQ7951,Singapore (SIN),Singapore Airlines,74Y,Unknown
1:20 AM,LX155,Zurich (ZRH),Swiss,A343 (HB-JMH),Departed 1:27 AM
1:25 AM,G821,Phuket (HKT),GoAir,A20N (VT-WGK),Departed 1:20 AM
1:25 AM,6E1768,Dubai (DXB),IndiGo,A20N (VT-IVF),Departed 1:29 AM
1:30 AM,AI191,New York (EWR),Air India,B77W (VT-ALU),Departed 2:02 AM
1:35 AM,LH767,Munich (MUC),Lufthansa,A359 (D-AIXI),Departed 1:58 AM
1:35 AM,AI31,Ahmedabad (AMD),Air India,B788 (VT-ANT),Departed 1:45 AM
1:40 AM,CX660,Hong Kong (HKG),Cathay Pacific,B77W (B-KQX),Departed 2:13 AM
1:50 AM,6.00E+19,Singapore (SIN),IndiGo,A320 (VT-IEG),Departed 2:12 AM
1:50 AM,I5317,Kolkata (CCU),AirAsia,A320 (VT-BOM),Departed 2:42 AM
1:50 AM,6.00E+154,Delhi (DEL),IndiGo,A320 (VT-IDX),Departed 2:05 AM
2:00 AM,AI33,Goa (GOI),Air India,A319 (VT-SCO),Departed 2:08 AM
2:05 AM,AF217,Paris (CDG),Air France,B772 (F-GSPZ),Departed 2:18 AM
2:15 AM,BA138,London (LHR),British Airways,B772 (G-YMMJ),Departed 2:32 AM
2:20 AM,SG6267,Delhi (DEL),SpiceJet,B738 (VT-SYG),Departed 2:21 AM
2:25 AM,KU302,Kuwait City (KWI),Kuwait Airways,A20N (9K-AKM),Departed 2:31 AM
2:25 AM,BZ654,Ahmedabad (AMD),Blue Dart Aviation,B752 (VT-BDQ),Departed 3:17 AM
2:30 AM,KL878,Amsterdam (AMS),KLM,B78X (PH-BKC),Departed 2:50 AM
2:30 AM,6.00E+272,Hyderabad (HYD),IndiGo,A320 (VT-IGH),Departed 2:46 AM
2:30 AM,IA442,Najaf (NJF),Iraqi Airways,738,Unknown
2:40 AM,WE336,Bangkok (BKK),THAI Smile,A320 (HS-TXB),Departed 2:53 AM
2:50 AM,MS969,Cairo (CAI),EgyptAir,A332 (SU-GCG),Departed 3:22 AM
2:55 AM,LH757,Frankfurt (FRA),Lufthansa,B744 (D-ABVT),Departed 3:09 AM
3:00 AM,VS355,London (LHR),Virgin Atlantic,B789 (G-VMAP),Departed 3:15 AM
3:05 AM,UK924,Delhi (DEL),Vistara,B738 (VT-TGI),Departed 3:07 AM
3:05 AM,BZ102,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDM),Departed 4:00 AM
3:10 AM,UL142,Colombo (CMB),SriLankan Airlines,A20N (4R-ANB),Departed 4:06 AM
4:00 AM,G8305,Chennai (MAA),GoAir,A20N (VT-WGO),Departed 4:22 AM
4:00 AM,QR557,Doha (DOH),Qatar Airways,B77W (A7-BAE),Departed 4:18 AM
4:00 AM,G8461,Port Blair (IXZ),Go Air,320,Unknown
4:05 AM,ET611,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AVC),Departed 4:25 AM
4:05 AM,J9402,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAM),Departed 4:04 AM
4:05 AM,SG81,Bangkok (BKK),SpiceJet,B738 (VT-SXA),Departed 4:13 AM
4:15 AM,EK501,Dubai (DXB),Emirates,A388 (A6-EDS),Departed 4:29 AM
4:15 AM,IY857,Sana'a (SAH),Yemenia,320,Unknown
4:15 AM,WB501,Kigali (KGL),RwandAir,738,Estimated dep. 4:15 AM
4:25 AM,SG7045,Sharjah (SHJ),SpiceJet,-,Unknown
4:40 AM,EY205,Abu Dhabi (AUH),Etihad,B77W (A6-ETJ),Departed 5:02 AM
4:55 AM,G8575,Goa (GOI),GoAir,A20N (VT-WJK),Departed 5:08 AM
