Time,Flight Number,Destination,Flight Name,Aircraft,Status
4:40 AM,EY205,Abu Dhabi (AUH),Etihad,B77W (A6-ETP),Departed 4:31 AM
4:50 AM,LH8472,Hong Kong (HKG),Lufthansa Cargo,B77L (D-ALFE),Unknown
4:50 AM,SG7032,Bengaluru (BLR),SpiceXpress,B738 (VT-SFF),Departed 5:57 AM
4:55 AM,G8575,Goa (GOI),GoAir,A20N (VT-WGY),Departed 4:58 AM
4:55 AM,G9407,Sharjah (SHJ),Air Arabia,A320 (A6-AOK),Departed 5:15 AM
5:00 AM,6E6181,Kolkata (CCU),IndiGo,A20N (VT-IJK),Departed 5:07 AM
5:05 AM,FZ446,Dubai (DXB),flydubai,B738 (A6-FEJ),Departed 5:28 AM
5:05 AM,6E1766,Kuwait City (KWI),IndiGo,A320 (VT-IFI),Departed 5:19 AM
5:10 AM,G8347,Cochin (COK),GoAir,A20N (VT-WJC),Departed 5:05 AM
5:10 AM,BZ201,Bengaluru (BLR),Blue Dart Aviation,B752 (VT-BDA),Departed 5:23 AM
5:10 AM,WB501,Kigali (KGL),RwandAir,332,Estimated dep. 4:15 AM
5:15 AM,6E6186,Vadodara (BDQ),IndiGo,A20N (VT-IVU),Departed 5:33 AM
5:20 AM,I5715,Delhi (DEL),AirAsia,A320 (VT-SIN),Departed 5:21 AM
5:20 AM,SG6276,Jaipur (JAI),SpiceJet,B738 (VT-SYC),Departed 5:17 AM
5:20 AM,6.00E+207,Jaipur (JAI),IndiGo,A320 (VT-IEB),Departed 5:27 AM
5:20 AM,SG7086,Bengaluru (BLR),SpiceXpress,B737 (VT-SFE),Departed 5:36 AM
5:25 AM,BZ481,Hyderabad (HYD),Blue Dart Aviation,B752 (VT-BDB),Departed 5:39 AM
5:31 AM,AI986,Ahmedabad (AMD),Air India,A20N (VT-EXV),Departed 6:55 AM
5:31 AM,HM261,Victoria (SEZ),Air Seychelles,A20N (S7-VEV),Departed 5:40 AM
5:31 AM,SG241,Kolkata (CCU),SpiceJet,B738 (VT-SYM),Departed 5:48 AM
5:31 AM,UK954,Delhi (DEL),Vistara,A320 (VT-TTC),Departed 5:46 AM
5:35 AM,AI627,Nagpur (NAG),Air India,A321 (VT-PPT),Departed 5:37 AM
5:35 AM,6E6179,Ranchi (IXR),IndiGo,A320 (VT-IEK),Departed 5:35 AM
5:40 AM,AI570,Chennai (MAA),Air India,A20N (VT-CIF),Departed 11:17 AM
5:45 AM,G8390,Jaipur (JAI),GoAir,A20N (VT-WJI),Departed 6:20 AM
5:45 AM,AI633,Bhopal (BHO),Air India,A20N (VT-EXM),Departed 5:52 AM
5:45 AM,SG421,Hyderabad (HYD),SpiceJet,B737 (VT-SLP),Departed 5:54 AM
5:50 AM,G8305,Chennai (MAA),GoAir,A320 (VT-GOQ),Departed 6:07 AM
5:50 AM,9I649,Surat (STV),Alliance Air,ATR,Unknown
5:55 AM,SG6480,Guwahati (GAU),SpiceJet,B738 (VT-SYY),Departed 6:15 AM
5:55 AM,SG6280,Jammu (IXJ),SpiceJet,B737 (VT-SYU),Departed 7:57 AM
6:00 AM,G8317,Bengaluru (BLR),GoAir,A20N (VT-WJR),Departed 6:17 AM
6:00 AM,G8329,Delhi (DEL),GoAir,A320 (VT-GOK),Departed 6:18 AM
6:00 AM,SG8160,Delhi (DEL),SpiceJet,B738 (VT-SPP),Departed 6:00 AM
6:00 AM,UK845,Bengaluru (BLR),Vistara,B738 (VT-TGB),Departed 6:10 AM
6:05 AM,G82601,Nagpur (NAG),GoAir,A20N (VT-WJQ),Departed 6:08 AM
6:05 AM,AI54,Cochin (COK),Air India,A321 (VT-PPL),Departed 6:29 AM
6:05 AM,AI621,Chandigarh (IXC),Air India,A320 (VT-EXE),Departed 6:23 AM
6:05 AM,UK821,Chennai (MAA),Vistara,B738 (VT-TGE),Departed 6:03 AM
6:05 AM,6.00E+199,Bengaluru (BLR),IndiGo,A320 (VT-IES),Departed 6:14 AM
6:05 AM,6E6613,Delhi (DEL),IndiGo,A320 (VT-IEY),Departed 6:11 AM
6:10 AM,AI605,Aurangabad (IXU),Air India,A319 (VT-SCP),Departed 6:04 AM
6:10 AM,AI675,Kolkata (CCU),Air india (Star Alliance Livery),A20N (VT-EXO),Departed 7:35 AM
6:10 AM,UK873,Hyderabad (HYD),Vistara,A20N (VT-TNB),Departed 6:28 AM
6:10 AM,6.00E+229,Chennai (MAA),IndiGo,A320 (VT-IDN),Departed 6:31 AM
6:15 AM,AI83,Goa (GOI),Air India,A20N (VT-CID),Departed 6:48 AM
6:15 AM,AI603,Bengaluru (BLR),Air India,A20N (VT-CIO),Departed 6:40 AM
6:15 AM,6E461,Hyderabad (HYD),IndiGo,A320 (VT-IFR),Departed 6:44 AM
6:20 AM,6E1835,Abu Dhabi (AUH),IndiGo,A21N (VT-IUB),Departed 6:46 AM
6:25 AM,6E567,Aurangabad (IXU),IndiGo,A320 (VT-IFQ),Departed 6:33 AM
6:25 AM,SG6431,Hyderabad (HYD),SpiceJet,B737 (VT-SYP),Departed 6:36 AM
6:30 AM,GF57,Bahrain (BAH),Gulf Air,A321 (A9C-CD),Departed 6:41 AM
6:30 AM,UK928,Delhi (DEL),Vistara,A20N (VT-TNK),Departed 6:51 AM
6:30 AM,6E6182,Indore (IDR),IndiGo,A20N (VT-IVZ),Departed 6:38 AM
6:35 AM,KQ205,Nairobi (NBO),Kenya Airways (SkyTeam Livery),B738 (5Y-CYE),Departed 6:58 AM
6:35 AM,SG6285,Dehradun (DED),SpiceJet,B738 (VT-SXB),Departed 6:52 AM
6:45 AM,MK749,Port Louis (MRU),Air Mauritius,A339 (3B-NBV),Departed 7:10 AM
6:45 AM,6E5047,Delhi (DEL),IndiGo,A320 (VT-IHM),Departed 6:59 AM
6:50 AM,SG376,Patna (PAT),SpiceJet,B738 (VT-SLJ),Departed 7:09 AM
6:50 AM,TK721,Istanbul (IST),Turkish Airlines,B77W (TC-JJR),Departed 7:19 AM
6:50 AM,SL219,Bangkok (DMK),Thai Lion Air,B738 (HS-LUI),Departed 7:17 AM
6:55 AM,SQ7969,Singapore (SIN),Singapore Airlines,74Y,Unknown
6:55 AM,UK771,Kolkata (CCU),Vistara,B738 (VT-TGA),Departed 7:07 AM
7:00 AM,AI961,Nairobi (NBO),Air India,B788 (VT-ANT),Departed 7:54 AM
7:00 AM,AI131,London (LHR),Air India (Star Alliance Livery),B77W (VT-ALJ),Departed 8:06 AM
7:00 AM,AI864,Delhi (DEL),Air India,A20N (VT-EXJ),Departed 8:04 AM
7:00 AM,UK851,Bengaluru (BLR),Vistara,B738 (VT-TGI),Departed 7:15 AM
7:05 AM,AI635,Indore (IDR),Air India,A319 (VT-SCM),Departed 7:23 AM
7:05 AM,9I625,Bhuj (BHJ),Alliance Air,AT76 (VT-RKG),Departed 7:25 AM
7:10 AM,6E958,Guwahati (GAU),IndiGo,A20N (VT-ITM),Departed 7:24 AM
7:15 AM,KU304,Kuwait City (KWI),Kuwait Airways,A20N (9K-AKL),Departed 7:21 AM
7:20 AM,SG8152,Delhi (DEL),SpiceJet,B738 (VT-SYZ),Departed 7:27 AM
7:25 AM,SG611,Chennai (MAA),SpiceJet,B737 (VT-SLA),Departed 7:47 AM
7:25 AM,6.00E+213,Ahmedabad (AMD),IndiGo,A320 (VT-IGI),Departed 7:38 AM
7:25 AM,6E5301,Bhopal (BHO),IndiGo,A20N (VT-IVP),Departed 7:49 AM
7:30 AM,UK930,Delhi (DEL),Vistara,A20N (VT-TNI),Departed 8:02 AM
7:35 AM,G8365,Ahmedabad (AMD),GoAir,A20N (VT-WGQ),Departed 7:50 AM
7:35 AM,QR8601,Doha (DOH),Qatar Cargo,B748 (A7-BGA),Departed 8:18 AM
7:35 AM,6E715,Bengaluru (BLR),IndiGo,A20N (VT-IVO),Departed 7:34 AM
7:45 AM,SG704,Varanasi (VNS),Corendon Airlines,B738 (TC-TJR),Departed 8:11 AM
7:45 AM,IX22,Vijayawada (VGA),Air India Express (Hawa Mahal/Ujjayanta Palace),B738 (VT-AXN),Departed 8:24 AM
7:45 AM,6E964,Delhi (DEL),IndiGo,A20N (VT-IVW),Departed 8:16 AM
7:45 AM,6E6749,Kolkata (CCU),IndiGo,A20N (VT-ITH),Departed 8:13 AM
7:50 AM,SG6373,Siliguri (IXB),SpiceJet,B738 (VT-SLL),Departed 8:26 AM
7:50 AM,I5302,Bengaluru (BLR),AirAsia,A320 (VT-BLR),Departed 8:30 AM
