TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS
12:55 PM,6.00E+168,Delhi (DEL),IndiGo,A320 (VT-IGL),Departed 1:43 PM
1:00 PM,MH175,Kuala Lumpur (KUL),Malaysia Airlines,B738 (9M-MXH),Departed 1:44 PM
1:00 PM,6E6219,Goa (GOI),IndiGo,A20N (VT-IVO),Departed 1:31 PM
1:05 PM,AI677,Delhi (DEL),Air India,A20N (VT-CIQ),Departed 2:03 PM
1:05 PM,SG2875,Kandla (IXY),SpiceJet,DH8D (VT-SUJ),Departed 1:53 PM
1:10 PM,IX247,Dubai (DXB),Air India Express (Harmandir Sahib / Jumping Man),B738 (VT-GHI),Departed 2:19 PM
1:10 PM,6E5344,Chennai (MAA),IndiGo,A20N (VT-ITA),Departed 1:34 PM
1:15 PM,BA198,London (LHR),British Airways,B772 (G-YMMT),Departed 2:07 PM
1:15 PM,6E5317,Lucknow (LKO),IndiGo,A320 (VT-INU),Departed 2:02 PM
1:20 PM,2T518,Nanded (NDC),Trujet,AT75 (VT-TMM),Departed 5:06 PM
1:20 PM,6E6223,Dehradun (DED),IndiGo,A320 (VT-IDO),Departed 1:48 PM
1:25 PM,SG6378,Madurai (IXM),SpiceJet,B737 (VT-SLP),Departed 2:11 PM
1:30 PM,EK9889,Dubai (DWC),Emirates,77X,Unknown
1:30 PM,SG6477,Delhi (DEL),SpiceJet,B738 (VT-SZI),Departed 2:44 PM
1:30 PM,WB500,Guangzhou (CAN),RwandAir,332,Unknown
1:35 PM,I5374,Indore (IDR),AirAsia,A320 (VT-JPR),Departed 1:56 PM
1:35 PM,OG112,Belgaum (IXG),Star Air,E145 (VT-GSE),Departed 3:25 PM
1:40 PM,6.00E+176,Delhi (DEL),IndiGo,A320 (VT-IFH),Departed 2:41 PM
1:50 PM,SG467,Hyderabad (HYD),SpiceJet,B738 (VT-SZM),Departed 2:13 PM
1:50 PM,6E711,Goa (GOI),IndiGo,A320 (VT-IFC),Departed 2:40 PM
2:00 PM,MS518,Cairo (CAI),EgyptAir,ABF,Unknown
2:05 PM,UK775,Kolkata (CCU),Vistara,B738 (VT-TGI),Departed 2:38 PM
2:10 PM,AI617,Hyderabad (HYD),Air India,A319 (VT-SCP),Departed 5:03 PM
2:10 PM,SG2548,Jabalpur (JLR),SpiceJet,DH8D (VT-SQC),Departed 3:00 PM
2:20 PM,AI643,Udaipur (UDR),Air India,A20N (VT-EXF),Departed 2:59 PM
2:20 PM,6E957,Thiruvananthapuram (TRV),IndiGo,A20N (VT-IZR),Departed 3:17 PM
2:25 PM,6E324,Raipur (RPR),IndiGo,A21N (VT-IUL),Departed 2:50 PM
2:25 PM,6E342,Lucknow (LKO),IndiGo,A20N (VT-ITJ),Departed 3:10 PM
2:30 PM,UK655,Jodhpur (JDH),Vistara,B738 (VT-TGB),Departed 2:55 PM
2:35 PM,G8382,Bengaluru (BLR),GoAir,A320 (VT-GOK),Departed 2:48 PM
2:40 PM,AI340,Bangkok (BKK),Air india (Star Alliance Livery),A20N (VT-EXO),Departed 3:24 PM
2:40 PM,G85,Abu Dhabi (AUH),GoAir,A20N (VT-WJB),Departed 3:15 PM
2:40 PM,UK944,Delhi (DEL),Vistara,A320 (VT-TTB),Departed 3:31 PM
2:40 PM,6E933,Delhi (DEL),IndiGo,A320 (VT-IAY),Departed 3:23 PM
2:45 PM,SG6354,Andal (RDP),SpiceJet,B737 (VT-SYU),Departed 3:53 PM
2:45 PM,SG6365,Kolkata (CCU),SpiceJet,B738 (VT-SLJ),Departed 3:32 PM
2:45 PM,6E768,Chennai (MAA),IndiGo,A320 (VT-IFD),Departed 3:35 PM
2:50 PM,SG2872,Belgaum (IXG),SpiceJet,DH8D (VT-SQA),Departed 3:36 PM
2:50 PM,6.00E+83,Dubai (DXB),IndiGo,A320 (VT-IEN),Departed 3:09 PM
3:00 PM,I5481,Delhi (DEL),AirAsia,A320 (VT-KTM),Departed 3:40 PM
3:05 PM,AI508,Hubli (HBX),Air India,A319 (VT-SCF),Departed 4:03 PM
3:10 PM,G82605,Goa (GOI),GoAir,A320 (VT-GOP),Departed 4:10 PM
3:10 PM,SG6437,Thiruvananthapuram (TRV),SpiceJet,B738 (VT-SYW),Departed 3:39 PM
3:15 PM,G8397,Lucknow (LKO),GoAir,A20N (VT-WJL),Departed 3:55 PM
3:15 PM,6E419,Goa (GOI),IndiGo,A20N (VT-IVU),Departed 3:48 PM
3:25 PM,AI442,Aurangabad (IXU),Air India,A319 (VT-SCO),Departed 4:29 PM
3:25 PM,6.00E+264,Bhopal (BHO),IndiGo,A20N (VT-IVN),Departed 4:01 PM
