TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS
11:10 PM,6E5349,Bengaluru (BLR),IndiGo,A20N (VT-IJC),Departed 11:17 PM
11:15 PM,G8511,Kolkata (CCU),GoAir,A20N (VT-WJH),Departed 11:58 PM
11:15 PM,OD216,Kuala Lumpur (KUL),Batik Air Malaysia,B738 (9M-LCR),Departed 12:07 AM
11:20 PM,TG318,Bangkok (BKK),Thai Airways,B744 (HS-TGX),Departed 11:49 PM
11:35 PM,AI275,Colombo (CMB),Air India,A20N (VT-EXK),Departed 12:20 AM
11:35 PM,I5339,Bengaluru (BLR),AirAsia,A320 (VT-JPR),Departed 12:12 AM
11:35 PM,MH195,Kuala Lumpur (KUL),Malaysia Airlines,A332 (9M-MTU),Departed 1:08 AM
11:35 PM,SQ423,Singapore (SIN),Singapore Airlines,A388 (9V-SKZ),Departed 12:42 AM
11:40 PM,IX251,Sharjah (SHJ),Air India Express (Red Fort/Gwalior Fort Livery),B738 (VT-AXJ),Departed 12:33 AM
11:50 PM,AI342,Singapore (SIN),Air India,A20N (VT-EXP),Departed 1:39 AM
11:55 PM,AC47,Toronto (YYZ),Air Canada,B77L (C-FIVK),Departed 12:57 AM
11:55 PM,EK9819,Ahmedabad (AMD),Emirates SkyCargo,B77L (A6-EFL),Departed 12:24 AM
11:55 PM,UK105,Singapore (SIN),Vistara,A20N (VT-TNP),Departed 12:30 AM
