Time,Flight Number,Destination,Flight Name,Aircraft,Status
12:30 PM,AI921,Riyadh (RUH),Air India,A20N (VT-CIG),Departed 1:11 PM
12:30 PM,LY74,Tel Aviv (TLV),El Al Israel Airlines,B772 (4X-ECD),Departed 1:26 PM
12:35 PM,AI669,Bhubaneswar (BBI),Air India,A320 (VT-EDC),Departed 1:29 PM
12:40 PM,CX8,Hong Kong (HKG),Cathay Pacific Cargo,B748 (B-LJJ),Departed 1:32 PM
12:40 PM,G825,Bangkok (BKK),GoAir,A20N (VT-WGU),Departed 1:20 PM
12:40 PM,6E5329,Bengaluru (BLR),IndiGo,A20N (VT-IZP),Departed 1:59 PM
12:45 PM,LH8363,Frankfurt (FRA),Lufthansa Cargo,MD11 (D-ALCD),Departed 12:59 PM
12:45 PM,UK927,Goa (GOI),Vistara,A320 (VT-TTM),Departed 1:17 PM
12:45 PM,6E1831,Jeddah (JED),IndiGo,A20N (VT-IZF),Departed 1:04 PM
12:45 PM,LH8362,Frankfurt (FRA),Lufthansa Cargo,MD11 (D-ALCD),Departed 1:00 PM
12:50 PM,SG246,Varanasi (VNS),SpiceJet,B738 (VT-SLG),Departed 2:07 PM
12:55 PM,6.00E+168,Delhi (DEL),IndiGo,A320 (VT-IDM),Departed 1:37 PM
1:00 PM,G89347,Jaisalmer (JSA),GoAir,A20N (VT-WJP),Departed 1:14 PM
1:00 PM,6E6219,Goa (GOI),IndiGo,A320 (VT-IHA),Departed 1:23 PM
1:05 PM,SG2875,Kandla (IXY),SpiceJet,DH8D (VT-SUS),Departed 1:45 PM
1:10 PM,IX247,Dubai (DXB),Air India Express (Hawa Mahal/Ujjayanta Palace),B738 (VT-AXN),Departed 2:37 PM
1:10 PM,6E5344,Chennai (MAA),IndiGo,A320 (VT-INZ),Departed 2:13 PM
1:15 PM,BA198,London (LHR),British Airways,B77W (G-STBJ),Departed 2:05 PM
1:15 PM,I5312,Chennai (MAA),AirAsia,A320 (VT-NAG),Departed 1:53 PM
1:15 PM,6E5317,Lucknow (LKO),IndiGo,A20N (VT-IZV),Departed 1:43 PM
1:20 PM,2T518,Nanded (NDC),Trujet,AT75 (VT-TMU),Departed 1:48 PM
1:20 PM,6E6223,Dehradun (DED),IndiGo,A20N (VT-IVA),Departed 1:50 PM
1:25 PM,SG6378,Madurai (IXM),SpiceJet,B737 (VT-SLP),Departed 3:06 PM
1:30 PM,SG6477,Delhi (DEL),SpiceJet,B738 (VT-SYQ),Departed 2:40 PM
1:40 PM,AI677,Delhi (DEL),Air India,A321 (VT-PPU),Departed 2:46 PM
1:40 PM,6.00E+176,Delhi (DEL),IndiGo,A20N (VT-IZY),Departed 2:51 PM
1:50 PM,SG467,Hyderabad (HYD),SpiceJet,B738 (VT-SGJ),Departed 2:10 PM
