Time,Flight Number,Destination,Flight Name,Aircraft,Status
8:35 AM,6.00E+205,Siliguri (IXB),IndiGo,A320 (VT-IHZ),Departed 8:47 AM
8:35 AM,G8381,Chandigarh (IXC),GoAir,A20N (VT-WGA),Departed 8:52 AM
8:40 AM,I5315,Delhi (DEL),AirAsia,A320 (VT-ATB),Departed 8:56 AM
8:40 AM,SG6421,Kolkata (CCU),SpiceJet,B738 (VT-SLF),Departed 9:01 AM
8:45 AM,AI348,Delhi (DEL),Air India,B788 (VT-ANJ),Departed 10:12 AM
8:45 AM,UK970,Delhi (DEL),Vistara,A320 (VT-TTG),Departed 9:09 AM
8:50 AM,6E5373,Patna (PAT),IndiGo,A20N (VT-IJT),Departed 9:25 AM
8:55 AM,SG63,Dhaka (DAC),SpiceJet,B738 (VT-SGJ),Departed 10:47 AM
8:55 AM,SG6356,Mangalore (IXE),SpiceJet,B738 (VT-SZM),Departed 9:16 AM
8:55 AM,6E382,Hyderabad (HYD),IndiGo,A20N (VT-IJC),Departed 9:14 AM
9:00 AM,AI673,Patna (PAT),Air India,A20N (VT-CIM),Departed 9:55 AM
9:00 AM,AI866,Delhi (DEL),Air india (Star Alliance Livery),A20N (VT-EXO),Departed 9:18 AM
9:05 AM,UK863,Bengaluru (BLR),Vistara,B738 (VT-TGE),Departed 9:28 AM
9:15 AM,AI639,Bengaluru (BLR),Air India,A20N (VT-CID),Departed 10:00 AM
9:15 AM,SG479,Jaisalmer (JSA),SpiceJet,B737 (VT-SYP),Departed 9:30 AM
9:15 AM,SG8133,Jodhpur (JDH),SpiceJet,B738 (VT-SYD),Departed 9:38 AM
9:20 AM,SG6361,Coimbatore (CJB),SpiceJet,B738 (VT-SLG),Departed 9:43 AM
9:20 AM,6E495,Chandigarh (IXC),IndiGo,A20N (VT-IVK),Departed 9:41 AM
9:25 AM,AI693,Hubli (HBX),Air India,A20N (VT-EXH),Departed 11:04 AM
9:25 AM,SG2873,Porbandar (PBD),SpiceJet,DH8D (VT-SUX),Departed 10:00 AM
9:25 AM,6E374,Kolkata (CCU),IndiGo,A20N (VT-IZX),Departed 9:33 AM
9:25 AM,6E801,Raipur (RPR),IndiGo,A21N (VT-IUD),Departed 9:35 AM
9:30 AM,SG5,Dubai (DXB),SpiceJet,B738 (VT-SGY),Departed 10:52 AM
9:30 AM,6E6126,Delhi (DEL),IndiGo,A20N (VT-IVY),Departed 9:46 AM
9:35 AM,6.00E+236,Bengaluru (BLR),IndiGo,A20N (VT-IZI),Departed 9:50 AM
9:35 AM,AI645,Jodhpur (JDH),Air India,A20N (VT-EXJ),Departed 11:25 AM
9:40 AM,6E6834,Chennai (MAA),IndiGo,A20N (VT-IJO),Departed 9:57 AM
9:45 AM,UK825,Chennai (MAA),Vistara,B738 (VT-TGI),Departed 10:15 AM
9:50 AM,G8319,Delhi (DEL),GoAir,A320 (VT-GOO),Departed 10:05 AM
9:55 AM,SV741,Riyadh (RUH),Saudia,A333 (HZ-AQ23),Departed 10:08 AM
9:55 AM,6E568,Mangalore (IXE),IndiGo,A20N (VT-ITD),Departed 10:18 AM
10:00 AM,AI125,Frankfurt (FRA),Air India,B788 (VT-ANW),Departed 11:32 AM
10:00 AM,AI651,Raipur (RPR),Air India,A321 (VT-PPB),Departed 10:34 AM
10:00 AM,AI671,Chennai (MAA),Air India,A20N (VT-EXT),Departed 10:59 AM
10:00 AM,AI809,Delhi (DEL),Air India,A20N (VT-EXF),Departed 10:33 AM
10:10 AM,SG6702,Delhi (DEL),SpiceJet,B738 (VT-SXE),Departed 10:35 AM
10:20 AM,AI969,Doha (DOH),Air India,B788 (VT-NAA),Departed 11:17 AM
10:20 AM,6E533,Bhubaneswar (BBI),IndiGo,A320 (VT-IER),Departed 10:54 AM
10:25 AM,AI679,Mangalore (IXE),Air India,A321 (VT-PPQ),Departed 11:29 AM
10:25 AM,AI695,Varanasi (VNS),Air India,A319 (VT-SCR),Departed 10:57 AM
10:25 AM,EK505,Dubai (DXB),Emirates,B77W (A6-EGF),Departed 11:09 AM
10:25 AM,SG6258,Patna (PAT),SpiceJet,B738 (VT-SYZ),Departed 10:50 AM
10:25 AM,UK994,Delhi (DEL),Vistara,A320 (VT-TTE),Departed 11:06 AM
10:30 AM,G8287,Jammu (IXJ),GoAir,A20N (VT-WJH),Departed 10:45 AM
10:30 AM,SG6429,Kanpur (KNU),SpiceJet,B738 (VT-SLL),Departed 10:42 AM
10:30 AM,WY202,Muscat (MCT),Oman Air,B788 (A4O-SB),Departed 10:40 AM
10:30 AM,6E453,Amritsar (ATQ),IndiGo,A320 (VT-INZ),Departed 10:37 AM
10:30 AM,6E496,Indore (IDR),IndiGo,A320 (VT-IEU),Departed 11:12 AM
10:40 AM,6E1783,Male (MLE),IndiGo,A320 (VT-IGX),Departed 11:14 AM
10:45 AM,6E559,Jammu (IXJ),IndiGo,A20N (VT-IZV),Departed 11:28 AM
10:50 AM,G82502,Ranchi (IXR),GoAir,A20N (VT-WGO),Departed 11:22 AM
10:50 AM,UK621,Varanasi (VNS),Vistara (Retro Livery),A20N (VT-ATV),Departed 11:20 AM
10:55 AM,G8395,Lucknow (LKO),GoAir,A20N (VT-WJO),Departed 12:19 PM
11:00 AM,AI647,Jamnagar (JGA),Air India,A319 (VT-SCO),Departed 11:38 AM
