Time,Flight Number,Source,Flight Name,Aircraft,Status
12:05 AM,G82508,Delhi (DEL),GoAir,A320 (VT-GOS),Departed 12:20 AM
12:05 AM,I5330,Delhi (DEL),AirAsia,A320 (VT-JPR),Departed 12:32 AM
12:05 AM,PG734,Bangkok (BKK),Bangkok Airways (Samui Livery),A320 (HS-PGW),Departed 12:16 AM
12:10 AM,UA49,New York (EWR),United Airlines,B77W (N2846U),Departed 12:26 AM
12:15 AM,6E848,Bengaluru (BLR),IndiGo,A20N (VT-ITK),Departed 12:50 AM
12:20 AM,6E386,Chennai (MAA),IndiGo,A320 (VT-IDL),Departed 12:36 AM
12:25 AM,6E6185,Cochin (COK),IndiGo,A320 (VT-IHN),Departed 12:34 AM
12:30 AM,SG612,Goa (GOI),SpiceJet,B737 (VT-SLA),Departed 1:19 AM
12:35 AM,G8383,Kannur (CNN),GoAir,A20N (VT-WJQ),Departed 1:01 AM
12:35 AM,SG490,Kolkata (CCU),SpiceJet,B737 (VT-SYT),Departed 2:15 AM
12:45 AM,AI911,Dubai (DXB),Air India,B788 (VT-ANC),Departed 1:30 AM
12:50 AM,SG789,Bengaluru (BLR),SpiceJet,B738 (VT-SXB),Departed 1:35 AM
12:50 AM,SG6287,Chennai (MAA),SpiceJet,B738 (VT-SYZ),Departed 2:19 AM
12:50 AM,6E5384,Hyderabad (HYD),IndiGo,A320 (VT-IDQ),Departed 1:22 AM
12:50 AM,6E6489,Delhi (DEL),IndiGo,A20N (VT-IJT),Departed 1:15 AM
12:55 AM,SQ425,Singapore (SIN),Singapore Airlines,B772 (9V-SVB),Departed 1:25 AM
12:55 AM,DL25,New York (JFK),Delta Air Lines,B77L (N702DN),Departed 1:39 AM
1:10 AM,I5308,Bengaluru (BLR),AirAsia,A320 (VT-CCU),Departed 1:32 AM
1:20 AM,LX155,Zurich (ZRH),Swiss,A343 (HB-JMB),Departed 1:56 AM
1:25 AM,G821,Phuket (HKT),GoAir,A20N (VT-WJE),Departed 1:45 AM
1:25 AM,6E1768,Dubai (DXB),IndiGo,A320 (VT-IDN),Departed 2:24 AM
