Time,Flight Number,Destination,Flight Name,Aircraft,Status
12:05 AM,G82508,Delhi (DEL),GoAir,A20N (VT-WGF),Departed 12:21 AM
12:05 AM,I5330,Delhi (DEL),AirAsia,A320 (VT-BOM),Departed 12:11 AM
12:05 AM,PG734,Bangkok (BKK),Bangkok Airways (Samui Livery),A320 (HS-PGW),Departed 12:45 AM
12:10 AM,UA49,New York (EWR),United Airlines,B77W (N2341U),Departed 12:33 AM
12:15 AM,6E848,Bengaluru (BLR),IndiGo,A320 (VT-IGX),Departed 12:35 AM
12:20 AM,6E386,Chennai (MAA),IndiGo,A20N (VT-ITC),Departed 12:41 AM
12:25 AM,6E6185,Cochin (COK),IndiGo,A20N (VT-IVN),Departed 12:27 AM
12:30 AM,SG612,Goa (GOI),SpiceJet,B737 (VT-SLB),Departed 1:05 AM
12:35 AM,G8383,Kannur (CNN),GoAir,A20N (VT-WGD),Departed 12:47 AM
12:35 AM,SG490,Kolkata (CCU),SpiceJet,B737 (VT-SYT),Departed 1:28 AM
12:50 AM,SG6287,Chennai (MAA),SpiceJet,B738 (VT-SYS),Departed 1:04 AM
12:50 AM,6E5384,Hyderabad (HYD),IndiGo,A320 (VT-IKD),Departed 4:10 AM
12:50 AM,6E6489,Delhi (DEL),IndiGo,A320 (VT-IHM),Departed 12:50 AM
12:55 AM,DL25,New York (JFK),Delta Air Lines,B77L (N703DN),Departed 1:16 AM
1:10 AM,I5308,Bengaluru (BLR),AirAsia,A320 (VT-KOC),Departed 1:13 AM
1:15 AM,AI911,Dubai (DXB),Air India,B788 (VT-ANK),Departed 1:35 AM
1:20 AM,LX155,Zurich (ZRH),Swiss,A343 (HB-JMH),Departed 1:40 AM
1:25 AM,G821,Phuket (HKT),Go Air,32A,Unknown
1:25 AM,6E1768,Dubai (DXB),IndiGo,A320 (VT-IEC),Departed 1:49 AM
1:30 AM,AI191,New York (EWR),Air India,B77W (VT-ALR),Departed 2:01 AM
1:35 AM,AI31,Ahmedabad (AMD),Air India,B788 (VT-ANS),Departed 1:45 AM
1:35 AM,LH767,Munich (MUC),Lufthansa,A359 (D-AIXG),Departed 1:58 AM
