Source,Destination,Flight Name,type,Status,Time,Actual_Time,Delay
Mumbai,Kolkata (CCU),IndiGo,D,1,2020-02-10 20:30:00,2020-02-10 21:12:00,42.0
Bengaluru (BLR),Mumbai,AirAsia,A,0,2020-02-11 07:10:00,2020-02-11 07:11:00,1.0
Addis Ababa (ADD),Mumbai,Ethiopian Airlines,A,0,2020-02-11 07:15:00,2020-02-11 06:49:00,26.0
Mumbai,Dubai (DXB),SpiceJet,D,1,2020-02-11 09:30:00,2020-02-11 09:37:00,7.0
Delhi (DEL),Mumbai,Vistara,A,0,2020-02-11 11:40:00,2020-02-11 11:58:00,18.0
Mumbai,Thiruvananthapuram (TRV),SpiceJet,D,1,2020-02-11 15:10:00,2020-02-11 15:35:00,25.0
Mumbai,Bengaluru (BLR),IndiGo,D,1,2020-02-11 18:00:00,2020-02-11 19:00:00,60.0
Mumbai,Chennai (MAA),Vistara,D,1,2020-02-11 21:00:00,2020-02-11 22:08:00,68.0
Ranchi (IXR),Mumbai,GoAir,A,0,2020-02-11 21:45:00,2020-02-11 22:17:00,32.0
Kuala Lumpur (KUL),Mumbai,Malindo Air,A,0,2020-02-11 22:20:00,2020-02-11 22:07:00,13.0
Jeddah (JED),Mumbai,IndiGo,A,0,2020-02-12 00:25:00,2020-02-12 00:13:00,12.0
Delhi (DEL),Mumbai,SpiceXpress,A,0,2020-02-12 02:10:00,2020-02-12 02:25:00,15.0
Delhi (DEL),Mumbai,Vistara,A,0,2020-02-12 08:45:00,2020-02-12 08:46:00,1.0
Mumbai,Patna (PAT),SpiceJet,D,1,2020-02-12 10:25:00,2020-02-12 11:43:00,78.0
Mumbai,Bangkok (BKK),GoAir,D,1,2020-02-12 12:40:00,2020-02-12 12:47:00,7.0
Mumbai,Lucknow (LKO),IndiGo,D,1,2020-02-12 13:15:00,2020-02-12 13:24:00,9.0
Mumbai,Vadodara (BDQ),IndiGo,D,1,2020-02-12 15:30:00,2020-02-12 15:38:00,8.0
Jaipur (JAI),Mumbai,IndiGo,A,0,2020-02-12 19:30:00,2020-02-12 19:29:00,1.0
Mumbai,Jeddah (JED),Saudia,D,1,2020-02-12 21:10:00,2020-02-12 21:50:00,40.0
Mumbai,Abu Dhabi (AUH),Air India,D,1,2020-02-12 22:30:00,2020-02-12 22:48:00,18.0
Chennai (MAA),Mumbai,IndiGo,A,0,2020-02-13 00:20:00,2020-02-13 00:22:00,2.0
Abu Dhabi (AUH),Mumbai,IndiGo,A,0,2020-02-13 04:20:00,2020-02-13 04:21:00,1.0
Bengaluru (BLR),Mumbai,SpiceJet,A,0,2020-02-13 09:35:00,2020-02-13 09:45:00,10.0
Chennai (MAA),Mumbai,IndiGo,A,0,2020-02-13 11:00:00,2020-02-13 10:56:00,4.0
Mumbai,Udaipur (UDR),IndiGo,D,1,2020-02-13 12:15:00,2020-02-13 13:02:00,47.0
Delhi (DEL),Mumbai,IndiGo,A,0,2020-02-13 17:05:00,2020-02-13 17:07:00,2.0
Jaipur (JAI),Mumbai,SpiceJet,A,0,2020-02-13 20:15:00,2020-02-13 20:28:00,13.0
Cochin (COK),Mumbai,GoAir,A,0,2020-02-13 22:10:00,2020-02-13 22:15:00,5.0
Coimbatore (CJB),Mumbai,SpiceJet,A,0,2020-02-13 23:40:00,2020-02-14 00:49:00,69.0
Mumbai,Delhi (DEL),Air India,D,1,2020-02-14 13:05:00,2020-02-14 13:47:00,42.0
Mumbai,Nanded (NDC),Trujet,D,1,2020-02-14 13:20:00,2020-02-14 16:19:00,179.0
Abu Dhabi (AUH),Mumbai,Etihad,A,0,2020-02-14 15:05:00,2020-02-14 14:28:00,37.0
Mumbai,Ahmedabad (AMD),IndiGo,D,1,2020-02-14 18:00:00,2020-02-14 18:32:00,32.0
Mumbai,Delhi (DEL),Vistara (Retro Livery),D,1,2020-02-14 18:30:00,2020-02-14 18:47:00,17.0
Mumbai,Goa (GOI),Vistara,D,1,2020-02-14 19:55:00,2020-02-14 20:47:00,52.0
Mumbai,Chennai (MAA),SpiceJet,D,1,2020-02-15 00:50:00,2020-02-15 02:19:00,89.0
Delhi (DEL),Mumbai,GoAir,A,0,2020-02-15 04:55:00,2020-02-15 04:43:00,12.0
Mumbai,Chennai (MAA),SpiceJet,D,1,2020-02-15 07:25:00,2020-02-15 07:40:00,15.0
Mumbai,Delhi (DEL),Vistara,D,1,2020-02-15 08:45:00,2020-02-15 09:18:00,33.0
Mumbai,Singapore (SIN),Singapore Airlines,D,1,2020-02-15 11:50:00,2020-02-15 12:38:00,48.0
Delhi (DEL),Mumbai,Air India,A,0,2020-02-15 12:15:00,2020-02-15 12:43:00,28.0
