Source,Destination,Flight Name,type,Status,Time,Actual_Time,Delay
Cairo (CAI),Mumbai,EgyptAir (Egyptian National Football Team Livery),A,0,2020-02-02 01:45:00,2020-02-02 01:55:00,10.0
Delhi (DEL),Mumbai,SpiceJet,A,0,2020-02-02 01:45:00,2020-02-02 03:05:00,80.0
Ahmedabad (AMD),Mumbai,GoAir,A,0,2020-02-02 01:50:00,2020-02-02 03:19:00,89.0
Bangkok (BKK),Mumbai,SpiceJet,A,0,2020-02-02 01:50:00,2020-02-02 02:03:00,13.0
Hyderabad (HYD),Mumbai,IndiGo,A,0,2020-02-02 01:50:00,2020-02-02 01:51:00,1.0
Mumbai,Kolkata (CCU),AirAsia,D,1,2020-02-02 01:50:00,2020-02-02 02:12:00,22.0
Mumbai,Singapore (SIN),IndiGo,D,1,2020-02-02 01:50:00,2020-02-02 02:09:00,19.0
Mumbai,Delhi (DEL),IndiGo,D,1,2020-02-02 01:50:00,2020-02-02 02:04:00,14.0
Bengaluru (BLR),Mumbai,Blue Dart Aviation,A,0,2020-02-02 02:05:00,2020-02-02 02:10:00,5.0
Doha (DOH),Mumbai,Air India Express (Sitar/Tabla Livery),A,0,2020-02-02 02:05:00,2020-02-02 04:21:00,136.0
Goa (GOI),Mumbai,AirAsia,A,0,2020-02-02 02:05:00,2020-02-02 01:52:00,13.0
Mumbai,Paris (CDG),Air France,D,1,2020-02-02 02:05:00,2020-02-02 03:08:00,63.0
Colombo (CMB),Mumbai,SriLankan Airlines,A,0,2020-02-02 02:10:00,2020-02-02 02:00:00,10.0
Dubai (DXB),Mumbai,Emirates,A,0,2020-02-02 02:15:00,2020-02-02 02:12:00,3.0
Mumbai,London (LHR),British Airways (GREAT Festival of Creativity),D,1,2020-02-02 02:15:00,2020-02-02 03:04:00,49.0
Mumbai,Delhi (DEL),SpiceJet,D,1,2020-02-02 02:20:00,2020-02-02 03:45:00,85.0
Sharjah (SHJ),Mumbai,SpiceJet,A,4,2020-02-02 02:25:00,,
Mumbai,Kuwait City (KWI),Kuwait Airways,D,1,2020-02-02 02:25:00,2020-02-02 02:33:00,8.0
Mumbai,Ahmedabad (AMD),Blue Dart Aviation,D,1,2020-02-02 02:25:00,2020-02-02 02:49:00,24.0
Amritsar (ATQ),Mumbai,Air India,A,0,2020-02-02 02:30:00,2020-02-02 01:53:00,37.0
Doha (DOH),Mumbai,Qatar Airways,A,0,2020-02-02 02:30:00,2020-02-02 02:05:00,25.0
Mumbai,Amsterdam (AMS),KLM,D,1,2020-02-02 02:30:00,2020-02-02 03:05:00,35.0
Mumbai,Hyderabad (HYD),IndiGo,D,1,2020-02-02 02:30:00,2020-02-02 02:47:00,17.0
Addis Ababa (ADD),Mumbai,Ethiopian Airlines,A,0,2020-02-02 02:35:00,2020-02-02 02:14:00,21.0
Mumbai,Hyderabad (HYD),SpiceJet (With All Our Heart Livery),D,1,2020-02-02 02:35:00,2020-02-02 02:40:00,5.0
Abu Dhabi (AUH),Mumbai,Etihad,A,0,2020-02-02 02:40:00,2020-02-02 02:22:00,18.0
Mumbai,Bangkok (BKK),THAI Smile,D,1,2020-02-02 02:40:00,2020-02-02 02:53:00,13.0
Muscat (MCT),Mumbai,IndiGo,A,0,2020-02-02 02:45:00,2020-02-02 03:08:00,23.0
Mumbai,Beijing (PEK),Air China,D,1,2020-02-02 02:45:00,2020-02-02 02:59:00,14.0
Mumbai,Cairo (CAI),EgyptAir (Egyptian National Football Team Livery),D,1,2020-02-02 02:50:00,2020-02-02 03:10:00,20.0
Mumbai,Frankfurt (FRA),Lufthansa,D,1,2020-02-02 02:55:00,2020-02-02 04:04:00,69.0
Mumbai,Goa (GOI),Air India,D,1,2020-02-02 03:00:00,2020-02-02 03:13:00,13.0
Mumbai,London (LHR),Virgin Atlantic,D,1,2020-02-02 03:00:00,2020-02-02 04:02:00,62.0
Kuwait City (KWI),Mumbai,Jazeera Airways,A,0,2020-02-02 03:05:00,2020-02-02 02:34:00,31.0
Mumbai,Delhi (DEL),Blue Dart Aviation,D,1,2020-02-02 03:05:00,2020-02-02 03:12:00,7.0
Mumbai,Delhi (DEL),Vistara,D,1,2020-02-02 03:05:00,2020-02-02 03:18:00,13.0
Mumbai,Colombo (CMB),SriLankan Airlines,D,1,2020-02-02 03:10:00,2020-02-02 03:15:00,5.0
Sana'a (SAH),Mumbai,Yemenia,A,2,2020-02-02 03:15:00,,
London (LHR),Mumbai,Air India,A,0,2020-02-02 04:00:00,2020-02-02 06:16:00,136.0
Delhi (DEL),Mumbai,SpiceXpress,A,0,2020-02-02 04:00:00,2020-02-02 04:25:00,25.0
Mumbai,Port Blair (IXZ),GoAir,D,1,2020-02-02 04:00:00,2020-02-02 04:11:00,11.0
Mumbai,Doha (DOH),Qatar Airways,D,1,2020-02-02 04:00:00,2020-02-02 04:22:00,22.0
Mumbai,Addis Ababa (ADD),Ethiopian Airlines,D,1,2020-02-02 04:05:00,2020-02-02 04:26:00,21.0
Mumbai,Kuwait City (KWI),Jazeera Airways,D,1,2020-02-02 04:05:00,2020-02-02 04:16:00,11.0
Mumbai,Bangkok (BKK),SpiceJet,D,1,2020-02-02 04:05:00,2020-02-02 04:40:00,35.0
Dubai (DXB),Mumbai,Air India,A,0,2020-02-02 04:10:00,2020-02-02 04:12:00,2.0
Delhi (DEL),Mumbai,Blue Dart Aviation,A,0,2020-02-02 04:10:00,2020-02-02 04:21:00,11.0
Dubai (DXB),Mumbai,flydubai,A,0,2020-02-02 04:10:00,2020-02-02 04:05:00,5.0
