Time,Flight Number,Source,Flight Name,Aircraft,Status
12:05 AM,AF218,Paris (CDG),Air France,B772 (F-GSPZ),Landed 12:44 AM
12:05 AM,6E5383,Hyderabad (HYD),IndiGo,A320 (VT-IKA),Landed 11:54 PM
12:10 AM,G82608,Jaipur (JAI),GoAir,A20N (VT-WGZ),Landed 12:14 AM
12:10 AM,6E665,Delhi (DEL),IndiGo,A20N (VT-IZI),Landed 11:46 PM
12:15 AM,BA139,London (LHR),British Airways,B772 (G-YMMN),Landed 12:36 AM
12:15 AM,UK202,Dubai (DXB),Vistara,A320 (VT-TTM),Landed 12:22 AM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A320 (VT-IHO),Landed 12:08 AM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A20N (VT-WGT),Landed 12:41 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A320 (VT-IEH),Landed 12:12 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,A20N (VT-IZE),Landed 12:26 AM
12:25 AM,UK967,Delhi (DEL),Vistara,A20N (VT-TNB),Landed 12:29 AM
12:30 AM,AI84,Goa (GOI),Air India,A321 (VT-PPO),Landed 12:30 AM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-SXR),Landed 12:22 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A320 (VT-IFP),Landed 12:16 AM
12:35 AM,CX663,Hong Kong (HKG),Cathay Pacific,B77W (B-KQC),Landed 12:05 AM
12:40 AM,KL877,Amsterdam (AMS),KLM,B789 (PH-BHC),Landed 12:58 AM
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IEN),Landed 12:37 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VFAN),Landed 12:56 AM
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A20N (VT-ITK),Landed 1:05 AM
1:00 AM,LH756,Frankfurt (FRA),Lufthansa,B744 (D-ABVY),Landed 1:10 AM
1:10 AM,KU301,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKH),Landed 12:47 AM
1:10 AM,AI863,Delhi (DEL),Air India,A20N (VT-CIP),Landed 2:03 AM
1:10 AM,I5316,Kolkata (CCU),AirAsia (Kabali Livery),A320 (VT-APJ),Landed 12:52 AM
1:15 AM,AI630,Nagpur (NAG),Air India,A319 (VT-SCV),Landed 1:07 AM
1:20 AM,G8380,Goa (GOI),GoAir,A20N (VT-WGX),Landed 1:19 AM
1:30 AM,G8512,Kolkata (CCU),GoAir,A320 (VT-GOO),Landed 1:41 AM
1:30 AM,6.00E+62,Dubai (DXB),IndiGo,A320 (VT-IFX),Landed 12:59 AM
1:35 AM,WE335,Bangkok (BKK),THAI Smile,A320 (HS-TXE),Landed 1:23 AM
1:35 AM,BZ154,Hyderabad (HYD),Blue Dart Aviation,B752 (VT-BDQ),Landed 1:37 AM
1:45 AM,SG8287,Delhi (DEL),SpiceJet,B738 (VT-SYV),Landed 1:29 AM
1:50 AM,SG82,Bangkok (BKK),SpiceJet,B738 (VT-SXA),Landed 1:43 AM
1:50 AM,G8413,Ahmedabad (AMD),GoAir,A20N (VT-WJO),Landed 2:24 AM
1:50 AM,6.00E+263,Hyderabad (HYD),IndiGo,A20N (VT-IVP),Landed 1:34 AM
1:55 AM,AI686,Amritsar (ATQ),Air India,B788 (VT-ANS),Landed 1:15 AM
