Time,Flight Number,Source,Flight Name,Aircraft,Status
8:35 AM,AI640,Bengaluru (BLR),Air India,A20N (VT-CID),Landed 8:31 AM
8:35 AM,AI990,Kuwait City (KWI),Air India,A20N (VT-EXT),Landed 9:14 AM
8:35 AM,SG6289,Chennai (MAA),SpiceJet,B738 (VT-SYD),Landed 8:24 AM
8:35 AM,SG8153,Delhi (DEL),SpiceJet,B737 (VT-SYP),Landed 7:50 AM
8:40 AM,SG6363,Hyderabad (HYD),SpiceJet,B738 (VT-SLG),Landed 8:33 AM
8:40 AM,6E495,Chennai (MAA),IndiGo,A20N (VT-IVK),Landed 8:44 AM
8:40 AM,6E655,Indore (IDR),IndiGo,A21N (VT-IUD),Landed 8:34 AM
8:40 AM,6E993,Delhi (DEL),IndiGo,A20N (VT-IVY),Landed 8:38 AM
8:45 AM,UK923,Delhi (DEL),Vistara,A20N (VT-TNJ),Landed 8:41 AM
8:45 AM,AI341,Bangkok (BKK),Air India,A20N (VT-EXH),Landed 9:20 AM
8:45 AM,AI912,Dubai (DXB),Air India,B788 (VT-NAA),Landed 8:19 AM
8:50 AM,6E424,Bengaluru (BLR),IndiGo,A20N (VT-IZI),Landed 8:36 AM
8:50 AM,SG2763,Surat (STV),SpiceJet,DH8D (VT-SUX),Landed 9:15 AM
8:50 AM,SG6425,Kolkata (CCU),SpiceJet,B738 (VT-SLL),Landed 8:52 AM
8:50 AM,6E1769,Dubai (DXB),IndiGo,A320 (VT-IKE),Landed 8:48 AM
8:55 AM,6E6834,Ahmedabad (AMD),IndiGo,A20N (VT-IJO),Landed 8:46 AM
9:00 AM,AI614,Ahmedabad (AMD),Air India,A20N (VT-EXJ),Landed 9:31 AM
9:00 AM,UK828,Chennai (MAA),Vistara,B738 (VT-TGI),Landed 9:00 AM
9:05 AM,AI582,Kozhikode (CCJ),Air India,A321 (VT-PPB),Landed 8:55 AM
9:05 AM,AI887,Delhi (DEL),Air India,A20N (VT-EXF),Landed 8:58 AM
9:10 AM,G8530,Delhi (DEL),GoAir,A320 (VT-GOO),Landed 9:03 AM
9:15 AM,6E568,Aurangabad (IXU),IndiGo,A20N (VT-ITD),Landed 9:07 AM
9:15 AM,6E5309,Chennai (MAA),IndiGo,A320 (VT-IGX),Landed 9:05 AM
9:20 AM,AI628,Nagpur (NAG),Air India,A321 (VT-PPQ),Landed 9:11 AM
9:20 AM,SG8701,Delhi (DEL),SpiceJet,B738 (VT-SXE),Landed 9:24 AM
9:35 AM,SG438,Bengaluru (BLR),SpiceJet,B738 (VT-SLE),Landed 9:37 AM
9:40 AM,AI616,Hyderabad (HYD),Air India,A319 (VT-SCR),Landed 9:39 AM
9:40 AM,6.00E+167,Delhi (DEL),IndiGo,A320 (VT-IER),Landed 9:49 AM
9:45 AM,SG6279,Jaipur (JAI),SpiceJet,B738 (VT-SGV),Landed 9:26 AM
9:45 AM,UK943,Delhi (DEL),Vistara,A320 (VT-TTE),Landed 10:00 AM
9:50 AM,6E453,Coimbatore (CJB),IndiGo,A320 (VT-INZ),Landed 9:29 AM
9:50 AM,6E496,Kolkata (CCU),IndiGo,A320 (VT-IEU),Landed 10:08 AM
9:55 AM,G8395,Bengaluru (BLR),GoAir,A20N (VT-WJH),Landed 9:39 AM
9:55 AM,UK874,Hyderabad (HYD),Vistara (Retro Livery),A20N (VT-ATV),Landed 9:44 AM
9:55 AM,UK846,Bengaluru (BLR),Vistara,B738 (VT-TGH),Landed 10:15 AM
10:05 AM,6.00E+298,Cochin (COK),IndiGo,A20N (VT-ITE),Landed 9:55 AM
10:05 AM,6E685,Lucknow (LKO),IndiGo,A20N (VT-IZV),Landed 9:42 AM
10:10 AM,G8334,Delhi (DEL),GoAir,A20N (VT-WGO),Landed 10:04 AM
10:10 AM,G82609,Lucknow (LKO),GoAir,A20N (VT-WJO),Landed 9:54 AM
10:15 AM,AI665,Delhi (DEL),Air India,A321 (VT-PPV),Landed 10:06 AM
10:15 AM,AI682,Cochin (COK),Air India,A321 (VT-PPJ),Landed 10:30 AM
10:15 AM,6E1708,Doha (DOH),IndiGo,A21N (VT-IUA),Landed 9:51 AM
10:20 AM,6E5387,Indore (IDR),IndiGo,A20N (VT-IVL),Landed 9:49 AM
10:30 AM,6.00E+214,Ahmedabad (AMD),IndiGo,A320 (VT-IDQ),Landed 10:24 AM
10:35 AM,AI604,Bengaluru (BLR),Air India,A20N (VT-CIH),Landed 10:19 AM
10:35 AM,SG8723,Delhi (DEL),SpiceJet,B738 (VT-SYS),Landed 10:21 AM
10:35 AM,SQ422,Singapore (SIN),Singapore Airlines,A359 (9V-SMF),Landed 10:29 AM
10:40 AM,G8389,Jaipur (JAI),GoAir,A320 (VT-GON),Landed 10:11 AM
10:40 AM,6.00E+179,Delhi (DEL),IndiGo,A320 (VT-IGW),Landed 10:25 AM
10:45 AM,G8459,Ahmedabad (AMD),GoAir,A20N (VT-WGX),Landed 10:36 AM
10:45 AM,SG6432,Hyderabad (HYD),SpiceJet,B737 (VT-SYT),Landed 10:20 AM
10:50 AM,G8141,Nagpur (NAG),GoAir,A20N (VT-WJE),Landed 10:48 AM
10:50 AM,SG488,Kolkata (CCU),SpiceJet,B738 (VT-SYB),Landed 10:38 AM
10:55 AM,G8348,Cochin (COK),GoAir,A20N (VT-WJR),Landed 11:47 AM
10:55 AM,9I626,Bhuj (BHJ),Alliance Air,AT76 (VT-RKL),Landed 10:43 AM
11:00 AM,6E782,Chennai (MAA),IndiGo,A320 (VT-IAX),Landed 10:41 AM
11:00 AM,6E5302,Bhopal (BHO),IndiGo,A20N (VT-IZO),Landed 10:46 AM
11:05 AM,6E5316,Ranchi (IXR),IndiGo,A20N (VT-IVI),Landed 10:51 AM
11:10 AM,UK963,Delhi (DEL),Vistara,A320 (VT-TTM),Landed 10:53 AM
11:15 AM,BA199,London (LHR),British Airways,B772 (G-YMMT),Landed 12:53 PM
11:15 AM,6E375,Bhubaneswar (BBI),IndiGo,A320 (VT-IFG),Landed 10:58 AM
11:15 AM,6E5379,Kolkata (CCU),IndiGo,A20N (VT-IZZ),Landed 11:01 AM
11:20 AM,AI966,Hyderabad (HYD),Air India,B744 (VT-EVA),Landed 10:32 AM
