Time,Flight Number,Source,Flight Name,Aircraft,Status
12:05 AM,6E5383,Hyderabad (HYD),IndiGo,A20N (VT-IJR),Landed 11:52 PM
12:10 AM,AI653,Visakhapatnam (VTZ),Air India,A320 (VT-EXD),Landed 12:17 AM
12:10 AM,G82608,Jaipur (JAI),GoAir,A20N (VT-WGP),Landed 11:59 PM
12:10 AM,6E665,Delhi (DEL),IndiGo,A320 (VT-IEQ),Landed 11:52 PM
12:15 AM,BA139,London (LHR),British Airways,B772 (G-YMMK),Landed 12:33 AM
12:15 AM,UK202,Dubai (DXB),Vistara,A20N (VT-TNV),Landed 12:35 AM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A20N (VT-ITP),Landed 12:22 AM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A20N (VT-WJC),Landed 12:24 AM
12:20 AM,SG6442,Goa (GOI),SpiceJet,B737 (VT-SYP),Landed 12:42 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A20N (VT-ITR),Landed 12:59 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,A320 (VT-IFI),Landed 12:13 AM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-MOD),Landed 12:42 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A20N (VT-ITM),Landed 12:49 AM
12:35 AM,CX663,Hong Kong (HKG),Cathay Pacific,B77W (B-KQD),Landed 12:02 AM
12:40 AM,KL877,Amsterdam (AMS),KLM,B78X (PH-BKC),Landed 12:37 AM
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IFT),Landed 12:27 AM
12:55 AM,SG798,Hyderabad (HYD),SpiceJet,B738 (VT-SYX),Landed 12:56 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VDIA),Landed 12:46 AM
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A20N (VT-IVK),Landed 12:47 AM
1:00 AM,G8544,Delhi (DEL),GoAir,A320 (VT-GOR),Landed 12:34 AM
1:00 AM,LH756,Frankfurt (FRA),Lufthansa,B744 (D-ABVM),Landed 1:22 AM
1:10 AM,AI84,Goa (GOI),Air India,A321 (VT-PPW),Landed 1:33 AM
1:10 AM,AI863,Delhi (DEL),Air India,A319 (VT-SCH),Landed 1:40 AM
1:10 AM,I5316,Kolkata (CCU),AirAsia,A320 (VT-CCU),Landed 12:31 AM
1:10 AM,KU301,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKH),Landed 12:56 AM
1:15 AM,CA889,Beijing (PEK),Air China,333,Unknown
1:20 AM,G8380,Goa (GOI),GoAir,A20N (VT-WGR),Landed 1:17 AM
1:30 AM,G8512,Kolkata (CCU),GoAir,A320 (VT-GOO),Landed 1:15 AM
1:30 AM,6.00E+62,Dubai (DXB),IndiGo,A320 (VT-IDL),Landed 1:06 AM
1:35 AM,WE335,Bangkok (BKK),THAI Smile,A320 (HS-TXC),Landed 1:07 AM
1:35 AM,BZ154,Hyderabad (HYD),Blue Dart Aviation,B752 (VT-BDA),Landed 1:27 AM
1:45 AM,MS968,Cairo (CAI),EgyptAir,A332 (SU-GCG),Landed 1:43 AM
1:45 AM,SG8287,Delhi (DEL),SpiceJet,B738 (VT-SLH),Landed 1:51 AM
1:50 AM,SG82,Bangkok (BKK),SpiceJet,B738 (VT-SYV),Landed 1:26 AM
1:50 AM,G8413,Ahmedabad (AMD),GoAir,A20N (VT-WGD),Landed 1:30 AM
1:50 AM,6.00E+263,Hyderabad (HYD),IndiGo,A320 (VT-IFA),Landed 1:33 AM
