Time,FlightNumber,Source,Flight Name,Aircraft,Status
4:50 AM,G8385,Kannur (CNN),GoAir,A20N (VT-WJR),Landed 4:21 AM
4:50 AM,6.00E+184,Cochin (COK),IndiGo,A320 (VT-INY),Landed 4:33 AM
4:55 AM,GF56,Bahrain (BAH),Gulf Air,A321 (A9C-CF),Landed 4:45 AM
4:55 AM,G82501,Delhi (DEL),GoAir,A20N (VT-WGZ),Landed 4:38 AM
5:00 AM,MK748,Port Louis (MRU),Air Mauritius,A332 (3B-NBL),Landed 5:07 AM
5:10 AM,TK720,Istanbul (IST),Turkish Airlines,B77W (TC-LJI),Landed 4:57 AM
5:10 AM,6E1826,Riyadh (RUH),IndiGo,A320 (VT-IFI),Landed 4:57 AM
5:10 AM,AI276,Colombo (CMB),Air India,A20N (VT-CIN),Landed 5:31 AM
5:15 AM,AI30,Ahmedabad (AMD),Air India,B788 (VT-ANH),Landed 6:38 AM
5:25 AM,AI124,Frankfurt (FRA),Air India (Star Alliance Livery),B788 (VT-ANU),Landed 5:33 AM
5:25 AM,AI34,Goa (GOI),Air India,A319 (VT-SCP),Landed 4:51 AM
5:25 AM,6E428,Hyderabad (HYD),IndiGo,A320 (VT-IFX),Landed 5:11 AM
5:35 AM,KQ204,Nairobi (NBO),Kenya Airways,B738 (5Y-KYF),Landed 5:38 AM
5:40 AM,SL218,Bangkok (DMK),Thai Lion Air,B738 (HS-LUU),Landed 5:55 AM
5:45 AM,G830,Muscat (MCT),GoAir,A20N (VT-WJK),Landed 5:17 AM
5:50 AM,AI946,Abu Dhabi (AUH),Air india (Star Alliance Livery),A20N (VT-EXO),Landed 5:42 AM
6:15 AM,KU303,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKH),Landed 5:23 AM
6:15 AM,AI349,Delhi (DEL),Air India,788,Unknown
6:20 AM,6.00E+235,Hyderabad (HYD),IndiGo,A20N (VT-IZQ),Landed 5:50 AM
6:25 AM,SG14,Dubai (DXB),SpiceJet,B738 (VT-SZM),Landed 6:48 AM
6:30 AM,6E6789,Ahmedabad (AMD),IndiGo,A320 (VT-INV),Landed 6:31 AM
6:40 AM,WY201,Muscat (MCT),Oman Air,B788 (A4O-SB),Landed 6:16 AM
6:40 AM,SG611,Goa (GOI),SpiceJet,B737 (VT-SLA),Landed 6:16 AM
6:40 AM,SG636,Ahmedabad (AMD),SpiceJet,B738 (VT-SYZ),Landed 5:58 AM
6:40 AM,6E456,Bengaluru (BLR),IndiGo,A20N (VT-IZI),Landed 6:21 AM
6:45 AM,6E5385,Nagpur (NAG),IndiGo,A20N (VT-IVS),Landed 6:12 AM
6:50 AM,G8302,Chennai (MAA),GoAir,A20N (VT-WJI),Landed 6:41 AM
6:55 AM,SG69,Jeddah (JED),SpiceJet,B738 (VT-SZJ),Landed 7:34 AM
6:55 AM,IX252,Sharjah (SHJ),Air India Express (Red Fort/Gwalior Fort Livery),B738 (VT-AXJ),Landed 6:36 AM
7:00 AM,SG20,Riyadh (RUH),SpiceJet,B738 (VT-SLN),Landed 6:33 AM
7:05 AM,SG704,Hyderabad (HYD),Corendon Airlines,B738 (TC-TJR),Landed 6:46 AM
7:05 AM,6.00E+171,Delhi (DEL),IndiGo,A20N (VT-IZR),Landed 6:49 AM
7:05 AM,6.00E+218,Jaipur (JAI),IndiGo,A20N (VT-IVI),Landed 6:27 AM
7:10 AM,I5303,Bengaluru (BLR),AirAsia (The Pioneer Livery),A320 (VT-JRT),Landed 6:59 AM
