Time,FlightNumber,Source,Flight Name,Aircraft,Status
7:30 AM,AI990,Kuwait City (KWI),Air India,A20N (VT-EXR),Landed 7:51 AM
7:40 AM,SG678,Chennai (MAA),SpiceJet,B738 (VT-SGH),Landed 7:31 AM
7:40 AM,SG6475,Cochin (COK),SpiceJet,B738 (VT-SLL),Landed 7:27 AM
7:50 AM,6E5324,Bengaluru (BLR),IndiGo,A20N (VT-IVN),Landed 7:46 AM
7:55 AM,G8381,Goa (GOI),GoAir,A320 (VT-GOO),Landed 7:25 AM
7:55 AM,6E5372,Vadodara (BDQ),IndiGo,A20N (VT-ITX),Landed 7:52 AM
7:55 AM,9I650,Surat (STV),Alliance Air,ATR,Unknown
8:15 AM,EY932,Shanghai (PVG),Etihad Cargo,B77L (A6-DDB),Landed 10:06 AM
8:15 AM,UK858,Bengaluru (BLR),Vistara,B738 (VT-TGA),Landed 8:11 AM
8:15 AM,6.00E+247,Hyderabad (HYD),IndiGo,A320 (VT-IDQ),Landed 8:06 AM
8:20 AM,SV740,Riyadh (RUH),Saudia,A333 (HZ-AQ30),Landed 7:56 AM
8:25 AM,AI341,Bangkok (BKK),Air India,A20N (VT-EXP),Landed 8:30 AM
8:25 AM,EK504,Dubai (DXB),Emirates,B77W (A6-EPN),Landed 8:02 AM
8:30 AM,6E318,Kolkata (CCU),IndiGo,A20N (VT-IVG),Landed 8:22 AM
8:35 AM,SG8153,Delhi (DEL),SpiceJet,B738 (VT-SGQ),Landed 8:01 AM
8:35 AM,AI640,Bengaluru (BLR),Air India,A20N (VT-EXI),Landed 8:15 AM
8:35 AM,SG6289,Chennai (MAA),SpiceJet,B738 (VT-SYR),Landed 8:10 AM
8:40 AM,6E495,Chennai (MAA),IndiGo,A20N (VT-IVC),Landed 8:27 AM
8:40 AM,SG6363,Hyderabad (HYD),SpiceJet,B738 (VT-SGV),Landed 8:21 AM
8:40 AM,6E655,Indore (IDR),IndiGo,A21N (VT-IUL),Landed 8:37 AM
8:40 AM,6E993,Delhi (DEL),IndiGo,A320 (VT-IEL),Landed 8:17 AM
8:45 AM,UK923,Delhi (DEL),Vistara,A320 (VT-TTG),Landed 8:36 AM
8:45 AM,AI614,Ahmedabad (AMD),Air India,A20N (VT-CIP),Landed 9:24 AM
8:50 AM,SG6425,Kolkata (CCU),SpiceJet,B738 (VT-SXE),Landed 9:14 AM
8:50 AM,6E424,Bengaluru (BLR),IndiGo,A20N (VT-IVH),Landed 8:33 AM
8:50 AM,6E1769,Dubai (DXB),IndiGo,A320 (VT-IFR),Landed 8:40 AM
8:55 AM,6E6834,Ahmedabad (AMD),IndiGo,A20N (VT-ITV),Landed 8:38 AM
9:00 AM,UK828,Chennai (MAA),Vistara,B738 (VT-TGI),Landed 8:55 AM
9:05 AM,AI582,Kozhikode (CCJ),Air India,A321 (VT-PPU),Landed 9:26 AM
9:05 AM,AI887,Delhi (DEL),Air India,A20N (VT-CIF),Landed 8:59 AM
9:10 AM,G8530,Delhi (DEL),GoAir,A20N (VT-WGA),Landed 9:00 AM
9:10 AM,G82609,Lucknow (LKO),GoAir,A20N (VT-WJN),Landed 9:21 AM
9:15 AM,AI684,Goa (GOI),Air India,A321 (VT-PPD),Landed 9:41 AM
