Time,Flight Number,Source,Flight Name,Aircraft,Status
7:50 AM,6E5324,Bengaluru (BLR),IndiGo,A320 (VT-IFT),Landed 7:35 AM
7:55 AM,G8381,Goa (GOI),GoAir,A20N (VT-WGJ),Landed 7:32 AM
7:55 AM,I5314,Delhi (DEL),AirAsia,A320 (VT-IXR),Landed 7:45 AM
7:55 AM,6E5372,Vadodara (BDQ),IndiGo,A20N (VT-IVA),Landed 7:46 AM
7:55 AM,9I650,Surat (STV),Alliance Air,ATR,Unknown
8:00 AM,SG6475,Cochin (COK),SpiceJet,B738 (VT-SGV),Landed 7:30 AM
8:10 AM,AI990,Kuwait City (KWI),Air India,A20N (VT-EXL),Landed 7:58 AM
8:15 AM,AI684,Goa (GOI),Air India,A20N (VT-EXU),Landed 7:55 AM
8:15 AM,UK858,Bengaluru (BLR),Vistara,B738 (VT-TGI),Landed 8:12 AM
8:15 AM,6.00E+247,Hyderabad (HYD),IndiGo,A320 (VT-IDY),Landed 8:01 AM
8:20 AM,SV740,Riyadh (RUH),Saudia,A333 (HZ-AQ27),Landed 8:09 AM
8:25 AM,EK504,Dubai (DXB),Emirates (Expo 2020 - Opportunity Livery),B77W (A6-ENR),Landed 8:07 AM
8:25 AM,AI341,Bangkok (BKK),Air India,A20N (VT-EXJ),Landed 9:12 AM
8:30 AM,AI614,Ahmedabad (AMD),Air India,A20N (VT-EXI),Landed 9:08 AM
8:30 AM,6E318,Kolkata (CCU),IndiGo,A20N (VT-ITB),Landed 8:15 AM
8:35 AM,AI569,Chennai (MAA),Air India,A20N (VT-EXK),Landed 8:43 AM
8:35 AM,AI640,Bengaluru (BLR),Air India,A20N (VT-EXF),Landed 8:22 AM
8:35 AM,SG6289,Chennai (MAA),SpiceJet,B738 (VT-SXC),Landed 8:19 AM
8:35 AM,SG8153,Delhi (DEL),SpiceJet,B737 (VT-SYO),Landed 8:18 AM
8:40 AM,6E495,Chennai (MAA),IndiGo,A320 (VT-IGS),Unknown
8:40 AM,SG6363,Hyderabad (HYD),SpiceJet,B738 (VT-SLF),Landed 8:27 AM
8:40 AM,6E655,Indore (IDR),IndiGo,A21N (VT-IUD),Landed 8:29 AM
8:40 AM,6E993,Delhi (DEL),IndiGo,A20N (VT-IVY),Landed 8:39 AM
8:45 AM,UK923,Delhi (DEL),Vistara,A320 (VT-TTC),Landed 8:33 AM
8:45 AM,AI912,Dubai (DXB),Air India,B788 (VT-ANR),Landed 8:26 AM
8:50 AM,SG6425,Kolkata (CCU),SpiceJet,B738 (VT-SZA),Landed 8:50 AM
8:50 AM,6E424,Bengaluru (BLR),IndiGo,A20N (VT-IVH),Landed 8:31 AM
8:50 AM,6E1769,Dubai (DXB),IndiGo,A320 (VT-IFC),Landed 9:05 AM
8:55 AM,6E6834,Ahmedabad (AMD),IndiGo,A20N (VT-ITI),Landed 8:37 AM
9:00 AM,UK828,Chennai (MAA),Vistara,B738 (VT-TGE),Landed 8:51 AM
9:05 AM,AI582,Kozhikode (CCJ),Air India,A321 (VT-PPW),Landed 8:43 AM
9:05 AM,AI887,Delhi (DEL),Air India,A20N (VT-CIQ),Landed 9:03 AM
9:10 AM,G8530,Delhi (DEL),GoAir,A20N (VT-WGQ),Landed 9:00 AM
9:10 AM,G82609,Lucknow (LKO),GoAir,A20N (VT-WGG),Landed 8:58 AM
9:15 AM,6E568,Aurangabad (IXU),IndiGo,A20N (VT-IJC),Landed 8:53 AM
9:15 AM,6E5309,Chennai (MAA),IndiGo,A20N (VT-ITW),Landed 8:55 AM
9:20 AM,AI628,Nagpur (NAG),Air India,A20N (VT-EXV),Landed 9:13 AM
9:20 AM,SG8701,Delhi (DEL),SpiceJet,B738 (VT-SYI),Landed 9:22 AM
9:35 AM,SG438,Bengaluru (BLR),SpiceJet,B738 (VT-SGZ),Landed 9:34 AM
9:40 AM,G8348,Cochin (COK),GoAir,A20N (VT-WJB),Landed 9:17 AM
9:40 AM,AI616,Hyderabad (HYD),Air India,A321 (VT-PPM),Landed 10:17 AM
9:40 AM,6.00E+167,Delhi (DEL),IndiGo,A20N (VT-IVV),Landed 9:20 AM
9:45 AM,SG6279,Jaipur (JAI),SpiceJet,B738 (VT-SYF),Landed 9:25 AM
9:50 AM,6E453,Coimbatore (CJB),IndiGo,A320 (VT-IFU),Landed 9:41 AM
9:50 AM,6E496,Kolkata (CCU),IndiGo,A320 (VT-IAL),Landed 9:39 AM
9:55 AM,6.00E+196,Bengaluru (BLR),IndiGo,A320 (VT-IFW),Landed 9:28 AM
9:55 AM,G8395,Bengaluru (BLR),GoAir,A20N (VT-WGE),Landed 10:05 AM
9:55 AM,UK862,Goa (GOI),Vistara,B738 (VT-TGA),Landed 9:35 AM
9:55 AM,UK874,Hyderabad (HYD),Vistara,A20N (VT-TNB),Landed 9:31 AM
10:05 AM,6.00E+298,Cochin (COK),IndiGo,A320 (VT-IEN),Landed 9:44 AM
10:05 AM,6E685,Lucknow (LKO),IndiGo,A320 (VT-IHK),Landed 9:46 AM
10:10 AM,G8334,Delhi (DEL),GoAir,A20N (VT-WJP),Landed 9:55 AM
10:15 AM,AI665,Delhi (DEL),Air India,321,Unknown
10:15 AM,6E1708,Doha (DOH),IndiGo,A21N (VT-IUA),Landed 9:54 AM
10:20 AM,EY932,Shanghai (PVG),Etihad Airways,77X,Unknown
10:20 AM,6E5387,Indore (IDR),IndiGo,A320 (VT-IHN),Landed 9:40 AM
10:30 AM,6.00E+214,Ahmedabad (AMD),IndiGo,A20N (VT-IVX),Landed 10:25 AM
10:35 AM,SG8723,Delhi (DEL),SpiceJet,B738 (VT-SLE),Landed 10:25 AM
10:35 AM,SQ422,Singapore (SIN),Singapore Airlines,A359 (9V-SMF),Landed 10:16 AM
10:40 AM,G8389,Jaipur (JAI),GoAir,A20N (VT-WJO),Landed 10:02 AM
10:40 AM,6.00E+179,Delhi (DEL),IndiGo,A20N (VT-ITX),Landed 10:08 AM
10:45 AM,G8459,Ahmedabad (AMD),GoAir,A20N (VT-WGY),Landed 10:20 AM
10:45 AM,SG6432,Hyderabad (HYD),SpiceJet,B737 (VT-SYU),Landed 9:58 AM
10:50 AM,G8141,Nagpur (NAG),GoAir,A20N (VT-WGK),Landed 10:59 AM
10:50 AM,SG488,Kolkata (CCU),SpiceJet,B738 (VT-SYG),Landed 10:40 AM
10:55 AM,AI682,Cochin (COK),Air India,A319 (VT-SCL),Landed 11:02 AM
11:00 AM,MH6244,Delhi (DEL),MASkargo,A332 (9M-MUD),Landed 10:11 AM
11:00 AM,6E782,Chennai (MAA),IndiGo,A20N (VT-IZY),Landed 10:32 AM
11:00 AM,6E5302,Bhopal (BHO),IndiGo,A20N (VT-IZI),Landed 10:44 AM
