Time,Flight Number,Source,Flight Name,Aircraft,Status
4:00 AM,AI130,London (LHR),Air India,B77W (VT-ALR),Landed 5:07 AM
4:00 AM,SG7032,Delhi (DEL),SpiceXpress,B738 (VT-SFF),Landed 5:05 AM
4:10 AM,AI984,Dubai (DXB),Air India,A321 (VT-PPD),Landed 4:10 AM
4:10 AM,BZ201,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDQ),Landed 4:14 AM
4:15 AM,G9406,Sharjah (SHJ),Air Arabia,A320 (A6-AOS),Landed 4:04 AM
4:15 AM,6E1718,Doha (DOH),IndiGo,A320 (VT-IEN),Landed 4:22 AM
4:20 AM,CX38,Milan (MXP),Cathay Pacific,74Y,Unknown
4:20 AM,6E1834,Abu Dhabi (AUH),IndiGo,A21N (VT-IUB),Landed 4:08 AM
4:20 AM,SG7087,Chennai (MAA),SpiceXpress,B737 (VT-SFE),Landed 4:11 AM
4:25 AM,BZ481,Ahmedabad (AMD),Blue Dart Aviation,B752 (VT-BDO),Landed 4:38 AM
4:50 AM,G8385,Kannur (CNN),GoAir,A20N (VT-WGY),Landed 4:31 AM
4:50 AM,6.00E+184,Cochin (COK),IndiGo,A320 (VT-IHT),Landed 4:31 AM
4:52 AM,AI986,Muscat (MCT),Air India,A321 (VT-PPL),Landed 5:00 AM
4:55 AM,GF56,Bahrain (BAH),Gulf Air (Bahrain Grand Prix 2015 Livery),A320 (A9C-AD),Landed 4:43 AM
4:55 AM,G82501,Delhi (DEL),GoAir,A20N (VT-WGF),Landed 4:43 AM
5:10 AM,TK720,Istanbul (IST),Turkish Airlines,B77W (TC-LKA),Landed 6:03 AM
5:10 AM,6E1826,Riyadh (RUH),IndiGo,A320 (VT-IFS),Landed 5:21 AM
5:15 AM,AI30,Ahmedabad (AMD),Air India,B788 (VT-ANH),Landed 5:22 AM
5:25 AM,AI34,Goa (GOI),Air India,A20N (VT-EXP),Landed 5:17 AM
5:25 AM,6E428,Hyderabad (HYD),IndiGo,A20N (VT-IZN),Landed 5:13 AM
5:35 AM,KQ204,Nairobi (NBO),Kenya Airways (SkyTeam Livery),B738 (5Y-CYE),Landed 6:26 AM
5:40 AM,SL218,Bangkok (DMK),Thai Lion Air,B738 (HS-LUP),Landed 5:54 AM
5:45 AM,G830,Muscat (MCT),GoAir,A20N (VT-WJB),Landed 5:27 AM
5:50 AM,AI276,Colombo (CMB),Air India,A319 (VT-SCR),Landed 6:06 AM
5:55 AM,LH8370,Frankfurt (FRA),Lufthansa Cargo,MD11 (D-ALCH),Landed 5:49 AM
6:15 AM,KU303,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKI),Landed 5:38 AM
6:20 AM,6.00E+235,Hyderabad (HYD),IndiGo,A320 (VT-IFA),Landed 5:58 AM
