Time,Flight Number,Source,Flight Name,Aircraft,Status
4:50 AM,G8385,Kannur (CNN),GoAir,A20N (VT-WJR),Landed 4:47 AM
4:50 AM,6.00E+184,Cochin (COK),IndiGo,A320 (VT-IHM),Landed 4:41 AM
4:55 AM,GF56,Bahrain (BAH),Gulf Air,A321 (A9C-CD),Landed 4:42 AM
4:55 AM,SQ7969,Brussels (BRU),Singapore Airlines,74Y,Unknown
4:55 AM,G82501,Delhi (DEL),GoAir,A20N (VT-WJI),Landed 5:10 AM
5:00 AM,AI932,Jeddah (JED),Air India (Star Alliance Livery),B77W (VT-ALJ),Landed 4:51 AM
5:00 AM,MK748,Port Louis (MRU),Air Mauritius,A339 (3B-NBV),Landed 4:46 AM
5:05 AM,QR8600,Doha (DOH),Qatar Cargo,B748 (A7-BGA),Landed 4:36 AM
5:10 AM,TK720,Istanbul (IST),Turkish Airlines,B77W (TC-JJR),Landed 4:53 AM
5:10 AM,6E1826,Riyadh (RUH),IndiGo,A320 (VT-IFM),Landed 4:59 AM
5:15 AM,AI30,Ahmedabad (AMD),Air India,B788 (VT-ANT),Landed 5:59 AM
5:25 AM,6E428,Hyderabad (HYD),IndiGo,A320 (VT-IES),Landed 5:13 AM
5:35 AM,KQ204,Nairobi (NBO),Kenya Airways (SkyTeam Livery),B738 (5Y-CYE),Landed 5:16 AM
5:40 AM,SL218,Bangkok (DMK),Thai Lion Air,B738 (HS-LUI),Landed 6:01 AM
5:45 AM,G830,Muscat (MCT),GoAir,A20N (VT-WGG),Landed 5:55 AM
5:50 AM,AI946,Abu Dhabi (AUH),Air India,A20N (VT-EXJ),Landed 5:48 AM
5:55 AM,AI34,Goa (GOI),Air india (Star Alliance Livery),A20N (VT-EXO),Landed 5:59 AM
6:15 AM,AI124,Frankfurt (FRA),Air India,B788 (VT-ANH),Landed 6:52 AM
6:15 AM,KU303,Kuwait City (KWI),Kuwait Airways,A20N (9K-AKL),Landed 5:33 AM
6:15 AM,AI349,Delhi (DEL),Air India,B788 (VT-ANK),Landed 6:18 AM
6:20 AM,6.00E+235,Hyderabad (HYD),IndiGo,A20N (VT-ITM),Landed 6:12 AM
6:25 AM,SG14,Dubai (DXB),SpiceJet,B738 (VT-SGJ),Landed 6:22 AM
6:30 AM,6E6789,Ahmedabad (AMD),IndiGo,A320 (VT-IGI),Landed 6:24 AM
6:40 AM,WY201,Muscat (MCT),Oman Air,B788 (A4O-SB),Landed 6:10 AM
6:40 AM,SG636,Ahmedabad (AMD),SpiceJet,B738 (VT-SYZ),Landed 6:06 AM
6:40 AM,SG611,Goa (GOI),SpiceJet,B737 (VT-SLA),Landed 6:36 AM
6:40 AM,6E456,Bengaluru (BLR),IndiGo,A20N (VT-IVO),Landed 6:22 AM
6:45 AM,6E5385,Nagpur (NAG),IndiGo,A20N (VT-IVP),Landed 6:32 AM
6:50 AM,G8302,Chennai (MAA),GoAir,A20N (VT-WGQ),Landed 6:50 AM
6:55 AM,SG69,Jeddah (JED),SpiceJet,B738 (VT-SZN),Landed 9:07 AM
6:55 AM,IX252,Sharjah (SHJ),Air India Express (Hawa Mahal/Ujjayanta Palace),B738 (VT-AXN),Landed 6:42 AM
7:00 AM,SG20,Riyadh (RUH),SpiceJet,B738 (VT-SLI),Landed 6:31 AM
7:05 AM,SG704,Hyderabad (HYD),Corendon Airlines,B738 (TC-TJR),Landed 6:41 AM
7:05 AM,6.00E+171,Delhi (DEL),IndiGo,A20N (VT-IVW),Landed 7:03 AM
7:05 AM,6.00E+218,Jaipur (JAI),IndiGo,A20N (VT-ITH),Landed 6:37 AM
7:10 AM,I5303,Bengaluru (BLR),AirAsia,A320 (VT-BLR),Landed 6:46 AM
7:10 AM,SG6351,Bengaluru (BLR),SpiceJet,B738 (VT-SLL),Landed 6:56 AM
7:15 AM,ET610,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-ATR),Landed 6:29 AM
7:15 AM,AI620,Hyderabad (HYD),Air India,A319 (VT-SCQ),Landed 6:54 AM
7:15 AM,6E654,Chennai (MAA),IndiGo,A20N (VT-IZZ),Landed 7:16 AM
7:20 AM,G8418,Bengaluru (BLR),GoAir,A320 (VT-GOS),Landed 7:35 AM
7:20 AM,6E5322,Bengaluru (BLR),IndiGo,A20N (VT-IVN),Landed 7:03 AM
7:25 AM,LY71,Tel Aviv (TLV),El Al Israel Airlines,B789 (4X-EDE),Landed 7:09 AM
7:25 AM,EY212,Abu Dhabi (AUH),Etihad,A320 (A6-EIO),Landed 7:14 AM
7:40 AM,SG678,Chennai (MAA),SpiceJet,B738 (VT-SYD),Landed 7:39 AM
7:40 AM,SG6475,Cochin (COK),SpiceJet,B738 (VT-SLH),Landed 7:46 AM
7:45 AM,6E5335,Delhi (DEL),IndiGo,A320 (VT-IEG),Landed 7:34 AM
