Time,Flight Number,Source,Flight Name,Aircraft,Status
12:05 AM,AF218,Paris (CDG),Air France,B772 (F-GSPI),Landed 12:32 AM
12:05 AM,6E5383,Hyderabad (HYD),IndiGo,A320 (VT-IDQ),Landed 11:56 PM
12:10 AM,G82608,Jaipur (JAI),GoAir,A320 (VT-GOM),Landed 11:36 PM
12:10 AM,6E665,Delhi (DEL),IndiGo,A20N (VT-IJT),Landed 12:09 AM
12:15 AM,BA139,London (LHR),British Airways,B772 (G-YMMP),Landed 1:09 AM
12:15 AM,UK202,Dubai (DXB),Vistara,A20N (VT-TNV),Landed 12:01 AM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A320 (VT-IHQ),Landed 12:17 AM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A20N (VT-WJP),Landed 12:07 AM
12:20 AM,SG6442,Goa (GOI),SpiceJet,B737 (VT-SLP),Landed 12:25 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A320 (VT-IHD),Landed 12:58 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,A20N (VT-IJA),Landed 12:33 AM
12:30 AM,AI84,Goa (GOI),Air India,A20N (VT-CIM),Landed 1:26 AM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-CCU),Landed 12:29 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A320 (VT-IAQ),Landed 12:38 AM
12:35 AM,CX663,Hong Kong (HKG),Cathay Pacific,A333 (B-LBC),Landed 12:39 AM
12:40 AM,KL877,Amsterdam (AMS),KLM (KLM 100 Years Livery),B78X (PH-BKA),Landed 1:13 AM
12:45 AM,CX66,Amsterdam (AMS),Cathay Pacific,74N,Unknown
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IDX),Landed 12:53 AM
12:55 AM,SG798,Hyderabad (HYD),SpiceJet,B738 (VT-SGX),Landed 3:17 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VNEW),Landed 1:18 AM
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A320 (VT-IFE),Landed 1:35 AM
1:00 AM,G8544,Delhi (DEL),GoAir,A20N (VT-WGB),Landed 12:58 AM
1:00 AM,KE655,Seoul (ICN),Korean Air,A332 (HL7538),Landed 1:08 AM
1:00 AM,LH756,Frankfurt (FRA),Lufthansa,B744 (D-ABVU),Landed 1:30 AM
1:10 AM,AI863,Delhi (DEL),Air India,A20N (VT-CIE),Landed 1:00 AM
1:10 AM,KU301,Kuwait City (KWI),Kuwait Airways,B77W (9K-AOI),Landed 1:08 AM
1:10 AM,I5316,Kolkata (CCU),AirAsia,A320 (VT-RED),Landed 1:16 AM
1:20 AM,G8380,Goa (GOI),GoAir,A20N (VT-WJC),Landed 1:24 AM
1:30 AM,IA441,Najaf (NJF),Iraqi Airways,737,Unknown
1:30 AM,G8512,Kolkata (CCU),GoAir,A20N (VT-WGL),Landed 1:31 AM
1:30 AM,6.00E+62,Dubai (DXB),IndiGo,A320 (VT-IFG),Landed 1:30 AM
1:35 AM,WE335,Bangkok (BKK),THAI Smile,A320 (HS-TXC),Landed 1:39 AM
1:35 AM,BZ154,Hyderabad (HYD),Blue Dart Aviation,B752 (VT-BDM),Landed 1:46 AM
1:45 AM,SG8287,Delhi (DEL),SpiceJet,B738 (VT-SYC),Landed 1:51 AM
1:50 AM,SG82,Bangkok (BKK),SpiceJet,B738 (VT-SYV),Landed 1:38 AM
1:50 AM,G8413,Ahmedabad (AMD),GoAir,A320 (VT-GON),Landed 1:42 AM
1:50 AM,6.00E+263,Hyderabad (HYD),IndiGo,A20N (VT-IZD),Landed 1:52 AM
2:05 AM,IX244,Doha (DOH),Air India Express (Samai/Diya Livery),B738 (VT-GHD),Landed 1:41 AM
2:05 AM,BZ102,Bengaluru (BLR),Blue Dart Aviation,B752 (VT-BDB),Landed 2:00 AM
2:05 AM,BZ654,Hyderabad (HYD),Blue Dart Aviation,75F,Unknown
2:05 AM,I5472,Goa (GOI),AirAsia,A320 (VT-SIN),Landed 1:45 AM
2:10 AM,UL141,Colombo (CMB),SriLankan Airlines,A20N (4R-ANB),Landed 1:53 AM
2:10 AM,SG7063,Delhi (DEL),SpiceXpress,B737 (VT-SFD),Landed 2:18 AM
2:15 AM,EK500,Dubai (DXB),Emirates,A388 (A6-EUD),Landed 2:22 AM
2:25 AM,SG7046,Sharjah (SHJ),SpiceJet,-,Unknown
2:30 AM,QR8606,Doha (DOH),Qatar Cargo,A332 (A7-AFH),Landed 1:58 AM
2:30 AM,QR556,Doha (DOH),Qatar Airways,B77W (A7-BEK),Landed 2:07 AM
2:35 AM,ET640,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-ATR),Landed 2:11 AM
2:40 AM,EY206,Abu Dhabi (AUH),Etihad,B77W (A6-ETH),Landed 2:13 AM
2:45 AM,6.00E+82,Muscat (MCT),IndiGo,A320 (VT-IES),Landed 2:36 AM
3:05 AM,J9401,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAM),Landed 2:53 AM
4:00 AM,SG7032,Delhi (DEL),SpiceXpress,B738 (VT-SFF),Landed 4:38 AM
4:05 AM,SG788,Bengaluru (BLR),SpiceJet,B738 (VT-SLJ),Landed 3:28 AM
4:10 AM,AI984,Dubai (DXB),Air India,A321 (VT-PPW),Landed 3:59 AM
4:10 AM,FZ445,Dubai (DXB),flydubai,B738 (A6-FED),Landed 3:48 AM
4:10 AM,BZ201,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDA),Landed 4:34 AM
4:15 AM,G9406,Sharjah (SHJ),Air Arabia,A320 (A6-ANS),Landed 3:37 AM
4:15 AM,HM260,Victoria (SEZ),Air Seychelles,A20N (S7-VEV),Landed 3:54 AM
4:15 AM,6E1718,Doha (DOH),IndiGo,A320 (VT-IFR),Landed 4:28 AM
4:20 AM,LH8370,Frankfurt (FRA),Lufthansa Cargo,MD11 (D-ALCI),Landed 4:21 AM
4:20 AM,TC400,Dar-es-Salaam (DAR),Air Tanzania,B788 (5H-TCJ),Landed 3:33 AM
4:20 AM,6E1834,Abu Dhabi (AUH),IndiGo,A21N (VT-IUJ),Landed 4:14 AM
4:20 AM,SG7087,Chennai (MAA),SpiceXpress,B737 (VT-SFE),Unknown
4:25 AM,AI986,Muscat (MCT),Air India,A321 (VT-PPD),Landed 3:55 AM
4:25 AM,BZ481,Ahmedabad (AMD),Blue Dart Aviation,B752 (VT-BDQ),Landed 4:45 AM
4:50 AM,G8385,Kannur (CNN),GoAir,A20N (VT-WJQ),Landed 4:23 AM
4:50 AM,6.00E+184,Cochin (COK),IndiGo,A320 (VT-IHN),Landed 4:40 AM
4:55 AM,GF56,Bahrain (BAH),Gulf Air,A321 (A9C-CD),Landed 4:31 AM
4:55 AM,G82501,Delhi (DEL),GoAir,A20N (VT-WGZ),Landed 4:43 AM
5:00 AM,MK748,Port Louis (MRU),Air Mauritius,A332 (3B-NBM),Landed 4:53 AM
5:10 AM,TK720,Istanbul (IST),Turkish Airlines,B77W (TC-LKC),Landed 4:57 AM
5:10 AM,6E1826,Riyadh (RUH),IndiGo,A320 (VT-IFI),Landed 4:50 AM
5:15 AM,AI30,Ahmedabad (AMD),Air India,B788 (VT-ANG),Landed 4:58 AM
5:15 AM,BZ4481,Ahmedabad (AMD),Blue Dart Aviation,75F,Unknown
5:25 AM,AI34,Goa (GOI),Air India,A20N (VT-CIM),Landed 5:58 AM
5:25 AM,6E428,Hyderabad (HYD),IndiGo,A320 (VT-IFN),Landed 5:05 AM
5:35 AM,KQ204,Nairobi (NBO),Kenya Airways,B738 (5Y-CYA),Landed 7:19 AM
5:40 AM,SL218,Bangkok (DMK),Thai Lion Air,B738 (HS-LUI),Landed 5:35 AM
5:45 AM,G830,Muscat (MCT),GoAir,A20N (VT-WGG),Landed 5:01 AM
5:50 AM,AI946,Abu Dhabi (AUH),Air India,A20N (VT-EXH),Landed 5:34 AM
6:10 AM,AI124,Frankfurt (FRA),Air India,B788 (VT-ANE),Landed 5:48 AM
6:15 AM,KU303,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKF),Landed 5:41 AM
6:15 AM,AI1349,Delhi (DEL),Air India,788,Canceled
6:15 AM,AI349,Delhi (DEL),Air India,B788 (VT-ANJ),Landed 6:36 AM
