TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
3:55 PM,RA201,Kathmandu (KTM),Nepal Airlines,A320 (9N-AKX),Landed 6:50 PM
4:00 PM,UK614,Udaipur (UDR),Vistara,B738 (VT-TGD),Landed 3:43 PM
4:00 PM,UK910,Goa (GOI),Vistara,A20N (VT-TNU),Landed 3:56 PM
4:05 PM,SG6284,Patna (PAT),SpiceJet,B738 (VT-SYF),Landed 3:52 PM
4:05 PM,6.00E+64,Dubai (DXB),IndiGo,A20N (VT-IVE),Landed 3:40 PM
4:05 PM,6E813,Goa (GOI),IndiGo,A20N (VT-IVO),Landed 4:08 PM
4:10 PM,AI317,Delhi (DEL),Air india (Star Alliance Livery),A20N (VT-EXO),Landed 4:25 PM
4:15 PM,AI696,Varanasi (VNS),Air India,A319 (VT-SCN),Landed 4:51 PM
4:15 PM,SG64,Dhaka (DAC),SpiceJet,B738 (VT-SLN),Landed 5:25 PM
4:15 PM,6E448,Amritsar (ATQ),IndiGo,A320 (VT-IFS),Landed 4:10 PM
4:20 PM,SG6430,Kanpur (KNU),SpiceJet,B738 (VT-SGQ),Landed 3:32 PM
4:20 PM,6E389,Hyderabad (HYD),IndiGo,A320 (VT-IHS),Landed 4:22 PM
4:20 PM,6E598,Coimbatore (CJB),IndiGo,A20N (VT-IZU),Landed 4:15 PM
4:25 PM,AI651,Visakhapatnam (VTZ),Air India,A321 (VT-PPK),Landed 3:51 PM
4:25 PM,AI679,Coimbatore (CJB),Air India,A321 (VT-PPU),Landed 4:29 PM
4:30 PM,AI612,Jaipur (JAI),Air India,A321 (VT-PPM),Landed 4:44 PM
4:30 PM,G82503,Ranchi (IXR),GoAir,A320 (VT-WAL),Landed 4:17 PM
4:30 PM,6E6128,Bengaluru (BLR),IndiGo,A20N (VT-IJC),Landed 4:37 PM
4:35 PM,SG2876,Kandla (IXY),SpiceJet,DH8D (VT-SUK),Unknown
4:40 PM,G8336,Delhi (DEL),GoAir,A20N (VT-WGJ),Landed 4:38 PM
4:40 PM,UK822,Chennai (MAA),Vistara,B738 (VT-TGE),Landed 4:12 PM
4:40 PM,6E753,Udaipur (UDR),IndiGo,A320 (VT-IHZ),Landed 5:45 PM
4:45 PM,QR8602,Doha (DOH),Qatar Cargo,B748 (A7-BGA),Landed 3:57 PM
4:50 PM,G8287,Srinagar (SXR),GoAir,A20N (VT-WJA),Landed 4:42 PM
4:50 PM,9I628,Indore (IDR),Alliance Air,ATR,Unknown
4:55 PM,AI1966,Hyderabad (HYD),Air India,744,Unknown
5:00 PM,G8586,Patna (PAT),GoAir,A320 (VT-GOP),Landed 4:47 PM
5:00 PM,UK132,Colombo (CMB),Vistara,A20N (VT-TNF),Landed 4:53 PM
5:05 PM,AI670,Bhubaneswar (BBI),Air India,A320 (VT-EDF),Landed 6:28 PM
5:05 PM,SG6,Dubai (DXB),SpiceJet,B738 (VT-SZJ),Landed 4:39 PM
