Time,Flight Number,Source,Flight Name,Aircraft,Status
12:05 AM,AF218,Paris (CDG),Air France,B772 (F-GSPK),Landed 11:39 PM
12:05 AM,6E5383,Hyderabad (HYD),IndiGo,A320 (VT-IEV),Landed 11:57 PM
12:10 AM,G82608,Jaipur (JAI),GoAir,A20N (VT-WGR),Landed 11:21 PM
12:10 AM,6E665,Delhi (DEL),IndiGo,A20N (VT-ITG),Landed 11:50 PM
12:15 AM,BA139,London (LHR),British Airways,B772 (G-YMMK),Landed 12:51 AM
12:15 AM,UK202,Dubai (DXB),Vistara,A20N (VT-TNV),Landed 11:34 PM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A320 (VT-IFJ),Landed 11:41 PM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A20N (VT-WJI),Landed 12:06 AM
12:20 AM,SG6442,Goa (GOI),SpiceJet,B737 (VT-SYO),Landed 12:21 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A320 (VT-IHJ),Landed 12:20 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,A20N (VT-IJA),Landed 11:58 PM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-SXR),Landed 12:11 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A20N (VT-ITZ),Landed 12:19 AM
12:35 AM,CX663,Hong Kong (HKG),Cathay Pacific,A333 (B-LAD),Landed 12:15 AM
12:40 AM,KE655,Seoul (ICN),Korean Air (SkyTeam Livery),A332 (HL8212),Landed 12:40 AM
12:40 AM,KL877,Amsterdam (AMS),KLM,B789 (PH-BHP),Landed 12:32 AM
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IKI),Landed 12:29 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VMAP),Landed 1:27 AM
12:55 AM,SG798,Hyderabad (HYD),SpiceJet,B738 (VT-SGX),Landed 12:45 AM
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A20N (VT-IZZ),Landed 1:33 AM
1:00 AM,LH756,Frankfurt (FRA),Lufthansa,B744 (D-ABVS),Landed 1:02 AM
1:10 AM,KU301,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKH),Landed 12:13 AM
1:10 AM,AI863,Delhi (DEL),Air India,A321 (VT-PPB),Landed 2:22 AM
1:10 AM,I5316,Kolkata (CCU),AirAsia,A320 (VT-KOC),Landed 1:12 AM
1:20 AM,AI610,Bengaluru (BLR),Air India,A20N (VT-CIQ),Landed 1:20 AM
1:20 AM,G8380,Goa (GOI),GoAir,A20N (VT-WJO),Landed 12:37 AM
1:30 AM,G8512,Kolkata (CCU),GoAir,A320 (VT-GOP),Landed 1:06 AM
1:30 AM,6.00E+62,Dubai (DXB),IndiGo,A320 (VT-IFN),Landed 1:08 AM
1:35 AM,WE335,Bangkok (BKK),THAI Smile,A320 (HS-TXD),Landed 1:31 AM
