Time,Flight Number,Source,Flight Name,Aircraft,Status
12:05 AM,AF218,Paris (CDG),Air France,B772 (F-GSPU),Landed 11:23 PM
12:05 AM,6E5383,Hyderabad (HYD),IndiGo,A320 (VT-IKD),Landed 2:13 AM
12:10 AM,G82608,Jaipur (JAI),GoAir,A320 (VT-GOL),Landed 11:40 PM
12:10 AM,6E665,Delhi (DEL),IndiGo,A320 (VT-IHM),Landed 11:31 PM
12:15 AM,BA139,London (LHR),British Airways,B772 (G-YMMN),Landed 11:59 PM
12:15 AM,UK202,Dubai (DXB),Vistara,A20N (VT-TNK),Landed 11:43 PM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A20N (VT-IZC),Landed 12:01 AM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A20N (VT-WGS),Landed 12:16 AM
12:20 AM,SG6442,Goa (GOI),SpiceJet,B737 (VT-SYP),Landed 12:36 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A20N (VT-ITY),Landed 12:15 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,A20N (VT-IJH),Landed 12:34 AM
12:25 AM,UK967,Delhi (DEL),Vistara,A20N (VT-TNV),Landed 12:10 AM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-KOC),Landed 12:16 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A320 (VT-IHK),Landed 12:20 AM
12:40 AM,KL877,Amsterdam (AMS),KLM,B789 (PH-BHI),Landed 12:27 AM
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IFV),Landed 12:40 AM
12:50 AM,AI632,Bhopal (BHO),Air India,A319 (VT-SCM),Landed 12:43 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VBZZ),Landed 12:13 AM
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A20N (VT-IZE),Landed 1:19 AM
1:00 AM,AI84,Goa (GOI),Air India,A321 (VT-PPB),Landed 1:15 AM
1:00 AM,G8544,Delhi (DEL),GoAir,A320 (VT-GOS),Landed 12:29 AM
1:00 AM,LH756,Frankfurt (FRA),Lufthansa,B744 (D-ABVM),Landed 12:55 AM
1:10 AM,AI863,Delhi (DEL),Air India,A20N (VT-EXK),Landed 1:01 AM
1:10 AM,I5316,Kolkata (CCU),AirAsia,A320 (VT-DEL),Landed 12:55 AM
1:10 AM,KU301,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKJ),Landed 1:53 AM
1:20 AM,G8380,Goa (GOI),GoAir,A20N (VT-WGG),Landed 1:11 AM
1:30 AM,G8512,Kolkata (CCU),GoAir,A20N (VT-WJB),Landed 2:20 AM
1:30 AM,6.00E+62,Dubai (DXB),IndiGo,A320 (VT-IEI),Landed 12:56 AM
1:35 AM,WE335,Bangkok (BKK),THAI Smile,A320 (HS-TXF),Landed 1:30 AM
1:35 AM,BZ154,Hyderabad (HYD),Blue Dart Aviation,B752 (VT-BDQ),Landed 1:39 AM
1:45 AM,MS968,Cairo (CAI),EgyptAir,A332 (SU-GCK),Landed 1:21 AM
1:45 AM,SG8287,Delhi (DEL),SpiceJet,B738 (VT-SYQ),Landed 1:14 AM
1:50 AM,SG82,Bangkok (BKK),SpiceJet,B738 (VT-SYZ),Landed 1:50 AM
1:50 AM,G8413,Ahmedabad (AMD),GoAir,A20N (VT-WJQ),Landed 1:26 AM
1:50 AM,6.00E+263,Hyderabad (HYD),IndiGo,A320 (VT-IHW),Landed 1:41 AM
2:05 AM,BZ102,Bengaluru (BLR),Blue Dart Aviation,B752 (VT-BDM),Landed 2:09 AM
2:05 AM,I5472,Goa (GOI),AirAsia,A320 (VT-ATB),Landed 1:44 AM
2:10 AM,UL141,Colombo (CMB),SriLankan Airlines,A320 (4R-ABL),Landed 2:39 AM
2:10 AM,SG7063,Delhi (DEL),SpiceXpress,B737 (VT-SFB),Landed 2:01 AM
2:15 AM,EK500,Dubai (DXB),Emirates,A388 (A6-EER),Landed 2:00 AM
2:25 AM,SG7046,Sharjah (SHJ),SpiceJet,-,Unknown
2:30 AM,QR556,Doha (DOH),Qatar Airways,A333 (A7-AEF),Landed 2:20 AM
2:35 AM,ET640,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-ATR),Landed 2:36 AM
2:40 AM,EY206,Abu Dhabi (AUH),Etihad,B77W (A6-ETP),Landed 2:09 AM
2:45 AM,6.00E+82,Muscat (MCT),IndiGo,A320 (VT-IES),Landed 3:02 AM
2:50 AM,LH8472,Frankfurt (FRA),Lufthansa Cargo,B77L (D-ALFB),Landed 2:30 AM
3:05 AM,J9401,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAN),Landed 4:27 AM
3:55 AM,AI966,Hyderabad (HYD),Air India,B744 (VT-EVB),Landed 4:36 AM
4:00 AM,AI130,London (LHR),Air India,B77W (VT-ALT),Landed 5:35 AM
4:00 AM,SG7032,Delhi (DEL),SpiceXpress,B738 (VT-SFF),Landed 4:22 AM
4:10 AM,AI984,Dubai (DXB),Air India,A321 (VT-PPI),Landed 4:13 AM
4:10 AM,FZ445,Dubai (DXB),flydubai,B738 (A6-FEY),Landed 4:17 AM
4:10 AM,WB501,Guangzhou (CAN),RwandAir,738,Unknown
4:10 AM,BZ201,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDO),Landed 6:07 AM
4:15 AM,AI932,Jeddah (JED),Air India,B77L (VT-ALH),Landed 4:43 AM
4:15 AM,G9406,Sharjah (SHJ),Air Arabia,A320 (A6-ANW),Landed 4:07 AM
