Time,Flight Number,Source,Flight Name,Aircraft,Status
12:05 AM,AF218,Paris (CDG),Air France,B772 (F-GSPG),Landed 11:49 PM
12:05 AM,6E5383,Hyderabad (HYD),IndiGo,A320 (VT-IGI),Landed 12:20 AM
12:10 AM,G82608,Jaipur (JAI),GoAir,A20N (VT-WGW),Landed 11:21 PM
12:10 AM,6E665,Delhi (DEL),IndiGo,A20N (VT-IZC),Landed 12:01 AM
12:15 AM,AI732,Patna (PAT),Air India,A20N (VT-CIM),Landed 1:03 AM
12:15 AM,BA139,London (LHR),British Airways,B772 (G-YMMN),Landed 12:31 AM
12:15 AM,UK202,Dubai (DXB),Vistara,A20N (VT-TNV),Landed 11:45 PM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A320 (VT-INV),Landed 12:09 AM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A320 (VT-GOM),Landed 12:23 AM
12:20 AM,SG6442,Goa (GOI),SpiceJet,B737 (VT-SYP),Landed 12:52 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A20N (VT-IVK),Landed 12:47 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,A20N (VT-IZZ),Landed 12:30 AM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-BLR),Landed 12:36 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A20N (VT-IVC),Landed 12:42 AM
12:40 AM,KE655,Seoul (ICN),Korean Air (SkyTeam Livery),A332 (HL8212),Landed 12:55 AM
12:40 AM,KL877,Amsterdam (AMS),KLM,B789 (PH-BHH),Landed 12:43 AM
12:45 AM,CX66,Amsterdam (AMS),Cathay Pacific,74N,Unknown
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IEZ),Landed 12:36 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VWHO),Landed 12:31 AM
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A20N (VT-ITX),Landed 1:33 AM
1:00 AM,G8544,Delhi (DEL),GoAir,A320 (VT-GOR),Landed 12:42 AM
1:00 AM,LH756,Frankfurt (FRA),Lufthansa,B744 (D-ABVX),Landed 1:05 AM
1:10 AM,KU301,Kuwait City (KWI),Kuwait Airways,B77W (9K-AOI),Landed 12:24 AM
1:10 AM,AI863,Delhi (DEL),Air India,A20N (VT-EXT),Landed 3:33 AM
1:10 AM,I5316,Kolkata (CCU),AirAsia,A320 (VT-CCU),Landed 12:49 AM
1:15 AM,AI84,Goa (GOI),Air India,A20N (VT-EXQ),Landed 2:08 AM
1:20 AM,G8380,Goa (GOI),GoAir,A20N (VT-WGR),Landed 1:12 AM
1:30 AM,IA441,Najaf (NJF),Iraqi Airways,B738 (YI-ASJ),Landed 1:07 AM
1:30 AM,G8512,Kolkata (CCU),GoAir,A20N (VT-WJL),Landed 1:03 AM
1:30 AM,6.00E+62,Dubai (DXB),IndiGo,A320 (VT-IDO),Landed 2:12 AM
1:35 AM,WE335,Bangkok (BKK),THAI Smile,A320 (HS-TXD),Landed 1:27 AM
1:35 AM,BZ154,Hyderabad (HYD),Blue Dart Aviation,B752 (VT-BDB),Landed 1:27 AM
1:45 AM,SG8287,Delhi (DEL),SpiceJet (With All Our Heart Livery),B738 (VT-SZK),Landed 1:25 AM
1:50 AM,SG82,Bangkok (BKK),SpiceJet,B738 (VT-SYV),Landed 2:10 AM
1:50 AM,G8413,Ahmedabad (AMD),GoAir,A20N (VT-WGL),Landed 1:38 AM
1:50 AM,6.00E+263,Hyderabad (HYD),IndiGo,A320 (VT-IFC),Landed 1:37 AM
2:05 AM,IX244,Doha (DOH),Air India Express (Red Fort/Gwalior Fort Livery),B738 (VT-AXJ),Landed 1:33 AM
2:05 AM,BZ102,Bengaluru (BLR),Blue Dart Aviation,B752 (VT-BDA),Landed 1:55 AM
2:05 AM,BZ654,Hyderabad (HYD),Blue Dart Aviation,75F,Unknown
2:05 AM,I5472,Goa (GOI),AirAsia,A320 (VT-ATB),Landed 1:58 AM
2:10 AM,UL141,Colombo (CMB),SriLankan Airlines,A320 (4R-ABM),Landed 2:03 AM
2:10 AM,SG7063,Delhi (DEL),SpiceXpress,B737 (VT-SFD),Landed 1:49 AM
2:15 AM,EK500,Dubai (DXB),Emirates,A388 (A6-EEE),Landed 2:21 AM
2:25 AM,SG7046,Sharjah (SHJ),SpiceJet,-,Unknown
2:30 AM,QR8606,Doha (DOH),Qatar Cargo,B77L (A7-BFR),Landed 2:53 AM
2:30 AM,QR556,Doha (DOH),Qatar Airways,B77W (A7-BAM),Landed 2:08 AM
2:35 AM,ET640,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-ATR),Landed 2:17 AM
2:40 AM,EY206,Abu Dhabi (AUH),Etihad,B77W (A6-ETH),Landed 2:15 AM
2:45 AM,6.00E+82,Muscat (MCT),IndiGo,A320 (VT-IGX),Landed 2:46 AM
3:05 AM,J9401,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAM),Landed 3:25 AM
4:00 AM,AI130,London (LHR),Air India,B77W (VT-ALQ),Landed 3:41 AM
4:00 AM,SG7032,Delhi (DEL),SpiceXpress,B738 (VT-SFF),Landed 4:22 AM
4:05 AM,SG788,Bengaluru (BLR),SpiceJet,B738 (VT-SYB),Landed 3:21 AM
4:10 AM,AI984,Dubai (DXB),Air India,A321 (VT-PPB),Landed 3:50 AM
4:10 AM,FZ445,Dubai (DXB),flydubai,B738 (A6-FEI),Landed 3:45 AM
4:10 AM,BZ201,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDQ),Landed 4:05 AM
4:15 AM,G9406,Sharjah (SHJ),Air Arabia,A320 (A6-ANU),Landed 3:32 AM
4:15 AM,HM260,Victoria (SEZ),Air Seychelles,A20N (S7-VEV),Landed 4:05 AM
4:15 AM,6E1718,Doha (DOH),IndiGo,A320 (VT-IFM),Landed 4:12 AM
4:20 AM,LH8370,Frankfurt (FRA),Lufthansa Cargo,MD11 (D-ALCB),Landed 4:18 AM
4:20 AM,TC400,Dar-es-Salaam (DAR),Air Tanzania,B788 (5H-TCG),Landed 3:54 AM
4:20 AM,6E1834,Abu Dhabi (AUH),IndiGo,A21N (VT-IUL),Landed 4:03 AM
4:20 AM,SG7087,Chennai (MAA),SpiceXpress,B737 (VT-SFE),Landed 3:49 AM
4:25 AM,AI986,Muscat (MCT),Air India,A321 (VT-PPV),Landed 4:14 AM
4:25 AM,BZ481,Ahmedabad (AMD),Blue Dart Aviation,B752 (VT-BDM),Landed 4:45 AM
4:30 AM,CX2066,Frankfurt (FRA),Cathay Pacific Cargo,B748 (B-LJG),Landed 4:27 AM
4:50 AM,AI276,Colombo (CMB),Air India,A321 (VT-PPQ),Landed 5:53 AM
4:50 AM,G8385,Kannur (CNN),GoAir,A20N (VT-WJO),Landed 4:08 AM
4:50 AM,6.00E+184,Cochin (COK),IndiGo,A320 (VT-IHR),Landed 4:48 AM
4:55 AM,GF56,Bahrain (BAH),Gulf Air,A321 (A9C-CD),Landed 4:27 AM
4:55 AM,G82501,Delhi (DEL),GoAir,A20N (VT-WGZ),Landed 4:33 AM
5:00 AM,MK748,Port Louis (MRU),Air Mauritius,A332 (3B-NBM),Landed 5:00 AM
5:10 AM,TK720,Istanbul (IST),Turkish Airlines,B77W (TC-JJY),Landed 5:12 AM
5:10 AM,6E1826,Riyadh (RUH),IndiGo,A320 (VT-IFV),Landed 4:44 AM
5:15 AM,AI124,Frankfurt (FRA),Air India,B788 (VT-ANW),Landed 5:39 AM
5:15 AM,AI30,Ahmedabad (AMD),Air India,B788 (VT-ANA),Landed 5:04 AM
5:15 AM,BZ4481,Ahmedabad (AMD),Blue Dart Aviation,75F,Unknown
5:25 AM,AI34,Goa (GOI),Air India,A321 (VT-PPJ),Landed 4:40 AM
5:25 AM,6E428,Hyderabad (HYD),IndiGo,A320 (VT-IFR),Landed 5:08 AM
5:35 AM,KQ204,Nairobi (NBO),Kenya Airways,B738 (5Y-CYC),Landed 5:56 AM
5:40 AM,SL218,Bangkok (DMK),Thai Lion Air,B739 (HS-LTY),Landed 5:59 AM
5:45 AM,G830,Muscat (MCT),GoAir,A20N (VT-WGE),Landed 4:50 AM
6:15 AM,AI349,Delhi (DEL),Air India,B788 (VT-ANS),Landed 6:18 AM
6:15 AM,KU303,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKF),Landed 5:35 AM
6:20 AM,AI946,Abu Dhabi (AUH),Air India,A20N (VT-EXJ),Landed 6:22 AM
6:20 AM,6.00E+235,Hyderabad (HYD),IndiGo,A320 (VT-IKA),Landed 5:50 AM
6:25 AM,MS517,Cairo (CAI),EgyptAir,ABF,Unknown
6:25 AM,SG14,Dubai (DXB),SpiceJet,B738 (VT-SZM),Landed 7:27 AM
6:30 AM,6E6789,Ahmedabad (AMD),IndiGo,A320 (VT-IHS),Landed 6:14 AM
6:40 AM,6E456,Bengaluru (BLR),IndiGo,A320 (VT-IHA),Landed 6:05 AM
6:40 AM,SG636,Ahmedabad (AMD),Corendon Airlines,B738 (TC-COR),Landed 6:10 AM
6:40 AM,SG611,Goa (GOI),SpiceJet,B737 (VT-SLB),Landed 6:32 AM
6:40 AM,WY201,Muscat (MCT),Oman Air,B788 (A4O-SA),Landed 8:22 AM
6:45 AM,6E5385,Nagpur (NAG),IndiGo,A20N (VT-IVL),Landed 6:10 AM
6:50 AM,G8302,Chennai (MAA),GoAir,A20N (VT-WGJ),Landed 7:38 AM
6:55 AM,SG69,Jeddah (JED),SpiceJet,B738 (VT-SZN),Landed 7:20 AM
6:55 AM,IX252,Sharjah (SHJ),Air India Express (Elephant/Camel Livery),B738 (VT-GHA),Landed 6:32 AM
7:00 AM,SG20,Riyadh (RUH),SpiceJet,B738 (VT-SGJ),Landed 6:56 AM
7:05 AM,6E654,Chennai (MAA),IndiGo,A20N (VT-IZA),Landed 6:51 AM
7:05 AM,SG704,Hyderabad (HYD),Corendon Airlines,B738 (TC-TJU),Landed 6:27 AM
7:05 AM,6.00E+171,Delhi (DEL),IndiGo,A320 (VT-IHN),Landed 6:46 AM
7:10 AM,I5303,Bengaluru (BLR),AirAsia,A320 (VT-MOD),Landed 7:04 AM
7:10 AM,SG6351,Bengaluru (BLR),SpiceJet,B738 (VT-SGQ),Landed 6:50 AM
7:15 AM,ET610,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AVB),Landed 6:38 AM
7:15 AM,AI620,Hyderabad (HYD),Air India,A319 (VT-SCR),Landed 6:43 AM
7:20 AM,G8418,Bengaluru (BLR),GoAir,A20N (VT-WJE),Landed 7:16 AM
7:20 AM,6E5322,Bengaluru (BLR),IndiGo,A20N (VT-IVB),Landed 6:53 AM
7:25 AM,EY212,Abu Dhabi (AUH),Etihad,A320 (A6-EIW),Landed 7:03 AM
7:30 AM,I5881,Delhi (DEL),AirAsia,A320 (VT-IMP),Landed 7:10 AM
7:30 AM,6.00E+218,Jaipur (JAI),IndiGo,A320 (VT-IHE),Landed 6:58 AM
7:40 AM,SG678,Chennai (MAA),SpiceJet,B738 (VT-SGG),Landed 8:03 AM
7:45 AM,6E5335,Delhi (DEL),IndiGo,A20N (VT-IVS),Landed 7:22 AM
7:50 AM,AI602,Rajkot (RAJ),Air India,A319 (VT-SCV),Landed 7:35 AM
7:50 AM,6E5324,Bengaluru (BLR),IndiGo,A20N (VT-IZS),Landed 7:38 AM
7:55 AM,G8381,Goa (GOI),GoAir,A20N (VT-WGR),Landed 7:26 AM
7:55 AM,I5314,Delhi (DEL),AirAsia,A320 (VT-ATF),Landed 7:30 AM
7:55 AM,6E5372,Vadodara (BDQ),IndiGo,A20N (VT-ITX),Landed 7:41 AM
8:00 AM,SG6475,Cochin (COK),SpiceJet,B738 (VT-SLG),Landed 7:50 AM
8:00 AM,UK975,Delhi (DEL),Vistara,A320 (VT-TTF),Landed 7:45 AM
8:10 AM,AI128,London (LHR),Air India,B788 (VT-ANK),Landed 7:48 AM
8:15 AM,AI684,Goa (GOI),Air India,A20N (VT-EXT),Landed 8:45 AM
8:15 AM,AI990,Kuwait City (KWI),Air India,A319 (VT-SCO),Landed 8:30 AM
8:15 AM,UK858,Bengaluru (BLR),Vistara,B738 (VT-TGH),Landed 8:06 AM
8:15 AM,6.00E+247,Hyderabad (HYD),IndiGo,A320 (VT-IFC),Landed 8:12 AM
8:20 AM,SV748,Medina (MED),Saudia,A333 (HZ-AQD),Unknown
8:25 AM,EK504,Dubai (DXB),Emirates,B77W (A6-EBU),Landed 8:01 AM
8:30 AM,AI614,Ahmedabad (AMD),Air India,A20N (VT-EXQ),Landed 9:08 AM
8:30 AM,6E318,Kolkata (CCU),IndiGo,A20N (VT-ITM),Landed 8:15 AM
8:35 AM,AI640,Bengaluru (BLR),Air India,A20N (VT-CID),Diverted to HYD
8:35 AM,SG6289,Chennai (MAA),SpiceJet,B738 (VT-SLM),Landed 8:21 AM
8:35 AM,SG8153,Delhi (DEL),SpiceJet,B737 (VT-SYT),Landed 8:01 AM
8:40 AM,SG6363,Hyderabad (HYD),SpiceJet,B738 (VT-SGZ),Landed 8:26 AM
8:40 AM,6E495,Chennai (MAA),IndiGo,A20N (VT-IVX),Landed 8:33 AM
8:40 AM,6E655,Indore (IDR),IndiGo,A21N (VT-IUG),Landed 8:40 AM
8:40 AM,6E993,Delhi (DEL),IndiGo,A20N (VT-IVY),Landed 8:13 AM
8:45 AM,AI341,Bangkok (BKK),Air India,A20N (VT-CIO),Landed 9:20 AM
8:45 AM,AI912,Dubai (DXB),Air India,B788 (VT-ANR),Landed 8:22 AM
8:45 AM,UK923,Delhi (DEL),Vistara,A320 (VT-TTL),Landed 8:24 AM
8:50 AM,6E424,Bengaluru (BLR),IndiGo,A20N (VT-IVH),Landed 8:40 AM
8:50 AM,AI569,Chennai (MAA),Air India,A20N (VT-CIH),Landed 8:55 AM
8:50 AM,SG6425,Kolkata (CCU),SpiceJet,B738 (VT-SYC),Landed 8:44 AM
8:50 AM,6E1769,Dubai (DXB),IndiGo,A20N (VT-IZW),Landed 9:06 AM
8:55 AM,6E6834,Ahmedabad (AMD),IndiGo,A20N (VT-ITU),Landed 8:36 AM
9:00 AM,UK828,Chennai (MAA),Vistara,B738 (VT-TGB),Landed 8:59 AM
9:05 AM,AI582,Kozhikode (CCJ),Air India,A321 (VT-PPO),Landed 9:03 AM
9:05 AM,AI887,Delhi (DEL),Air India,32B,Canceled
9:10 AM,G8530,Delhi (DEL),GoAir,A20N (VT-WJC),Landed 8:48 AM
9:15 AM,6E568,Aurangabad (IXU),IndiGo,A320 (VT-IDO),Landed 8:55 AM
9:15 AM,6E5309,Chennai (MAA),IndiGo,A320 (VT-IFD),Landed 8:53 AM
9:20 AM,SG8701,Delhi (DEL),SpiceJet,B738 (VT-SYW),Landed 9:09 AM
9:30 AM,AI634,Bhopal (BHO),Air India,A20N (VT-EXG),Landed 10:12 AM
9:35 AM,SG438,Bengaluru (BLR),SpiceJet,B738 (VT-SYM),Landed 9:41 AM
9:40 AM,6.00E+167,Delhi (DEL),IndiGo,A20N (VT-IVW),Landed 9:17 AM
9:45 AM,SG6279,Jaipur (JAI),SpiceJet,B738 (VT-SGV),Landed 9:47 AM
9:50 AM,6E496,Kolkata (CCU),IndiGo,A20N (VT-ITG),Landed 9:26 AM
9:50 AM,6E453,Coimbatore (CJB),IndiGo,A20N (VT-IZO),Landed 9:38 AM
9:55 AM,G8395,Bengaluru (BLR),GoAir,A20N (VT-WGL),Landed 9:55 AM
9:55 AM,UK874,Hyderabad (HYD),Vistara,A20N (VT-TNJ),Landed 9:44 AM
9:55 AM,UK846,Bengaluru (BLR),Vistara,B738 (VT-TGA),Landed 10:00 AM
10:05 AM,6.00E+298,Cochin (COK),IndiGo,A320 (VT-IHF),Landed 10:05 AM
10:05 AM,6E685,Lucknow (LKO),IndiGo,A320 (VT-INT),Landed 9:33 AM
10:10 AM,G8334,Delhi (DEL),GoAir,A20N (VT-WJI),Landed 9:47 AM
10:10 AM,G82609,Lucknow (LKO),GoAir,A20N (VT-WJK),Landed 10:00 AM
10:15 AM,SQ7951,Brussels (BRU),Singapore Airlines Cargo,B744 (9V-SFQ),Landed 9:06 AM
10:15 AM,AI628,Nagpur (NAG),Air India,A321 (VT-PPQ),Landed 10:50 AM
10:15 AM,AI665,Delhi (DEL),Air India,A321 (VT-PPA),Landed 9:51 AM
10:15 AM,AI682,Cochin (COK),Air India,A319 (VT-SCS),Landed 10:29 AM
10:15 AM,6E1708,Doha (DOH),IndiGo,A21N (VT-IUB),Landed 1:17 PM
10:20 AM,6E5387,Indore (IDR),IndiGo,A20N (VT-IVK),Landed 9:36 AM
10:30 AM,6.00E+214,Ahmedabad (AMD),IndiGo,A320 (VT-IHS),Landed 10:08 AM
10:35 AM,AI604,Bengaluru (BLR),Air India,A20N (VT-CIM),Landed 10:20 AM
10:35 AM,SG8723,Delhi (DEL),SpiceJet,B738 (VT-SXD),Landed 10:22 AM
10:35 AM,SQ422,Singapore (SIN),Singapore Airlines,A359 (9V-SMI),Landed 10:31 AM
10:40 AM,G8389,Jaipur (JAI),GoAir,A20N (VT-WJO),Landed 10:18 AM
10:40 AM,6.00E+179,Delhi (DEL),IndiGo,A320 (VT-IDY),Landed 10:25 AM
10:45 AM,G8459,Ahmedabad (AMD),GoAir,A20N (VT-WJN),Landed 10:37 AM
10:45 AM,SG6432,Hyderabad (HYD),SpiceJet,B737 (VT-SYP),Landed 10:11 AM
10:50 AM,G8141,Nagpur (NAG),GoAir,A20N (VT-WJH),Landed 11:00 AM
10:50 AM,SG488,Kolkata (CCU),SpiceJet,B738 (VT-SYD),Landed 10:35 AM
10:55 AM,G8348,Cochin (COK),GoAir,A20N (VT-WGW),Landed 10:40 AM
