Time,Flight Number,Source,Flight Name,Aircraft,Status
12:05 AM,AF218,Paris (CDG),Air France,B772 (F-GSPZ),Landed 12:27 AM
12:10 AM,G82608,Jaipur (JAI),GoAir,A320 (VT-WAK),Landed 11:54 PM
12:10 AM,6E665,Delhi (DEL),IndiGo,A320 (VT-IEZ),Landed 12:07 AM
12:10 AM,6E6817,Bengaluru (BLR),IndiGo,A320 (VT-IDP),Landed 12:15 AM
12:15 AM,BA139,London (LHR),British Airways (GREAT Festival of Creativity),B772 (G-YMML),Landed 12:39 AM
12:15 AM,UK202,Dubai (DXB),Vistara,A20N (VT-TNK),Landed 12:11 AM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A320 (VT-IHW),Landed 11:58 PM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A20N (VT-WJL),Landed 12:23 AM
12:20 AM,SG6442,Goa (GOI),SpiceJet,B737 (VT-SYO),Landed 12:56 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A20N (VT-IZQ),Landed 12:36 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,A20N (VT-IJA),Landed 12:14 AM
12:30 AM,AI84,Goa (GOI),Air India,A20N (VT-EXV),Landed 12:50 AM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-IMP),Landed 12:37 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A20N (VT-ITV),Landed 12:34 AM
12:35 AM,CX663,Hong Kong (HKG),Cathay Pacific,A333 (B-LAF),Landed 12:53 AM
12:40 AM,KE655,Seoul (ICN),Korean Air,A332 (HL7552),Landed 12:58 AM
12:40 AM,KL877,Amsterdam (AMS),KLM (KLM 100 Years Livery),B78X (PH-BKA),Landed 12:45 AM
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IDQ),Landed 12:49 AM
12:55 AM,SG798,Hyderabad (HYD),SpiceJet,B738 (VT-SGX),Landed 1:10 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VBEL),Landed 12:44 AM
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A320 (VT-IKD),Landed 1:12 AM
1:00 AM,G8544,Delhi (DEL),GoAir,A320 (VT-WAL),Landed 12:59 AM
1:00 AM,LH756,Frankfurt (FRA),Lufthansa,B744 (D-ABVU),Landed 1:18 AM
1:10 AM,AI863,Delhi (DEL),Air India,A20N (VT-CIN),Landed 1:05 AM
1:10 AM,I5316,Kolkata (CCU),AirAsia,A320 (VT-AMD),Landed 1:02 AM
1:10 AM,KU301,Kuwait City (KWI),Kuwait Airways,A20N (9K-AKL),Landed 1:06 AM
1:20 AM,G8380,Goa (GOI),GoAir,A20N (VT-WGG),Landed 1:24 AM
1:30 AM,G8512,Kolkata (CCU),GoAir,A320 (VT-GOP),Landed 1:10 AM
1:30 AM,IA441,Najaf (NJF),Iraqi Airways,737,Unknown
1:30 AM,6.00E+62,Dubai (DXB),IndiGo,A320 (VT-INZ),Landed 1:21 AM
1:35 AM,WE335,Bangkok (BKK),THAI Smile,A320 (HS-TXK),Landed 1:14 AM
1:35 AM,BZ154,Hyderabad (HYD),Blue Dart Aviation,B752 (VT-BDB),Landed 1:33 AM
1:45 AM,MS968,Cairo (CAI),EgyptAir,A332 (SU-GCK),Landed 1:31 AM
1:45 AM,SG8287,Delhi (DEL),SpiceJet,B738 (VT-SYW),Landed 1:40 AM
1:50 AM,SG82,Bangkok (BKK),SpiceJet,B738 (VT-SYV),Landed 1:27 AM
1:50 AM,G8413,Ahmedabad (AMD),GoAir,A20N (VT-WJD),Landed 1:40 AM
1:50 AM,6.00E+263,Hyderabad (HYD),IndiGo,A320 (VT-IAQ),Landed 1:44 AM
