Time,Flight Number,Source,Flight Name,Aircraft,Status
12:05 AM,AF218,Paris (CDG),Air France,B772 (F-GSPU),Landed 11:13 PM
12:10 AM,G82608,Jaipur (JAI),GoAir,A20N (VT-WJI),Landed 12:12 AM
12:10 AM,6E665,Delhi (DEL),IndiGo,A320 (VT-IHJ),Landed 11:33 PM
12:10 AM,6E6817,Bengaluru (BLR),IndiGo,A320 (VT-IGJ),Landed 11:52 PM
12:15 AM,AI630,Nagpur (NAG),Air India,A319 (VT-SCQ),Landed 11:40 PM
12:15 AM,AI653,Visakhapatnam (VTZ),Air India,A320 (VT-EXD),Landed 12:27 AM
12:15 AM,BA139,London (LHR),British Airways,B772 (G-YMMN),Landed 12:19 AM
12:15 AM,UK202,Dubai (DXB),Vistara,A20N (VT-TNR),Landed 12:05 AM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A20N (VT-IVW),Landed 11:51 PM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A320 (VT-WAK),Landed 1:40 AM
12:20 AM,SG6442,Goa (GOI),SpiceJet,B737 (VT-SYT),Landed 12:00 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A20N (VT-IZT),Landed 12:45 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,A20N (VT-IJH),Landed 11:39 PM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-BKK),Landed 12:21 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A20N (VT-ITM),Landed 12:28 AM
12:35 AM,CX663,Hong Kong (HKG),Cathay Pacific,A333 (B-LAD),Landed 12:24 AM
12:40 AM,KE655,Seoul (ICN),Korean Air,A332 (HL8211),Landed 12:50 AM
12:40 AM,KL877,Amsterdam (AMS),KLM,B78X (PH-BKC),Landed 12:15 AM
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IEL),Landed 12:10 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VZIG),Landed 12:09 AM
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A320 (VT-IGL),Landed 12:52 AM
1:00 AM,G8544,Delhi (DEL),GoAir,A320 (VT-GOL),Landed 12:42 AM
1:00 AM,LH756,Frankfurt (FRA),Lufthansa,B744 (D-ABVS),Landed 12:37 AM
1:10 AM,AI863,Delhi (DEL),Air India,A20N (VT-CIQ),Landed 1:20 AM
1:10 AM,I5316,Kolkata (CCU),AirAsia,A320 (VT-HYD),Landed 12:54 AM
1:10 AM,KU301,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKK),Landed 12:45 AM
1:20 AM,G8380,Goa (GOI),GoAir,A20N (VT-WJD),Landed 1:01 AM
1:30 AM,G8512,Kolkata (CCU),GoAir,A20N (VT-WJC),Landed 1:25 AM
1:30 AM,IA441,Najaf (NJF),Iraqi Airways,B738 (YI-ASH),Landed 12:47 AM
1:30 AM,6.00E+62,Dubai (DXB),IndiGo,A320 (VT-INZ),Landed 1:22 AM
1:35 AM,AI84,Goa (GOI),Air India,A321 (VT-PPT),Landed 2:46 AM
1:35 AM,WE335,Bangkok (BKK),THAI Smile,A320 (HS-TXC),Landed 1:33 AM
1:35 AM,BZ154,Hyderabad (HYD),Blue Dart Aviation,75F,Unknown
1:45 AM,MS968,Cairo (CAI),EgyptAir,A332 (SU-GCK),Landed 4:55 AM
1:45 AM,SG8287,Delhi (DEL),SpiceJet,B738 (VT-SYW),Landed 1:07 AM
1:50 AM,SG82,Bangkok (BKK),SpiceJet,B738 (VT-SYV),Landed 1:28 AM
1:50 AM,G8413,Ahmedabad (AMD),GoAir,A20N (VT-WGO),Landed 2:19 AM
1:50 AM,6.00E+263,Hyderabad (HYD),IndiGo,A20N (VT-ITW),Landed 1:34 AM
2:05 AM,BZ102,Bengaluru (BLR),Blue Dart Aviation,B752 (VT-BDA),Landed 2:00 AM
2:05 AM,I5472,Goa (GOI),AirAsia,A320 (VT-IXC),Landed 1:46 AM
2:10 AM,UL141,Colombo (CMB),SriLankan Airlines,A320 (4R-ABM),Landed 1:52 AM
2:10 AM,SG7063,Delhi (DEL),SpiceXpress,B737 (VT-SFD),Landed 2:04 AM
2:15 AM,EK500,Dubai (DXB),Emirates,A388 (A6-EOH),Landed 1:58 AM
2:25 AM,SG7046,Sharjah (SHJ),SpiceJet,-,Unknown
2:30 AM,AI686,Amritsar (ATQ),Air India,B788 (VT-ANN),Landed 2:11 AM
2:30 AM,QR556,Doha (DOH),Qatar Airways,B77L (A7-BBH),Landed 2:09 AM
2:35 AM,ET640,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AWM),Landed 2:07 AM
2:40 AM,EY206,Abu Dhabi (AUH),Etihad,B77W (A6-ETP),Landed 2:14 AM
2:45 AM,6.00E+82,Muscat (MCT),IndiGo,A320 (VT-IET),Landed 2:39 AM
3:05 AM,J9401,Kuwait City (KWI),Jazeera Airways,A20N (9K-CBC),Landed 3:06 AM
4:00 AM,AI130,London (LHR),Air India,B77W (VT-ALT),Landed 4:21 AM
4:00 AM,SG7032,Delhi (DEL),SpiceXpress,B738 (VT-SFF),Landed 4:15 AM
4:10 AM,AI984,Dubai (DXB),Air India,A321 (VT-PPQ),Landed 4:02 AM
