Time,Flight Number,Source,Flight Name,Aircraft,Status
6:25 AM,SG14,Dubai (DXB),SpiceJet,B738 (VT-SGJ),Landed 5:52 AM
6:30 AM,6E6789,Ahmedabad (AMD),IndiGo,A20N (VT-IZU),Landed 6:23 AM
6:40 AM,SG611,Goa (GOI),SpiceJet,B737 (VT-SLA),Landed 6:11 AM
6:40 AM,SG636,Ahmedabad (AMD),SpiceJet,B738 (VT-SYZ),Landed 6:03 AM
6:40 AM,WY201,Muscat (MCT),Oman Air,B788 (A4O-SA),Landed 6:18 AM
6:40 AM,6E456,Bengaluru (BLR),IndiGo,A20N (VT-ITY),Landed 6:38 AM
6:45 AM,6E5385,Nagpur (NAG),IndiGo,A20N (VT-ITH),Landed 6:27 AM
6:50 AM,G8302,Chennai (MAA),GoAir,A20N (VT-WGP),Landed 6:59 AM
6:55 AM,SG69,Jeddah (JED),SpiceJet,B738 (VT-SLI),Landed 7:30 AM
6:55 AM,IX252,Sharjah (SHJ),Air India Express (India Gate / Gateway Livery),B738 (VT-AXH),Landed 6:31 AM
7:00 AM,SG20,Riyadh (RUH),SpiceJet,B738 (VT-SGY),Landed 6:51 AM
7:05 AM,SG704,Hyderabad (HYD),Corendon Airlines,B738 (TC-TJU),Landed 6:41 AM
7:05 AM,6.00E+171,Delhi (DEL),IndiGo,A20N (VT-IZY),Landed 6:39 AM
7:05 AM,6.00E+218,Jaipur (JAI),IndiGo,A320 (VT-IHS),Landed 6:44 AM
7:10 AM,I5303,Bengaluru (BLR),AirAsia,A320 (VT-KUL),Landed 7:11 AM
7:10 AM,SG6351,Bengaluru (BLR),SpiceJet,B738 (VT-SGH),Landed 6:59 AM
7:15 AM,ET610,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AVD),Landed 6:49 AM
7:15 AM,AI620,Hyderabad (HYD),Air India,A319 (VT-SCL),Landed 7:06 AM
7:15 AM,6E654,Chennai (MAA),IndiGo,A20N (VT-IZZ),Landed 7:10 AM
7:20 AM,G8418,Bengaluru (BLR),GoAir,A20N (VT-WGI),Landed 7:21 AM
7:20 AM,6E5322,Bengaluru (BLR),IndiGo,A20N (VT-IVD),Landed 7:10 AM
7:25 AM,EY212,Abu Dhabi (AUH),Etihad,A321 (A6-AEC),Landed 7:17 AM
7:30 AM,AI990,Kuwait City (KWI),Air India,A20N (VT-EXG),Landed 7:43 AM
7:40 AM,SG678,Chennai (MAA),SpiceJet,B738 (VT-SLG),Landed 7:29 AM
7:40 AM,SG6475,Cochin (COK),SpiceJet,B738 (VT-SYW),Landed 7:35 AM
7:45 AM,6E5335,Delhi (DEL),IndiGo,A320 (VT-IDL),Landed 7:25 AM
7:50 AM,6E5324,Bengaluru (BLR),IndiGo,A320 (VT-IFE),Landed 7:50 AM
7:55 AM,G8381,Goa (GOI),GoAir,A20N (VT-WGD),Landed 7:42 AM
7:55 AM,I5314,Delhi (DEL),AirAsia,A320 (VT-BKK),Landed 8:17 AM
7:55 AM,6E5372,Vadodara (BDQ),IndiGo,A20N (VT-IZV),Landed 8:07 AM
8:00 AM,UK975,Delhi (DEL),Vistara,A320 (VT-TTM),Landed 8:00 AM
8:10 AM,AI569,Chennai (MAA),Air India,A20N (VT-EXL),Landed 8:06 AM
8:15 AM,UK858,Bengaluru (BLR),Vistara,B738 (VT-TGI),Landed 8:12 AM
8:15 AM,6.00E+247,Hyderabad (HYD),IndiGo,A20N (VT-IVI),Landed 8:15 AM
8:20 AM,SV740,Riyadh (RUH),Saudia,A333 (HZ-AQ14),Landed 8:00 AM
8:25 AM,AI341,Bangkok (BKK),Air India,A20N (VT-EXK),Landed 9:51 AM
8:25 AM,EK504,Dubai (DXB),Emirates (Expo 2020 - Mobility Livery),B77W (A6-EPB),Landed 8:11 AM
8:30 AM,6E318,Kolkata (CCU),IndiGo,A320 (VT-IFX),Landed 8:23 AM
8:35 AM,AI640,Bengaluru (BLR),Air India,A20N (VT-CIF),Landed 8:31 AM
8:35 AM,SG6289,Chennai (MAA),SpiceJet,B738 (VT-SLH),Landed 8:21 AM
8:35 AM,SG8153,Delhi (DEL),SpiceJet,B737 (VT-SYP),Landed 7:56 AM
8:40 AM,SG6363,Hyderabad (HYD),SpiceJet,B738 (VT-SLL),Landed 8:35 AM
8:40 AM,6E495,Chennai (MAA),IndiGo,A20N (VT-ITR),Landed 8:47 AM
8:40 AM,6E655,Indore (IDR),IndiGo,A21N (VT-IUJ),Landed 8:36 AM
8:40 AM,6E993,Delhi (DEL),IndiGo,A20N (VT-IVY),Landed 8:26 AM
8:45 AM,AI912,Dubai (DXB),Air India,B788 (VT-ANZ),Landed 7:53 AM
8:45 AM,UK923,Delhi (DEL),Vistara (Retro Livery),A20N (VT-ATV),Landed 8:52 AM
8:50 AM,AI614,Ahmedabad (AMD),Air India,A321 (VT-PPW),Landed 9:16 AM
8:50 AM,SG2763,Surat (STV),SpiceJet,DH8D (VT-SUD),Unknown
8:50 AM,SG6425,Kolkata (CCU),SpiceJet,B738 (VT-SYA),Landed 9:19 AM
8:50 AM,6E424,Bengaluru (BLR),IndiGo,A20N (VT-ITZ),Landed 8:50 AM
8:50 AM,6E1769,Dubai (DXB),IndiGo,A320 (VT-IHM),Landed 8:46 AM
8:55 AM,AI602,Rajkot (RAJ),Air India,A319 (VT-SCV),Landed 8:31 AM
8:55 AM,6E6834,Ahmedabad (AMD),IndiGo,A320 (VT-IDN),Landed 8:58 AM
9:00 AM,UK828,Chennai (MAA),Vistara,B738 (VT-TGE),Landed 9:08 AM
9:05 AM,AI582,Kozhikode (CCJ),Air India,A321 (VT-PPD),Landed 9:09 AM
9:05 AM,AI887,Delhi (DEL),Air India,A320 (VT-EDC),Landed 9:03 AM
9:10 AM,AI684,Goa (GOI),Air India,A20N (VT-CIE),Landed 8:56 AM
9:10 AM,G8530,Delhi (DEL),GoAir,A320 (VT-GOL),Landed 9:21 AM
9:15 AM,6E568,Aurangabad (IXU),IndiGo,A320 (VT-IEB),Landed 9:16 AM
9:15 AM,6E5309,Chennai (MAA),IndiGo,A320 (VT-IDP),Landed 8:58 AM
9:20 AM,SG8701,Delhi (DEL),SpiceJet,B738 (VT-SYJ),Landed 9:34 AM
9:30 AM,AI634,Bhopal (BHO),Air India,A319 (VT-SCS),Landed 9:25 AM
9:35 AM,AI628,Nagpur (NAG),Air India,A321 (VT-PPA),Landed 9:25 AM
9:35 AM,SG438,Bengaluru (BLR),SpiceJet,B738 (VT-SGZ),Landed 9:30 AM
9:40 AM,AI616,Hyderabad (HYD),Air India,A20N (VT-CID),Landed 10:10 AM
9:40 AM,6.00E+167,Delhi (DEL),IndiGo,A20N (VT-ITO),Unknown
9:45 AM,G8348,Cochin (COK),GoAir,A20N (VT-WGW),Landed 10:50 AM
9:45 AM,SG6279,Jaipur (JAI),SpiceJet,B738 (VT-SXA),Landed 9:51 AM
9:45 AM,UK943,Delhi (DEL),Vistara,A320 (VT-TTK),Landed 9:41 AM
9:50 AM,6E453,Coimbatore (CJB),IndiGo,A320 (VT-IEQ),Landed 9:44 AM
9:50 AM,6E496,Kolkata (CCU),IndiGo,A320 (VT-IFW),Landed 9:41 AM
9:55 AM,G8395,Bengaluru (BLR),GoAir,A20N (VT-WJK),Landed 10:29 AM
